rlevel,topk,place_low_min,place_high_max,pop_min,pop_max,diff_pop_min,bets,win_roi,win_hit,place_roi,place_hit,umaren_box_bets,umaren_box_roi,umaren_box_races,umaren_axis1_bets,umaren_axis1_roi,umaren_axis1_races
1,2,1.1,3.5,2,6,0,295,101.62711864406779,0.20677966101694914,81.76271186440678,0.47796610169491527,43,100.69767441860465,43,43,100.69767441860465,43
1,2,1.1,3.5,2,6,1,135,97.03703703703704,0.17777777777777778,74.29629629629629,0.4222222222222222,18,195.55555555555554,18,18,195.55555555555554,18
1,2,1.1,3.5,2,7,0,298,100.60402684563758,0.20469798657718122,81.77852348993288,0.47651006711409394,44,98.4090909090909,44,44,98.4090909090909,44
1,2,1.1,3.5,2,7,1,138,94.92753623188406,0.17391304347826086,74.4927536231884,0.42028985507246375,19,185.26315789473685,19,19,185.26315789473685,19
1,2,1.1,3.5,3,7,0,223,104.57399103139014,0.17937219730941703,77.48878923766817,0.42152466367713004,26,100.76923076923077,26,26,100.76923076923077,26
1,2,1.1,3.5,3,7,1,119,95.12605042016806,0.16806722689075632,70.33613445378151,0.3865546218487395,14,187.14285714285714,14,14,187.14285714285714,14
1,2,1.1,3.5,3,8,0,223,104.57399103139014,0.17937219730941703,77.48878923766817,0.42152466367713004,26,100.76923076923077,26,26,100.76923076923077,26
1,2,1.1,3.5,3,8,1,119,95.12605042016806,0.16806722689075632,70.33613445378151,0.3865546218487395,14,187.14285714285714,14,14,187.14285714285714,14
1,2,1.2,3.5,2,6,0,264,103.52272727272727,0.19696969696969696,82.08333333333333,0.4583333333333333,39,111.02564102564104,39,39,111.02564102564104,39
1,2,1.2,3.5,2,6,1,130,97.61538461538461,0.17692307692307693,75.3076923076923,0.4230769230769231,18,195.55555555555554,18,18,195.55555555555554,18
1,2,1.2,3.5,2,7,0,267,102.35955056179775,0.1947565543071161,82.09737827715355,0.45692883895131087,40,108.25,40,40,108.25,40
1,2,1.2,3.5,2,7,1,133,95.41353383458646,0.17293233082706766,75.48872180451129,0.42105263157894735,19,185.26315789473685,19,19,185.26315789473685,19
1,2,1.2,3.5,3,7,0,215,105.02325581395348,0.17674418604651163,78.04651162790698,0.4186046511627907,25,104.80000000000001,25,25,104.80000000000001,25
1,2,1.2,3.5,3,7,1,117,93.24786324786325,0.1623931623931624,70.42735042735043,0.38461538461538464,14,187.14285714285714,14,14,187.14285714285714,14
1,2,1.2,3.5,3,8,0,215,105.02325581395348,0.17674418604651163,78.04651162790698,0.4186046511627907,25,104.80000000000001,25,25,104.80000000000001,25
