rlevel,topk,place_low_min,place_high_max,pop_min,pop_max,diff_pop_min,bets,win_roi,win_hit,place_roi,place_hit,umaren_box_bets,umaren_box_roi,umaren_box_races,umaren_axis1_bets,umaren_axis1_roi,umaren_axis1_races
4,2,2.2,3.5,2,6,1,21,188.57142857142856,0.23809523809523808,127.6190476190476,0.47619047619047616,0,,0,0,,0
5,2,2.1,3.5,2,6,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,2,2.1,3.5,2,7,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,2,2.1,3.5,3,7,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,2,2.1,3.5,3,8,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,3,2.1,3.5,2,6,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,3,2.1,3.5,2,7,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,3,2.1,3.5,3,7,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,3,2.1,3.5,3,8,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,4,2.1,3.5,2,6,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,4,2.1,3.5,2,7,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,4,2.1,3.5,3,7,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,4,2.1,3.5,3,8,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,5,2.1,3.5,2,6,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,5,2.1,3.5,2,7,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,5,2.1,3.5,3,7,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
5,5,2.1,3.5,3,8,1,9,78.88888888888889,0.1111111111111111,122.22222222222223,0.4444444444444444,0,,0,0,,0
4,2,2.2,3.5,2,6,0,24,165.0,0.20833333333333334,122.08333333333334,0.4583333333333333,0,,0,0,,0
4,2,2.2,3.5,2,7,1,22,180.0,0.22727272727272727,121.81818181818183,0.45454545454545453,0,,0,0,,0
4,2,2.2,3.5,3,7,1,22,180.0,0.22727272727272727,121.81818181818183,0.45454545454545453,0,,0,0,,0
4,2,2.2,3.5,3,8,1,22,180.0,0.22727272727272727,121.81818181818183,0.45454545454545453,0,,0,0,,0
4,3,2.2,3.5,2,6,1,22,180.0,0.22727272727272727,121.81818181818183,0.45454545454545453,0,,0,0,,0
4,4,2.2,3.5,2,6,1,22,180.0,0.22727272727272727,121.81818181818183,0.45454545454545453,0,,0,0,,0
4,5,2.2,3.5,2,6,1,22,180.0,0.22727272727272727,121.81818181818183,0.45454545454545453,0,,0,0,,0
