場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
札幌,1,未勝利,芝,1200,稍,Lv2 ,1,ラスベガスサイン,2歳,小林美駒,長谷川浩,短距離,右回り,芝道悪,シルバーステート,,,2,C,12.6,4.0,12.6,3.0,34.7,3.0,36.5,,C,,,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,2,ディオスデルマール,2歳,舟山瑠泉,秋山真一,短距離,右回り,芝道悪,ミスチヴィアスアレックス,,距離延長,10,E,13.1,8.0,13.6,10.0,38.5,,38.0,,E,C,,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,3,ヒッグスボソン,2歳,丹内祐次,高橋義忠,短距離,右回り,芝道悪,ファインニードル,,,4,C,12.2,1.0,12.2,1.0,35.2,5.0,34.7,2.0,C,B,,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,4,グリーンスリーヴス,2歳,柴田裕一,羽月友彦,短距離,右回り,芝道悪,ミスチヴィアスアレックス,,,9,E,13.4,10.0,13.4,9.0,36.1,,35.8,5.0,C,,,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,5,ココソラーレ,2歳,橋木太希,天間昭一,短距離,右回り,芝道悪,セイウンコウセイ,,,7,D,12.4,2.0,13.0,7.0,34.6,2.0,35.0,3.0,C,B,C,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,6,ジュディーイメル,2歳,浜中俊,武英智,短距離,右回り,芝道悪,アドマイヤマーズ,,距離短縮,8,D,13.2,9.0,13.2,8.0,37.1,,37.0,,C,,,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,7,ウーマンズパワー,2歳,斎藤新,中尾秀正,短距離,右回り,芝道悪,タワーオブロンドン,,,5,C,12.6,4.0,12.6,3.0,34.7,3.0,36.8,,C,,,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,8,ハネマン,2歳,黛弘人,伊坂重信,短距離,右回り,芝道悪,ファインニードル,,,6,D,12.7,6.0,12.7,5.0,35.3,,35.1,4.0,C,,,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,9,プレヒティヒ,2歳,鷲頭虎太,伊藤圭三,短距離,右回り,芝道悪,ダノンプレミアム,,,3,C,12.9,7.0,12.9,6.0,35.3,,35.8,5.0,C,,,,
札幌,1,未勝利,芝,1200,稍,Lv2 ,10,ファニーバニー,2歳,横山武史,杉山佳明,短距離,右回り,芝道悪,シスキン,,,1,A,12.5,3.0,12.5,2.0,34.5,1.0,34.1,1.0,D,D,,,
札幌,2,未勝利,ダート,1700,稍,Lv2 ,1,リポジノ,3歳,小林美駒,中村直也,中距離,右回り,ダ道悪,モズアスコット,,,7,D,12.5,3.0,12.8,4.0,35.9,4.0,37.0,2.0,D,C,C,C,B
札幌,2,未勝利,ダート,1700,稍,Lv2 ,2,ハローエンジェル,3歳,舟山瑠泉,田中克典,中距離,右回り,ダ道悪,レイデオロ,,,5,C,12.5,3.0,13.1,6.0,35.4,1.0,39.5,,C,B,C,D,C
札幌,2,未勝利,ダート,1700,稍,Lv2 ,3,スフレ,3歳,桑村真明,野中賢二,中距離,右回り,ダ道悪,ルヴァンスレーヴ,,,8,D,12.8,11.0,14.0,11.0,37.6,,38.2,5.0,B,C,C,C,C
札幌,2,未勝利,ダート,1700,稍,Lv2 ,4,アラマンダ,3歳,荻野琢真,平田修,中距離,右回り,ダ道悪,レイデオロ,休明3走,,14,E,13.4,13.0,13.4,9.0,36.4,6.0,40.5,,B,B,B,,
札幌,2,未勝利,ダート,1700,稍,Lv2 ,5,アクセルギア,3歳,森田誠也,河嶋宏樹,中距離,右回り,ダ道悪,モーニン,,,9,D,,,,,,,,,,,,,
札幌,2,未勝利,ダート,1700,稍,Lv2 ,6,ユージュアーナ,3歳,斎藤新,奥村豊,中距離,右回り,ダ道悪,リアルスティール,,,3,C,12.6,6.0,12.9,5.0,35.4,1.0,37.7,4.0,B,D,C,C,B
札幌,2,未勝利,ダート,1700,稍,Lv2 ,7,フィエールガール,3歳,古川奈穂,土田稔,中距離,右回り,ダ道悪,フィエールマン,,距離短縮,12,E,12.7,8.0,13.2,8.0,,,,,B,C,D,C,C
札幌,2,未勝利,ダート,1700,稍,Lv2 ,8,ベルシャイニー,3歳,柴田裕一,高橋文雅,中距離,右回り,ダ道悪,ビーチパトロール,休明3走,距離延長,11,E,12.7,8.0,12.7,2.0,,,,,B,B,B,B,
札幌,2,未勝利,ダート,1700,稍,Lv2 ,9,スマートイザナミ,3歳,武豊,谷潔,中距離,右回り,ダ道悪,ルヴァンスレーヴ,,,4,C,12.5,3.0,13.8,10.0,36.9,,37.3,3.0,D,A,B,C,C
札幌,2,未勝利,ダート,1700,稍,Lv2 ,10,ラヴァフォール,3歳,横山武史,鈴木伸尋,中距離,右回り,ダ道悪,アルアイン,休明初戦,距離延長,6,D,12.4,2.0,12.7,2.0,35.4,1.0,39.5,,C,D,B,D,
札幌,2,未勝利,ダート,1700,稍,Lv2 ,11,プロピエダッド,3歳,黛弘人,武藤善則,中距離,右回り,ダ道悪,ルヴァンスレーヴ,,,13,E,12.7,8.0,14.2,13.0,36.8,7.0,36.9,1.0,C,D,C,C,C
札幌,2,未勝利,ダート,1700,稍,Lv2 ,12,ゴールドサニーデイ,3歳,和田陽希,渡辺薫彦,中距離,右回り,ダ道悪,トーセンラー,,距離短縮,10,D,12.3,1.0,12.3,1.0,,,,,D,B,B,C,C
札幌,2,未勝利,ダート,1700,稍,Lv2 ,13,ペイシャキセキ,3歳,松本大輝,吉田直弘,中距離,右回り,ダ道悪,オーヴァルエース,休明2走,,2,B,12.6,6.0,13.1,6.0,36.2,5.0,38.4,7.0,C,C,C,D,C
札幌,2,未勝利,ダート,1700,稍,Lv2 ,14,カスバートテソーロ,3歳,丹内祐次,畠山吉宏,中距離,右回り,ダ道悪,ゴールドアクター,,,1,B,13.1,12.0,14.0,11.0,37.4,,38.3,6.0,D,C,C,B,C
札幌,3,未勝利,ダート,1000,稍,Lv1 ,1,タイセイアビリティ,3歳,斎藤新,小林真也,短距離,右回り,ダ道悪,フォーウィールドライブ,,,2,B,12.2,5.0,12.9,6.0,36.1,,36.1,3.0,B,C,B,B,B
札幌,3,未勝利,ダート,1000,稍,Lv1 ,2,ジェンダアネモス,3歳,舟山瑠泉,伊坂重信,短距離,右回り,ダ道悪,タワーオブロンドン,,距離短縮,5,D,12.0,2.0,12.2,2.0,34.6,1.0,40.2,,B,C,C,D,C
札幌,3,未勝利,ダート,1000,稍,Lv1 ,3,ステラノヴァ,3歳,武豊,千田輝彦,短距離,右回り,ダ道悪,ベストウォーリア,,,1,A,12.3,7.0,13.1,10.0,35.7,6.0,36.0,2.0,B,C,D,C,C
