場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
中山,1,未勝利,芝,1600,良,Lv2 ,1,ベアサナエチャン,2歳,佐藤翔馬,杉浦宏昭,短距離,右回り,,レイデオロ,休明2走,
中山,1,未勝利,芝,1600,良,Lv2 ,2,トンガリボウシ,2歳,水沼元輝,加藤和宏,短距離,右回り,,シュヴァルグラン,休明2走,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,3,ルサフィール,2歳,原優介,矢野英一,短距離,右回り,,シャンハイボビー,休明2走,距離短縮
中山,1,未勝利,芝,1600,良,Lv2 ,4,カゼノハゴロモ,2歳,野中悠太,根本康広,短距離,右回り,,ビッグアーサー,休明2走,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,5,ルーチェフィオーレ,2歳,横山和生,嘉藤貴行,短距離,右回り,,ポエティックフレア,休明初戦,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,6,ミセスジョーンズ,2歳,石神深道,松永康利,短距離,右回り,,ヴァンセンヌ,休明2走,
中山,1,未勝利,芝,1600,良,Lv2 ,7,ミスエベレスト,2歳,上里直汰,伊坂重信,短距離,右回り,,ミスチヴィアスアレックス,休明2走,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,8,タヤスロレンヌ,2歳,石田拓郎,岩戸孝樹,短距離,右回り,,タワーオブロンドン,休明2走,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,9,ジャメビュ,2歳,杉原誠人,佐藤吉勝,短距離,右回り,,ダノンレジェンド,休明2走,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,10,サクライズ,2歳,木幡育也,松永康利,短距離,右回り,,イスラボニータ,休明2走,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,11,コズミックボックス,2歳,モレイラ,中舘英二,短距離,右回り,,ブリックスアンドモルタル,休明2走,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,12,リケアラザニア,2歳,小林美駒,村田一誠,短距離,右回り,,ミッキーアイル,休明2走,距離短縮
中山,1,未勝利,芝,1600,良,Lv2 ,13,クインズツバキ,2歳,木幡巧也,上原博之,短距離,右回り,,カリフォルニアクローム,休明2走,距離延長
中山,1,未勝利,芝,1600,良,Lv2 ,14,ハングローズ,2歳,佐々木大,奥村武,短距離,右回り,,ドレフォン,休明2走,
中山,1,未勝利,芝,1600,良,Lv2 ,15,レヴェランジェ,2歳,津村明秀,鈴木慎太,短距離,右回り,,サングレーザー,休明2走,
中山,1,未勝利,芝,1600,良,Lv2 ,16,フィオーレグリーン,2歳,遠藤汰月,根本康広,短距離,右回り,,ディープブリランテ,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍,Lv3 ,1,メイポール,2歳,嶋田純次,武市康男,短距離,右回り,ダ道悪,ホッコータルマエ,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍,Lv3 ,2,カンタベリービーム,2歳,水沼元輝,石栗龍彦,短距離,右回り,ダ道悪,エポカドーロ,休明2走,
中山,2,未勝利,ダート,1200,稍,Lv3 ,3,マーシャルアン,2歳,上里直汰,大和田成,短距離,右回り,ダ道悪,タワーオブロンドン,休明2走,
中山,2,未勝利,ダート,1200,稍,Lv3 ,4,イーリスアスター,2歳,小林美駒,尾形和幸,短距離,右回り,ダ道悪,ダノンスマッシュ,休明2走,
中山,2,未勝利,ダート,1200,稍,Lv3 ,5,トモエナゲ,2歳,石田拓郎,青木孝文,短距離,右回り,ダ道悪,ベストウォーリア,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍,Lv3 ,6,エクスプレスナイト,2歳,菊沢一樹,青木孝文,短距離,右回り,ダ道悪,アジアエクスプレス,連闘,
中山,2,未勝利,ダート,1200,稍,Lv3 ,7,コンフィアンサ,2歳,佐々木大,菊川正達,短距離,右回り,ダ道悪,ミスターメロディ,休明2走,
中山,2,未勝利,ダート,1200,稍,Lv3 ,8,ファンシーフリル,2歳,今村聖奈,蛯名利弘,短距離,右回り,ダ道悪,フォーウィールドライブ,休明2走,
中山,2,未勝利,ダート,1200,稍,Lv3 ,9,ホーリーデイ,2歳,石橋脩,牧光二,短距離,右回り,ダ道悪,クリソベリル,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍,Lv3 ,10,セントリアン,2歳,野中悠太,萱野浩二,短距離,右回り,ダ道悪,アジアエクスプレス,休明2走,
中山,2,未勝利,ダート,1200,稍,Lv3 ,11,ニシノランペイジ,2歳,内田博幸,松山将樹,短距離,右回り,ダ道悪,アジアエクスプレス,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍,Lv3 ,12,ケイベエ,2歳,木幡巧也,杉浦宏昭,短距離,右回り,ダ道悪,エピファネイア,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍,Lv3 ,13,リバテイー,2歳,横山武史,小笠倫弘,短距離,右回り,ダ道悪,ヴァンキッシュラン,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍,Lv3 ,14,ハナムラサキ,2歳,柴田大知,和田雄二,短距離,右回り,ダ道悪,レーヴミストラル,休明2走,
中山,2,未勝利,ダート,1200,稍,Lv3 ,15,ラウンドヒル,2歳,原優介,田島俊明,短距離,右回り,ダ道悪,ベストウォーリア,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍,Lv3 ,16,カイトヴァイター,2歳,丸田恭介,武市康男,短距離,右回り,ダ道悪,ミスチヴィアスアレックス,休明2走,距離延長
中山,3,未勝利,芝,1800,良,Lv1 ,1,スチールナイト,2歳,丹内祐次,和田雄二,中距離,右回り,,ヴァンセンヌ,休明2走,
中山,3,未勝利,芝,1800,良,Lv1 ,2,リアライズリバティ,2歳,津村明秀,池上昌和,中距離,右回り,,シスキン,休明2走,
中山,3,未勝利,芝,1800,良,Lv1 ,3,パントルナイーフ,2歳,ルメール,木村哲也,中距離,右回り,,キズナ,休明2走,
中山,3,未勝利,芝,1800,良,Lv1 ,4,ラストスマイル,2歳,杉原誠人,本間忍,中距離,右回り,,ポエティックフレア,休明2走,
中山,3,未勝利,芝,1800,良,Lv1 ,5,マイネルゼーロス,2歳,石川裕紀,相沢郁,中距離,右回り,,ダノンバラード,休明2走,
中山,3,未勝利,芝,1800,良,Lv1 ,6,タイセイアストロ,2歳,モレイラ,森一誠,中距離,右回り,,ミッキーアイル,休明2走,距離延長
中山,3,未勝利,芝,1800,良,Lv1 ,7,ラシッド,2歳,佐藤翔馬,杉浦宏昭,中距離,右回り,,マクマホン,休明2走,
中山,3,未勝利,芝,1800,良,Lv1 ,8,エイシンイクサボシ,2歳,木幡育也,勢司和浩,中距離,右回り,,エイシンヒカリ,休明2走,
中山,3,未勝利,芝,1800,良,Lv1 ,9,リケアリングイネ,2歳,吉田豊,上原博之,中距離,右回り,,リアルスティール,連闘,距離延長
中山,3,未勝利,芝,1800,良,Lv1 ,10,カシノスパーク,2歳,石神深道,天間昭一,中距離,右回り,,ロジャーバローズ,休明2走,
中山,4,新馬,ダート,1800,稍,Lv2 ,1,カワキタスズリノ,2歳,石橋脩,池上昌和,中距離,右回り,ダ道悪,キセキ,,
中山,4,新馬,ダート,1800,稍,Lv2 ,2,クイーンズホリデー,2歳,戸崎圭太,林徹,中距離,右回り,ダ道悪,オルフェーヴル,,
