場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
新潟,1,未勝利,芝,1200,良,1,シンデレラヒメ,2歳,菊沢一樹,石栗龍彦,追込,,,短距離,左回り,,Lv2 ,ノーブルミッション,,距離短縮,13,E,13.9,15.0,13.9,15.0,38.5,,37.0,,B,,,,
新潟,1,未勝利,芝,1200,良,2,ヒャクレツケン,2歳,河原田菜,青木孝文,追込,0.0,0.0,短距離,左回り,,Lv2 ,タリスマニック,連闘,距離短縮,14,E,12.8,13.0,12.8,11.0,35.3,,35.7,7.0,B,C,B,,
新潟,1,未勝利,芝,1200,良,3,ケイベエ,2歳,佐藤翔馬,杉浦宏昭,差し,,0.0,短距離,左回り,,Lv2 ,エピファネイア,,,6,D,11.9,1.0,12.1,1.0,35.1,4.0,35.3,5.0,D,B,B,B,C
新潟,1,未勝利,芝,1200,良,4,メーテルリンク,2歳,石田拓郎,深山雅史,先行,0.0,0.0,短距離,左回り,,Lv2 ,ブリックスアンドモルタル,休明初戦,距離延長,8,D,12.1,2.0,12.1,1.0,33.9,2.0,36.2,,D,C,,,
新潟,1,未勝利,芝,1200,良,5,ラテラルパーム,2歳,丹内祐次,栗田徹,先行,100.0,,短距離,左回り,,Lv2 ,モーリス,,距離短縮,2,B,12.7,11.0,12.7,8.0,36.1,,35.7,7.0,D,,,,
新潟,1,未勝利,芝,1200,良,6,ゴールドヴィーナス,2歳,丸山元気,森秀行,逃げ,,100.0,短距離,左回り,,Lv2 ,ドレフォン,休明初戦,距離短縮,4,C,12.3,6.0,12.6,7.0,35.6,,34.0,1.0,C,C,,,
新潟,1,未勝利,芝,1200,良,7,イイクニパッション,2歳,石神深道,深山雅史,逃げ,0.0,66.66666666666666,短距離,左回り,,Lv2 ,ビッグアーサー,休明初戦,距離延長,5,D,12.1,2.0,12.1,1.0,33.8,1.0,36.0,,D,C,C,,
新潟,1,未勝利,芝,1200,良,8,マーゴットミスト,2歳,鮫島克駿,杉山佳明,先行,,50.0,短距離,左回り,,Lv2 ,ビッグアーサー,休明初戦,,1,B,12.1,2.0,12.7,8.0,33.9,2.0,35.1,3.0,C,C,,,
新潟,1,未勝利,芝,1200,良,9,ハンザキ,2歳,舟山瑠泉,高橋義忠,逃げ,,0.0,短距離,左回り,,Lv2 ,ハクサンムーン,,,9,E,12.3,6.0,12.3,5.0,35.2,7.0,36.5,,D,,,,
新潟,1,未勝利,芝,1200,良,10,カシノハンゾウ,2歳,上里直汰,蛯名利弘,差し,,50.0,短距離,左回り,,Lv2 ,ネロ,休明2走,,12,E,12.3,6.0,13.0,13.0,35.3,,37.3,,C,C,C,C,
