場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
中山,1,未勝利,ダート,1200,良(暫定),1,キョウエイハル,3歳,嶋田純次,伊坂重信,短距離,右回り,,トランセンド,,距離短縮
中山,1,未勝利,ダート,1200,良(暫定),2,コウソクユノ,3歳,杉原誠人,中舘英二,短距離,右回り,,ブリックスアンドモルタル,,
中山,1,未勝利,ダート,1200,良(暫定),3,ジャメビュ,3歳,遠藤汰月,佐藤吉勝,短距離,右回り,,ダノンレジェンド,,
中山,1,未勝利,ダート,1200,良(暫定),4,ルージュノヴァ,3歳,石田拓郎,萱野浩二,短距離,右回り,,アメリカンペイトリオット,休明初戦,距離短縮
中山,1,未勝利,ダート,1200,良(暫定),5,フラゲルムデイ,3歳,舟山瑠泉,石栗龍彦,短距離,右回り,,ベストウォーリア,休明初戦,
中山,1,未勝利,ダート,1200,良(暫定),6,ヴィビーム,3歳,菊沢一樹,岩戸孝樹,短距離,右回り,,ベストウォーリア,休明初戦,距離延長
中山,1,未勝利,ダート,1200,良(暫定),7,チャーミングアイ,3歳,小林脩斗,菊川正達,短距離,右回り,,マテラスカイ,,
中山,1,未勝利,ダート,1200,良(暫定),8,カンレイスター,3歳,戸崎圭太,矢野英一,短距離,右回り,,シスキン,休明3走,
中山,1,未勝利,ダート,1200,良(暫定),9,ローズライズ,3歳,谷原柚希,伊藤圭三,短距離,右回り,,マジェスティックウォリアー,,距離短縮
中山,1,未勝利,ダート,1200,良(暫定),10,フェルアフリーゼ,3歳,長浜鴻緒,深山雅史,短距離,右回り,,ドレフォン,,距離短縮
中山,1,未勝利,ダート,1200,良(暫定),11,ライヴレッドアイ,3歳,木幡巧也,牧光二,短距離,右回り,,ベストウォーリア,休明2走,
中山,1,未勝利,ダート,1200,良(暫定),12,ルクスアンジュ,3歳,木幡初也,鹿戸雄一,短距離,右回り,,ミッキーアイル,休明2走,距離延長
中山,1,未勝利,ダート,1200,良(暫定),13,オレンジキャンパス,3歳,武藤雅,武藤善則,短距離,右回り,,ヴァンゴッホ,休明初戦,
中山,1,未勝利,ダート,1200,良(暫定),14,ミッキーパラソル,3歳,佐々木大,久保田貴,短距離,右回り,,ダノンスマッシュ,休明初戦,距離短縮
中山,1,未勝利,ダート,1200,良(暫定),15,ジョリュウジャンシ,3歳,石神深道,南田美知,短距離,右回り,,セイウンコウセイ,,
中山,1,未勝利,ダート,1200,良(暫定),16,オレンジリバー,3歳,原優介,黒岩陽一,短距離,右回り,,スワーヴリチャード,休明3走,
中山,2,未勝利,ダート,1800,良(暫定),1,フーディエラン,3歳,横山琉人,田中剛,中距離,右回り,,ポエティックフレア,,
中山,2,未勝利,ダート,1800,良(暫定),2,ベルウッドピース,3歳,丹内祐次,中舘英二,中距離,右回り,,マジェスティックウォリアー,,
中山,2,未勝利,ダート,1800,良(暫定),3,ティラーノ,3歳,佐々木大,小手川準,中距離,右回り,,ゴールドシップ,,距離短縮
中山,2,未勝利,ダート,1800,良(暫定),4,レーヴドクロンヌ,3歳,上里直汰,加藤士津,中距離,右回り,,リーチザクラウン,休明初戦,距離延長
中山,2,未勝利,ダート,1800,良(暫定),5,ホッカイダイオー,3歳,佐藤翔馬,奥平雅士,中距離,右回り,,キセキ,,
中山,2,未勝利,ダート,1800,良(暫定),6,ビリージェイ,3歳,大野拓弥,高柳瑞樹,中距離,右回り,,ロードカナロア,,
中山,2,未勝利,ダート,1800,良(暫定),7,メイプルインパクト,3歳,丸田恭介,南田美知,中距離,右回り,,シルバーステート,,
中山,2,未勝利,ダート,1800,良(暫定),8,コパノエイダン,3歳,原優介,上原博之,中距離,右回り,,コパノリッキー,休明初戦,距離延長
中山,2,未勝利,ダート,1800,良(暫定),9,ジーティームーチョ,3歳,内田博幸,池上昌和,中距離,右回り,,ルーラーシップ,,
中山,2,未勝利,ダート,1800,良(暫定),10,スターゲイザー,3歳,長浜鴻緒,根本康広,中距離,右回り,,シュヴァルグラン,休明初戦,
中山,2,未勝利,ダート,1800,良(暫定),11,ウインデイブレイク,3歳,菊沢一樹,青木孝文,中距離,右回り,,ベンバトル,,
中山,2,未勝利,ダート,1800,良(暫定),12,アルデキングダム,3歳,横山典弘,村田一誠,中距離,右回り,,アニマルキングダム,,
中山,2,未勝利,ダート,1800,良(暫定),13,ノーブルホライズン,3歳,木幡初也,粕谷昌央,中距離,右回り,,キセキ,,距離短縮
中山,2,未勝利,ダート,1800,良(暫定),14,トップデュオ,3歳,荻野極,尾関知人,中距離,右回り,,シスキン,休明2走,
中山,2,未勝利,ダート,1800,良(暫定),15,ニシノロッドマン,3歳,野中悠太,矢嶋大樹,中距離,右回り,,リーチザクラウン,連闘,
中山,2,未勝利,ダート,1800,良(暫定),16,カフェタンガロア,3歳,横山和生,嘉藤貴行,中距離,右回り,,ロードカナロア,,距離短縮
中山,3,未勝利,ダート,1200,良(暫定),1,キョンチャン,3歳,江田照男,深山雅史,短距離,右回り,,バゴ,休明初戦,距離短縮
