bet_type,レースレベル,件数,ROI,CI_low,CI_high,p_value,多重検定OK,期間安定OK,採用,feat1_name,feat1_type,feat1_value,feat1_low,feat1_high,feat1_include_lowest,feat2_name,feat2_type,feat2_value,feat2_low,feat2_high,feat2_include_lowest
単勝,Lv2,305,136.2295081967213,105.38143666471312,165.4351047188668,0.15578442155784422,False,True,True,cv,continuous,cv_1,-inf,0.6135284311572098,True,脚質傾向,categorical,逃げ,,,
単勝,Lv2,2319,128.0551962052609,105.94449823440148,149.5186571477715,0.13838616138386162,False,True,True,合格数区分,categorical,2/3（概ね良）,,,,コース複勝率,continuous,コース複勝率_1,-inf,50.0,True
単勝,Lv2,495,194.84848484848484,128.85319211532803,253.69925104561815,0.07169283071692831,False,True,True,偏差値合格数区分,categorical,2/3+,,,,コース複勝率,continuous,コース複勝率_1,-inf,50.0,True
単勝,Lv2,238,198.27731092436974,126.86974789915966,266.22665700833033,0.10368963103689631,False,True,True,脚質傾向,categorical,逃げ,,,,距離帯複勝率,continuous,距離帯複勝率_2,16.666666666666664,50.0,False
単勝,Lv3,146,154.38356164383563,110.24671240708977,195.46767295597485,0.1391860813918608,False,True,True,偏差値合格数区分,categorical,2/3+,,,,脚質傾向,categorical,逃げ,,,
単勝,Lv4,207,160.14492753623188,102.8241622165467,214.58764140336393,0.18708129187081293,False,True,True,利益度上昇値,continuous,利益度上昇値_2,-0.8720000000000004,3.9103333333333192,False,人気乖離,continuous,人気乖離_2,1.0,6.0,False
単勝,Lv4,236,176.77966101694915,125.12060245026413,224.19379196263506,0.08099190080991901,False,True,True,人気乖離,continuous,人気乖離_2,1.0,6.0,False,cv,continuous,cv_2,0.6382385820975758,0.8119896623172428,False
単勝,Lv5,46,186.95652173913044,112.72727272727272,255.7850129198967,0.15528447155284472,False,True,True,人気乖離,continuous,人気乖離_2,1.0,6.0,False,脚質傾向,categorical,逃げ,,,
単勝,Lv5,56,542.1428571428572,157.58620689655172,903.8344827586208,0.09709029097090291,False,True,True,コース複勝率,continuous,コース複勝率_1,-inf,24.99999999999978,True,距離帯複勝率,continuous,距離帯複勝率_3,60.0,inf,False
単勝,nan,62,366.4516129032258,113.2247129579005,590.0400000000002,0.1658834116588341,False,True,True,人気乖離,continuous,人気乖離_2,1.0,5.0,False,合格数区分,categorical,3/3（万全）,,,
複勝,Lv1,30,162.33333333333334,113.30952380952382,207.198275862069,0.1352864713528647,False,True,True,人気乖離,continuous,人気乖離_3,4.0,inf,False,脚質傾向,categorical,逃げ,,,
複勝,Lv4,60,211.50000000000003,141.3037257824143,283.8547008547009,0.08289171082891711,False,True,True,人気乖離,continuous,人気乖離_3,6.0,inf,False,脚質傾向,categorical,逃げ,,,
複勝,Lv5,38,127.89473684210526,110.23492063492064,145.38877338877342,0.0888911108889111,False,True,True,人気乖離,continuous,人気乖離_1,-inf,1.0,True,偏差値合格数区分,categorical,2/3+,,,
複勝,Lv5,50,208.6,113.73170731707319,295.87747035573125,0.1551844815518448,False,True,True,人気乖離,continuous,人気乖離_3,6.0,inf,False,コース複勝率,continuous,コース複勝率_3,59.99999999999962,inf,False
複勝,nan,38,196.05263157894737,115.99999999999999,285.2977941176471,0.14238576142385762,False,True,True,人気乖離,continuous,人気乖離_3,5.0,inf,False,偏差値合格数区分,categorical,2/3+,,,
複勝,nan,72,168.88888888888889,128.22448077772867,208.43495531281036,0.049595040495950406,False,True,True,合格数区分,categorical,3/3（万全）,,,,偏差値合格数区分,categorical,2/3+,,,
複勝,nan,65,164.30769230769232,117.66666666666667,209.26455026455028,0.10338966103389662,False,True,True,偏差値合格数区分,categorical,2/3+,,,,脚質傾向,categorical,差し,,,
馬連軸流し,Lv3,676,230.32544378698225,130.53284612841838,321.94607297033843,0.1161883811618838,False,True,True,利益度上昇値,continuous,利益度上昇値_2,-0.9116666666666672,3.51733333333333,False,コース複勝率,continuous,コース複勝率_2,50.0,inf,False
