開催日,場所,R,馬番,馬名,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
20260222,小倉,1,1,ペルヴォルム,12,E,13.6,12.0,13.6,10.0,38.4,,37.9,2.0,C,,,,
20260222,小倉,1,2,ガーネットフレア,3,B,12.3,1.0,13.6,10.0,35.7,1.0,38.0,3.0,B,D,C,C,
20260222,小倉,1,3,シオンダンサー,1,A,12.8,6.0,12.8,2.0,37.9,,38.8,,C,,,,
20260222,小倉,1,4,マクノス,10,E,13.4,11.0,13.4,7.0,37.3,6.0,38.7,6.0,C,,,,
20260222,小倉,1,5,モーニングダリア,6,D,13.1,8.0,13.8,12.0,37.5,,38.8,,B,C,C,C,E
20260222,小倉,1,6,アクシュラ,7,D,13.3,10.0,13.3,4.0,37.3,6.0,38.2,4.0,C,C,,,
20260222,小倉,1,7,ドルマバフチェ,8,D,12.8,6.0,13.4,7.0,37.0,5.0,39.4,,C,B,C,B,B
20260222,小倉,1,8,サンタカリス,5,D,12.6,4.0,13.3,4.0,36.1,3.0,37.8,1.0,C,D,D,C,B
20260222,小倉,1,9,ケンブリッジグレイ,4,D,12.5,3.0,12.5,1.0,,,,,D,C,,,
20260222,小倉,1,10,コサージュ,2,B,12.4,2.0,13.0,3.0,36.0,2.0,38.3,5.0,D,C,C,,
20260222,小倉,1,11,ニシノシャルム,9,D,12.6,4.0,13.4,7.0,,,,,B,B,C,C,
20260222,小倉,1,12,ブルームザスマイル,11,E,13.2,9.0,13.3,4.0,36.7,4.0,40.1,,C,C,,,
20260222,小倉,2,1,スリーマドンナ,14,E,12.6,6.0,12.6,4.0,36.1,,39.5,,C,,,,
20260222,小倉,2,2,レッドアイスピア,9,D,12.3,2.0,12.3,2.0,34.2,2.0,35.8,,C,B,C,D,
20260222,小倉,2,3,マスカットオマーン,13,E,13.1,16.0,13.1,14.0,36.1,,34.7,6.0,D,,,,
20260222,小倉,2,4,カネトシパンドラ,15,E,12.6,6.0,12.6,4.0,35.8,9.0,37.3,,D,,,,
20260222,小倉,2,5,スピットブレイク,7,D,12.7,8.0,12.9,8.0,35.1,5.0,34.9,8.0,C,D,D,C,
20260222,小倉,2,6,ヒャクレツケン,17,E,12.8,12.0,13.2,15.0,35.4,8.0,36.1,,B,,B,B,C
20260222,小倉,2,7,イーリスアスター,16,E,12.5,5.0,12.9,8.0,35.1,5.0,35.8,,D,D,B,,
20260222,小倉,2,8,ペスキエーラ,6,D,13.0,14.0,13.0,12.0,36.0,,34.8,7.0,B,,,,
20260222,小倉,2,9,ニシノツネオ,18,E,13.5,17.0,13.5,16.0,36.5,,36.0,,B,,,,
20260222,小倉,2,10,ロジケープ,3,C,12.7,8.0,12.7,6.0,34.8,3.0,34.5,3.0,B,B,D,,
20260222,小倉,2,11,ベアコルム,8,D,12.7,8.0,13.6,17.0,35.9,,33.9,1.0,E,C,D,,
20260222,小倉,2,12,リアアーテシアン,12,E,12.7,8.0,12.7,6.0,36.9,,37.6,,C,B,,,
20260222,小倉,2,13,フクオトコ,2,B,12.9,13.0,12.9,8.0,35.8,9.0,34.1,2.0,B,,,,
20260222,小倉,2,14,ウインハルフォード,10,D,12.3,2.0,12.9,8.0,33.8,1.0,35.0,9.0,C,B,,,
20260222,小倉,2,15,ジューンオアシス,5,C,13.0,14.0,13.0,12.0,35.9,,34.5,3.0,B,,,,
20260222,小倉,2,16,ドラムメジャー,1,B,12.2,1.0,12.2,1.0,35.0,4.0,35.1,,D,,,,
20260222,小倉,2,17,キミノナハオリョウ,11,D,14.3,18.0,14.3,18.0,36.7,,34.6,5.0,B,C,,,
20260222,小倉,2,18,バレンタインビスタ,4,C,12.3,2.0,12.3,2.0,35.1,5.0,36.7,,E,C,C,,
20260222,小倉,3,1,ベニシア,11,E,11.8,2.0,13.0,10.0,35.8,,36.8,6.0,C,B,B,C,C
20260222,小倉,3,2,ナムラモモ,1,B,12.1,6.0,12.3,3.0,35.1,3.0,37.1,,B,C,B,C,C
20260222,小倉,3,3,マオノクラッシュ,2,C,12.0,4.0,12.6,6.0,35.5,6.0,37.0,7.0,C,C,D,C,B
20260222,小倉,3,4,ミライハーモニー,6,D,12.0,4.0,12.8,8.0,35.6,7.0,35.7,2.0,D,C,D,C,C
20260222,小倉,3,5,ハッピーダンシング,10,E,11.6,1.0,12.0,1.0,,,,,D,B,D,B,B
20260222,小倉,3,6,ナンヨークリスタル,7,D,12.4,10.0,13.1,11.0,36.2,,35.6,1.0,B,C,C,C,C
20260222,小倉,3,7,エコロカディス,9,D,12.2,7.0,,,35.2,4.0,38.1,,C,B,B,B,A
20260222,小倉,3,8,ラミアメンテ,5,C,12.2,7.0,12.2,2.0,,,,,C,D,C,,
20260222,小倉,3,9,サイモンプレジール,12,E,12.5,12.0,12.8,8.0,37.3,,36.1,3.0,C,C,D,C,B
20260222,小倉,3,10,シュークリーム,3,C,11.8,2.0,12.3,3.0,34.9,1.0,36.7,5.0,B,C,C,B,B
20260222,小倉,3,11,イチトゼロノアイダ,4,C,12.3,9.0,12.6,6.0,34.9,1.0,37.8,,C,C,C,D,C
20260222,小倉,3,12,クリノミニスター,8,D,12.4,10.0,13.1,11.0,35.9,,37.5,,D,D,C,C,B
20260222,小倉,3,13,ヨーグルトナン,14,E,12.5,12.0,12.5,5.0,36.0,,38.0,,C,C,,C,
20260222,小倉,3,14,エブライト,13,E,12.5,12.0,13.1,11.0,35.3,5.0,36.6,4.0,C,C,C,A,C
20260222,小倉,4,1,フジフォンテ,3,B,12.9,11.0,,,,,,,C,C,C,C,C
20260222,小倉,4,2,ライツフォル,7,D,11.9,1.0,12.5,1.0,34.8,1.0,36.7,2.0,B,B,D,C,C
20260222,小倉,4,3,リケアキャンディ,12,E,13.1,12.0,,,,,,,C,B,C,C,C
20260222,小倉,4,4,グラニットピーク,5,D,12.5,4.0,,,36.2,3.0,35.8,1.0,C,D,B,D,B
20260222,小倉,4,5,ルルフィーユ,11,E,12.5,4.0,13.5,3.0,36.8,4.0,37.5,4.0,D,D,,,
20260222,小倉,4,6,マテンロウノカゼ,4,C,12.7,8.0,,,,,,,C,C,C,C,B
20260222,小倉,4,7,チャイボーグ,10,E,12.7,8.0,13.9,4.0,,,,,C,B,C,C,B
20260222,小倉,4,8,メイショウカゼマチ,9,D,12.0,2.0,12.6,2.0,35.0,2.0,36.9,3.0,C,C,C,C,B
20260222,小倉,4,9,パーセルペーパー,8,D,12.6,6.0,,,,,,,C,B,D,D,C
20260222,小倉,4,10,タガノバルコス,1,B,12.6,6.0,,,,,,,C,C,C,C,C
20260222,小倉,4,11,メイショウコガシラ,6,D,12.2,3.0,,,,,,,C,C,C,C,C
20260222,小倉,4,12,ブラックバラード,2,B,12.7,8.0,,,,,,,C,C,D,B,C
20260222,小倉,5,1,ブリックアブラック,12,E,13.0,7.0,13.0,5.0,36.3,5.0,35.1,,B,B,B,,
20260222,小倉,5,2,エイシンイグニース,5,C,13.5,9.0,13.5,7.0,39.0,,35.9,,D,,,,
20260222,小倉,5,3,チョウシュンカ,10,E,14.3,13.0,14.3,13.0,38.6,,34.7,5.0,B,,,,
20260222,小倉,5,4,カズシ,4,C,13.9,11.0,14.1,12.0,37.1,,34.2,4.0,A,B,,,
20260222,小倉,5,5,ディエスルージュ,8,D,12.9,5.0,12.9,3.0,36.6,6.0,35.2,,D,,,,
20260222,小倉,5,6,マジックファイヤー,7,D,12.9,5.0,12.9,3.0,36.7,,35.5,,C,C,D,,
20260222,小倉,5,7,ココロヅヨサ,11,E,14.0,12.0,14.0,11.0,38.6,,35.4,,B,,,,
20260222,小倉,5,8,イルミナジーティー,2,B,12.8,4.0,12.8,2.0,35.9,3.0,33.6,2.0,D,C,B,,
20260222,小倉,5,9,ヤクジョ,9,D,12.6,2.0,13.7,10.0,35.8,1.0,34.1,3.0,D,B,C,C,B
20260222,小倉,5,10,タマリスペクト,13,E,13.0,7.0,13.5,7.0,37.6,,36.5,,C,C,C,C,C
20260222,小倉,5,11,リゴドン,6,D,13.6,10.0,13.6,9.0,37.8,,34.9,6.0,B,,,,
20260222,小倉,5,12,ホウオウストライク,3,C,12.4,1.0,12.4,1.0,36.0,4.0,35.7,,C,D,,,
20260222,小倉,5,13,メイショウナルカミ,1,B,12.7,3.0,13.2,6.0,35.8,1.0,33.0,1.0,C,C,C,C,
20260222,小倉,6,1,タガノラヴズワン,10,D,13.3,11.0,13.3,7.0,36.3,,34.8,,B,,,,
20260222,小倉,6,2,アスコットダンス,6,D,12.7,3.0,12.7,2.0,36.3,,34.3,6.0,C,B,D,C,C
20260222,小倉,6,3,パノラマステージ,9,D,12.9,7.0,13.5,9.0,35.6,6.0,35.9,,B,D,C,,
20260222,小倉,6,4,ソングオブザバード,5,D,,,,,,,,,,,,,
20260222,小倉,6,5,ベベペッパー,11,E,12.8,5.0,13.4,8.0,35.7,7.0,34.7,8.0,C,D,C,,
20260222,小倉,6,6,リリーボレア,8,D,13.6,13.0,13.6,10.0,36.5,,33.8,1.0,B,,,,
20260222,小倉,6,7,メイショウローゼ,4,C,13.7,14.0,13.7,12.0,37.7,,34.1,3.0,C,,,,
20260222,小倉,6,8,ゴールデンテティス,16,E,13.1,9.0,13.9,14.0,36.6,,34.1,3.0,B,C,C,,
20260222,小倉,6,9,アルビオン,15,E,13.5,12.0,13.8,13.0,35.7,7.0,36.9,,D,B,,,
20260222,小倉,6,10,タイセイスタナー,7,D,12.4,1.0,12.4,1.0,34.5,1.0,34.2,5.0,C,D,,,
20260222,小倉,6,11,エコロラヴァー,3,C,12.8,5.0,12.8,3.0,35.0,3.0,33.9,2.0,B,B,D,,
20260222,小倉,6,12,リアルナイスガール,12,E,13.0,8.0,13.6,10.0,36.3,,35.1,,D,B,C,,
20260222,小倉,6,13,ヒーナシャム,14,E,13.2,10.0,13.2,6.0,35.5,5.0,35.9,,C,D,,,
20260222,小倉,6,14,インフィオラータ,2,B,12.6,2.0,12.8,3.0,34.6,2.0,35.6,,D,C,C,C,B
20260222,小倉,6,15,トリプルハッピー,13,E,,,,,,,,,,,,,
20260222,小倉,6,16,ブライトエアリー,1,B,12.7,3.0,12.8,3.0,35.2,4.0,34.4,7.0,C,B,D,C,
20260222,小倉,7,1,キミオモウハナ,12,E,13.2,14.0,14.5,14.0,38.0,,38.3,,C,C,C,B,C
20260222,小倉,7,2,マーベリックシチー,5,C,13.0,12.0,13.7,11.0,36.6,7.0,37.5,6.0,D,D,D,C,B
20260222,小倉,7,3,クールシェルタ,11,E,12.7,7.0,13.3,5.0,37.3,,38.6,,C,C,D,C,C
20260222,小倉,7,4,ブレットフライ,13,E,12.6,6.0,13.8,12.0,37.9,,37.7,,C,C,B,C,C
20260222,小倉,7,5,ホウオウバローロ,3,C,12.8,8.0,13.5,8.0,36.8,,37.6,,D,C,C,B,B
20260222,小倉,7,6,マテンロウカナロア,1,A,12.4,5.0,13.4,7.0,34.8,1.0,37.4,4.0,D,B,D,D,C
20260222,小倉,7,7,ツーピース,9,D,12.2,2.0,13.3,5.0,35.6,3.0,38.3,,C,C,D,C,B
20260222,小倉,7,8,マンオブザマッチ,2,B,12.9,11.0,13.0,2.0,37.4,,36.6,1.0,C,C,C,C,C
20260222,小倉,7,9,ウイングスオブラヴ,14,E,12.8,8.0,14.4,13.0,37.3,,37.8,,C,C,C,B,C
20260222,小倉,7,10,グレイスフルマーチ,4,C,12.8,8.0,13.6,9.0,36.1,6.0,37.0,3.0,C,C,C,C,C
20260222,小倉,7,11,プロスペクト,10,E,12.3,3.0,12.4,1.0,35.9,4.0,37.4,4.0,B,C,D,C,
20260222,小倉,7,12,ミッションルース,7,D,12.1,1.0,13.1,3.0,35.0,2.0,38.1,,C,B,C,C,C
20260222,小倉,7,13,ラテライト,6,D,13.0,12.0,13.1,3.0,37.0,,37.5,6.0,C,C,D,C,C
20260222,小倉,7,14,ミュークチェルシー,8,D,12.3,3.0,13.6,9.0,36.0,5.0,36.8,2.0,C,C,B,C,B
20260222,小倉,8,1,ピティロディア,11,D,13.1,13.0,13.2,5.0,36.6,,34.4,,C,D,B,B,D
20260222,小倉,8,2,ルールーリマ,2,B,13.0,11.0,13.0,2.0,36.7,,33.6,2.0,B,B,C,C,A
20260222,小倉,8,3,メリザンド,8,D,12.4,2.0,13.4,10.0,35.5,1.0,33.9,4.0,D,C,C,C,C
20260222,小倉,8,4,ボナーテソーロ,13,E,12.8,8.0,12.8,1.0,35.9,7.0,34.8,,B,C,B,C,C
20260222,小倉,8,5,ダノンアトラス,5,C,12.8,8.0,13.4,10.0,35.7,4.0,34.3,7.0,D,B,D,D,C
20260222,小倉,8,6,ポッポノフェスタ,12,E,13.0,11.0,13.2,5.0,35.8,5.0,35.2,,B,B,C,B,C
20260222,小倉,8,7,デルシエロ,10,D,12.6,5.0,13.2,5.0,37.0,,33.7,3.0,B,C,D,B,B
20260222,小倉,8,8,バズアップビート,3,C,12.8,8.0,13.7,13.0,35.8,5.0,34.0,5.0,D,B,A,E,D
20260222,小倉,8,9,マイネルビスマルク,4,C,13.3,14.0,13.6,12.0,35.9,7.0,34.2,6.0,D,C,C,D,C
20260222,小倉,8,10,ゼンノインヴォーク,6,D,12.6,5.0,13.2,5.0,35.5,1.0,34.4,,D,E,B,B,B
20260222,小倉,8,11,マイネルアウルム,1,B,12.6,5.0,13.2,5.0,36.4,,33.5,1.0,C,C,D,D,B
