開催日,場所,R,馬番,馬名,推定人気,人気ランク
20260621,函館,1,1,ソルトアイリス,1,B
20260621,函館,1,2,キミノナハオリョウ,14,E
20260621,函館,1,3,バレンタインビスタ,3,C
20260621,函館,1,4,スワトウ,8,D
20260621,函館,1,5,エビスディアーナ,16,E
20260621,函館,1,6,クリーンブーケ,13,E
20260621,函館,1,7,ルージュフローラ,7,D
20260621,函館,1,8,ファインコンダクト,4,D
20260621,函館,1,9,エコロアビス,5,D
20260621,函館,1,10,スプリングドリーム,6,D
20260621,函館,1,11,ハルヒメ,2,B
20260621,函館,1,12,ノーブルマドンナ,15,E
20260621,函館,1,13,トリアングルレディ,10,D
20260621,函館,1,14,ミレニアルピンク,9,D
20260621,函館,1,15,ブリリアンブルーム,12,E
20260621,函館,1,16,チャーミングアイ,11,E
20260621,函館,2,1,ハイドパーク,4,D
20260621,函館,2,2,ポップアップ,2,B
20260621,函館,2,3,ウインモンクール,3,B
20260621,函館,2,4,キヨタリート,5,D
20260621,函館,2,5,ラヴィニアパーク,6,D
20260621,函館,2,6,マーゴットデウス,9,E
20260621,函館,2,7,テンカフブ,11,E
20260621,函館,2,8,ロードステラート,1,B
20260621,函館,2,9,ジャストグレース,8,D
20260621,函館,2,10,トーセンアミューズ,10,E
20260621,函館,2,11,フクチャンブラック,7,D
20260621,函館,3,1,ステキサプライズ,11,E
20260621,函館,3,2,ユーベルジーク,12,E
20260621,函館,3,3,エコロデュラン,7,D
20260621,函館,3,4,マーマレードスカイ,3,C
20260621,函館,3,5,ソパデアホ,8,D
20260621,函館,3,6,シェイプオブユー,2,C
20260621,函館,3,7,カッサンドラ,6,D
20260621,函館,3,8,コウユーネロガ,4,C
20260621,函館,3,9,ライトオブジアース,5,D
20260621,函館,3,10,ワイドアルバ,9,D
20260621,函館,3,11,ラブデウザ,10,D
20260621,函館,3,12,グレイトソン,1,A
20260621,函館,4,1,ベアサナエチャン,2,C
20260621,函館,4,2,ワダツミ,16,E
20260621,函館,4,3,コスモクラシック,12,E
20260621,函館,4,4,エイシンインアウト,9,D
20260621,函館,4,5,チリンドリ,11,D
20260621,函館,4,6,コンティ,5,D
20260621,函館,4,7,トルークマクト,7,D
20260621,函館,4,8,パンキー,3,C
20260621,函館,4,9,ヘクセンハウス,8,D
20260621,函館,4,10,マイネルディザイア,14,E
20260621,函館,4,11,ヒシナスキロ,1,A
20260621,函館,4,12,アーデルブリックス,6,D
20260621,函館,4,13,グランフルス,10,D
20260621,函館,4,14,レジーナレガリア,13,E
20260621,函館,4,15,デルマノリクラ,15,E
20260621,函館,4,16,コワンニシタガウ,4,C
20260621,函館,5,1,フェリチタ,3,C
20260621,函館,5,2,ラストモーメント,6,D
20260621,函館,5,3,コックニー,1,A
20260621,函館,5,4,レインボースター,9,D
20260621,函館,5,5,ゴートゥービッツン,10,E
20260621,函館,5,6,キチロクタワー,8,D
20260621,函館,5,7,リアルジャパン,7,D
20260621,函館,5,8,クリアストライク,2,B
20260621,函館,5,9,トーセンルルド,4,D
20260621,函館,5,10,ブレイヴアーサー,5,D
20260621,函館,6,1,ビナハイバン,10,D
20260621,函館,6,2,メイショウセンドウ,8,D
20260621,函館,6,3,ライヴマルガリータ,12,E
20260621,函館,6,4,モロノカガヤキ,1,B
20260621,函館,6,5,チャーチルデュース,3,C
20260621,函館,6,6,ウインカトリーヌ,6,D
20260621,函館,6,7,シュヴェスター,2,B
