場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
福島,1,1,サードウインド,西田雄一,-818.0,1265.0,718.0,663.0,129.0,132.0,,,2089.0,4.0
福島,1,2,ライヴドライバー,尾形和幸,-454.0,-666.0,-1625.0,-1055.0,-850.0,-1095.0,,,-5745.0,11.0
福島,1,3,ユウオウマイシン,松永康利,27.0,216.0,423.0,-2358.0,-264.0,-387.0,,,-2343.0,8.0
福島,1,4,ゼンダンタカ,角田晃一,240.0,918.0,-148.0,-225.0,213.0,215.0,,,1213.0,5.0
福島,1,5,エソテリック,矢嶋大樹,,,,,,,,,,
福島,1,6,ワイドレッド,武井亮　,249.0,487.0,320.0,1373.0,181.0,101.0,,,2711.0,3.0
福島,1,7,ブルドッグワイルド,西園正都,-349.0,12.0,1738.0,275.0,-197.0,-595.0,-489.0,,395.0,7.0
福島,1,8,ブリックダルジャン,鈴木慎太,942.0,2001.0,2434.0,825.0,1644.0,1232.0,,,9078.0,1.0
福島,1,9,ポップグルーヴ,小手川準,90.0,-892.0,-278.0,-300.0,-291.0,-1004.0,,,-2675.0,9.0
福島,1,10,コモモチャン,牧浦充徳,445.0,-544.0,-95.0,63.0,707.0,113.0,,,689.0,6.0
福島,1,11,コパノハーン,村山明　,705.0,146.0,1288.0,749.0,633.0,1585.0,,,5106.0,2.0
福島,1,12,リュウノヒルド,伊坂重信,-647.0,-72.0,-1904.0,-391.0,-1077.0,-1667.0,,,-5758.0,12.0
福島,1,13,クールマーロウ,矢野英一,-724.0,-197.0,-342.0,-507.0,-729.0,-1641.0,-356.0,,-4496.0,10.0
福島,2,1,フェアリーブルー,西園翔太,206.0,-283.0,1299.0,-979.0,195.0,1902.0,,,2340.0,5.0
福島,2,2,フェイトライン,斉藤崇史,-80.0,75.0,-145.0,-102.0,-290.0,15.0,,,-527.0,6.0
福島,2,3,アメージング,中舘英二,-613.0,-367.0,-364.0,-294.0,-557.0,-982.0,,,-3177.0,10.0
福島,2,4,カゼノタカトシ,久保田貴,-48.0,113.0,-79.0,-201.0,-243.0,-163.0,,,-621.0,7.0
福島,2,5,ヒカリスペクトル,松永康利,27.0,216.0,423.0,-2358.0,-215.0,-387.0,,,-2294.0,9.0
福島,2,6,ニシノブレイゼスト,高木登　,325.0,1021.0,18.0,46.0,1539.0,111.0,41.0,,3101.0,4.0
福島,2,7,ガールネクストドア,石毛善彦,-296.0,-912.0,-1671.0,-556.0,-263.0,206.0,,,-3492.0,11.0
福島,2,8,ミルトオーケストラ,武市康男,-603.0,-1433.0,-2119.0,-219.0,-250.0,-2552.0,-1018.0,,-8194.0,14.0
福島,2,9,ボールドハーテッド,鈴木孝志,74.0,-849.0,-598.0,225.0,-574.0,-526.0,,,-2248.0,8.0
福島,2,10,ゲンタツ,中竹和也,407.0,892.0,-19.0,755.0,2007.0,2396.0,,,6438.0,1.0
福島,2,11,ヴィーデ,戸田博文,-636.0,128.0,-1251.0,-623.0,-1478.0,-1011.0,-994.0,,-5865.0,12.0
福島,2,12,キョウエイスレーヴ,萱野浩二,-842.0,-1746.0,-1009.0,-1693.0,-819.0,-420.0,,,-6529.0,13.0
福島,2,13,ユイノクニマレ,深山雅史,106.0,812.0,-4.0,1234.0,-357.0,2833.0,,,4624.0,2.0
福島,2,14,ロードシュヴァリエ,森田直行,-33.0,1411.0,451.0,473.0,1109.0,285.0,,,3696.0,3.0
福島,3,1,メモリーフィルム,矢嶋大樹,,,,,,,,,,
福島,3,2,スティルシャイニン,天間昭一,-538.0,702.0,-166.0,455.0,813.0,1415.0,,,2681.0,4.0
福島,3,3,アミグダラ,岩戸孝樹,-506.0,-736.0,-1319.0,-63.0,-345.0,-719.0,,,-3688.0,10.0
福島,3,4,トレヴィーテ,尾関知人,-139.0,-1447.0,-976.0,-403.0,-2013.0,-445.0,,,-5423.0,12.0
福島,3,5,テーオーシュターデ,宮徹　　,20.0,366.0,380.0,137.0,19.0,-704.0,,,218.0,6.0
福島,3,6,ゴーゴーゴウト,加藤士津,-271.0,-446.0,-1099.0,-169.0,-1131.0,232.0,,,-2884.0,8.0
福島,3,7,タマモブラウンタイ,角田晃一,240.0,918.0,1013.0,-225.0,213.0,215.0,,,2374.0,5.0
福島,3,8,モズアンドモズ,栗田徹　,279.0,-970.0,-810.0,152.0,-1705.0,-1189.0,,,-4243.0,11.0
福島,3,9,ドリフトウッド,南田美知,-601.0,-1722.0,-287.0,-1574.0,-2809.0,-706.0,,,-7699.0,14.0
福島,3,10,ヒルノガリシア,北出成人,10.0,615.0,1781.0,-26.0,2908.0,1628.0,,,6916.0,1.0
福島,3,11,ダテヒリュウ,西園正都,-349.0,12.0,-1653.0,275.0,-197.0,-595.0,-489.0,,-2996.0,9.0
福島,3,12,ペタルブランシュ,村田一誠,-55.0,-2686.0,-3058.0,-1636.0,-2610.0,-3846.0,,,-13891.0,15.0
福島,3,13,クレーブラット,緒方努　,1378.0,612.0,-433.0,-1253.0,1115.0,2294.0,,,3713.0,3.0
福島,3,14,フクライキリシマ,武市康男,-603.0,-1433.0,-537.0,-219.0,-1952.0,-2552.0,,,-7296.0,13.0
福島,3,15,イズルード,田島俊明,294.0,-1004.0,-990.0,-566.0,119.0,-604.0,,,-2751.0,7.0
福島,3,16,ヒタムキ,鈴木慎太,942.0,2001.0,-71.0,825.0,1644.0,1232.0,,,6573.0,2.0
福島,4,1,ダオラダオラ,羽月友彦,195.0,8.0,-103.0,1385.0,0.0,-1347.0,-145.0,,-7.0,4.0
福島,4,2,ビヨンドザリミット,稲垣幸雄,-216.0,39.0,678.0,-703.0,-68.0,399.0,,,129.0,3.0
福島,4,3,ウインラウダ,梅田智之,118.0,-655.0,-815.0,-88.0,135.0,505.0,,,-800.0,6.0
福島,4,4,ダノンペドロ,寺島良　,-307.0,-996.0,177.0,-339.0,41.0,-1546.0,-377.0,,-3347.0,10.0
福島,4,5,エアロソニック,鈴木慎太,942.0,-219.0,2434.0,2347.0,8.0,1232.0,,,6744.0,1.0
福島,4,6,リオンエトワール,堀内岳志,-1159.0,-593.0,-2111.0,185.0,-973.0,-2481.0,-45.0,,-7177.0,11.0
福島,4,7,ライヴァル,天間昭一,-538.0,-1160.0,-925.0,-545.0,-219.0,1415.0,,,-1972.0,7.0
福島,4,8,シーリュウシー,岡田稲男,-107.0,-6.0,504.0,45.0,-12.0,-515.0,67.0,,-24.0,5.0
福島,4,9,タケルゴールド,加藤征弘,-672.0,-81.0,-420.0,-291.0,-243.0,-1012.0,,,-2719.0,8.0
福島,4,10,アンノウンウォリア,平田修　,64.0,-982.0,46.0,-648.0,-184.0,-1138.0,-190.0,,-3032.0,9.0
福島,4,11,ユアフラッシュ,辻野泰之,326.0,794.0,90.0,929.0,517.0,1654.0,,,4310.0,2.0
福島,5,1,クラリティー,長谷川浩,259.0,390.0,508.0,616.0,-304.0,1175.0,,,2644.0,4.0
福島,5,2,マテンロウギフト,茶木太樹,-112.0,306.0,-1663.0,488.0,-127.0,-637.0,,,-1745.0,10.0
福島,5,3,グラスティアラ,菊川正達,327.0,-548.0,-900.0,-739.0,-431.0,70.0,,,-2221.0,12.0
福島,5,4,マカナ,伊藤大士,-229.0,-157.0,-2037.0,-618.0,-1681.0,-1773.0,,,-6495.0,15.0
福島,5,5,マジックスクロール,石毛善彦,-296.0,159.0,-729.0,-556.0,-263.0,206.0,,,-1479.0,9.0
福島,5,6,シャンソンドール,奥村武　,-157.0,54.0,-382.0,-97.0,-1713.0,-505.0,,,-2800.0,13.0
福島,5,7,ジャスパー,上原博之,-453.0,149.0,-177.0,-690.0,-630.0,-43.0,,,-1844.0,11.0
福島,5,8,フェスティーヴォ,中竹和也,407.0,83.0,2417.0,755.0,2007.0,2396.0,,,8065.0,1.0
福島,5,9,アンファング,森田直行,-33.0,704.0,409.0,473.0,1109.0,285.0,,,2947.0,3.0
福島,5,10,ナンヨービッグ,斎藤誠　,-393.0,-208.0,-642.0,-148.0,-1496.0,-83.0,,,-2970.0,14.0
福島,5,11,イトウ,高柳瑞樹,108.0,151.0,460.0,-107.0,-562.0,-438.0,,,-388.0,8.0
福島,5,12,エリーナストーム,鹿戸雄一,202.0,534.0,-8.0,1059.0,-84.0,-398.0,-1353.0,,-48.0,6.0
福島,5,13,バイオマックス,黒岩陽一,-23.0,118.0,335.0,272.0,-759.0,-291.0,,,-348.0,7.0
福島,5,14,ピリカサンライズ,牧浦充徳,445.0,431.0,929.0,63.0,105.0,113.0,,,2086.0,5.0
福島,5,15,レジーナシルバルム,武井亮　,249.0,601.0,565.0,1373.0,216.0,101.0,,,3105.0,2.0
福島,5,16,シャインフリーリー,矢嶋大樹,,,,,,,,,,
福島,6,1,ギルティプレジャー,寺島良　,-307.0,-996.0,-2130.0,-324.0,-866.0,-1546.0,,,-6169.0,14.0
福島,6,2,スーパーマン,岩戸孝樹,-506.0,105.0,-1319.0,-64.0,-345.0,-719.0,-40.0,,-2888.0,13.0
福島,6,3,ジオパーククラウン,長谷川浩,259.0,-79.0,508.0,200.0,612.0,1175.0,-67.0,,2608.0,4.0
福島,6,4,レッドカメリア,佐藤吉勝,265.0,-138.0,-3345.0,-709.0,-1395.0,-3211.0,-1586.0,,-10119.0,16.0
福島,6,5,アップフルーク,松山将樹,705.0,-466.0,483.0,18.0,-487.0,-959.0,,,-706.0,11.0
福島,6,6,ミエノブラボー,宗像義忠,389.0,326.0,2258.0,-390.0,1698.0,1447.0,448.0,,6176.0,2.0
福島,6,7,ニシノアヤカゼ,鈴木伸尋,858.0,-1082.0,-111.0,320.0,123.0,50.0,-126.0,,32.0,9.0
福島,6,8,イスラアズール,武井亮　,249.0,203.0,565.0,-81.0,181.0,101.0,,,1218.0,8.0
福島,6,9,マルモリディライト,和田雄二,752.0,-1566.0,996.0,-1916.0,-34.0,852.0,,,-916.0,12.0
福島,6,10,グランテレーズ,渡辺薫彦,199.0,348.0,1117.0,-233.0,-474.0,543.0,,,1500.0,7.0
福島,6,11,トレンシャリー,寺島良　,-307.0,-996.0,-2130.0,-324.0,-866.0,-1546.0,-105.0,,-6274.0,15.0
福島,6,12,アエリーゾ,庄野靖志,-185.0,-525.0,98.0,102.0,-299.0,515.0,,,-294.0,10.0
福島,6,13,イナウィンク,吉田直弘,189.0,808.0,-561.0,1183.0,529.0,726.0,,,2874.0,3.0
福島,6,14,ラブカムーン,千田輝彦,412.0,1327.0,2115.0,1507.0,2456.0,853.0,,,8670.0,1.0
福島,6,15,ブライティアダイヤ,稲垣幸雄,-216.0,39.0,635.0,202.0,888.0,399.0,,,1947.0,6.0
福島,6,16,ナックブレイブ,杉浦宏昭,771.0,-108.0,39.0,-544.0,1198.0,726.0,,,2082.0,5.0
福島,7,1,ララプロフォン,坂口智康,-157.0,-1491.0,-1401.0,-54.0,-1579.0,-381.0,1021.0,,-4042.0,12.0
福島,7,2,ルルディルッカ,菊川正達,327.0,-1180.0,-709.0,465.0,-1208.0,70.0,-312.0,,-2547.0,10.0
福島,7,3,バッファローライズ,伊藤圭三,123.0,-235.0,-1372.0,-411.0,-1515.0,-833.0,,,-4243.0,13.0
福島,7,4,ラセーヌシュメール,杉浦宏昭,771.0,-108.0,895.0,806.0,1198.0,726.0,,,4288.0,1.0
福島,7,5,ピリー,西園正都,-349.0,-698.0,1738.0,-388.0,-197.0,-595.0,-105.0,,-594.0,7.0
福島,7,6,ワタシダケドナニカ,本間忍　,-1015.0,-2435.0,-2195.0,-807.0,-1603.0,-2132.0,-662.0,,-10849.0,15.0
福島,7,7,ファイアネイド,安田翔伍,68.0,389.0,900.0,234.0,914.0,937.0,,,3442.0,2.0
福島,7,8,ルージュルミナス,平田修　,64.0,-982.0,46.0,-648.0,-1129.0,-1138.0,-517.0,,-4304.0,14.0
