場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
中山,1,1,スターオブガイア,リアルインパクト,-303.0,652.0,387.0,-698.0,541.0,293.0,,,872.0,4.0
中山,1,2,コットンフラワー,モーニン,-614.0,-308.0,-196.0,-382.0,-887.0,-9.0,,,-2396.0,6.0
中山,1,3,グレイトフルトップ,アポロケンタッキー,,,,,,,,,,
中山,1,4,ミルトオーケストラ,ダノンレジェンド,438.0,558.0,4340.0,699.0,2187.0,2657.0,1346.0,,12225.0,1.0
中山,1,5,モーニングスター,モーニン,-614.0,-308.0,-196.0,-382.0,-887.0,-9.0,-353.0,,-2749.0,7.0
中山,1,6,レーヴレジェンド,ゴールドドリーム,,,,,,,,,,
中山,1,7,ディラードテソーロ,フィエールマン,,,,,,,,,,
中山,1,8,キタノライブリー,アジアエクスプレス,178.0,-426.0,434.0,227.0,745.0,1230.0,411.0,,2799.0,3.0
中山,1,9,イサチルカムカム,サンダースノー,-238.0,-198.0,-469.0,-2184.0,-505.0,-1605.0,-120.0,,-5319.0,8.0
中山,1,10,フェスティヴレッツ,ルヴァンスレーヴ,,,,,,,,,,
中山,1,11,ダングラール,ダイワメジャー,-289.0,-407.0,-2968.0,-627.0,-874.0,-2636.0,119.0,,-7682.0,9.0
中山,1,12,サードウインド,Dandy Man,,,,,,,,,,
中山,1,13,ダイチラポール,トビーズコーナー,1379.0,283.0,1474.0,-341.0,242.0,1443.0,,,4480.0,2.0
中山,1,14,クールマーロウ,フィエールマン,,,,,,,,,,
中山,1,15,モルフェヴォロンテ,イスラボニータ,57.0,144.0,-1222.0,529.0,484.0,-2141.0,,,-2149.0,5.0
中山,1,16,ゼロファイター,エポカドーロ,,,,,,,,,,
中山,2,1,ダブルメッセージ,モーニン,-614.0,-308.0,-196.0,-382.0,403.0,-9.0,,,-1106.0,9.0
中山,2,2,ニシノブレイゼスト,シルバーステート,2476.0,-818.0,-2566.0,-109.0,6.0,-1198.0,-491.0,,-2700.0,11.0
中山,2,3,カイトリヒト,ミッキーアイル,182.0,446.0,-1005.0,153.0,876.0,913.0,1198.0,,2763.0,4.0
中山,2,4,センノアバドン,キタノコマンドール,,,,,,,,,,
中山,2,5,スティーヴバローズ,ロジャーバローズ,594.0,313.0,76.0,2406.0,493.0,432.0,195.0,,4509.0,3.0
中山,2,6,ノーブルプライム,カリフォルニアクローム,1521.0,582.0,1367.0,1166.0,456.0,-17.0,,,5075.0,2.0
中山,2,7,カゼノタカトシ,レイデオロ,1554.0,1892.0,972.0,2115.0,1900.0,2216.0,1245.0,,11894.0,1.0
中山,2,8,ベイビーベリッシモ,ロゴタイプ,-67.0,-1424.0,-772.0,-1050.0,1032.0,473.0,-29.0,,-1837.0,10.0
中山,2,9,レジェンダイズ,マインドユアビスケッツ,-60.0,400.0,-2258.0,-456.0,-466.0,-744.0,,,-3584.0,14.0
中山,2,10,バタール,ナダル,,,,,,,,,,
中山,2,11,カンタベリーバイク,ベルシャザール,-103.0,45.0,-412.0,7.0,-682.0,173.0,167.0,,-805.0,7.0
中山,2,12,ロイヤルカスタマー,バトルプラン,164.0,268.0,-537.0,-311.0,-552.0,211.0,-331.0,,-1088.0,8.0
中山,2,13,ネオシャクナゲ,パドトロワ,-372.0,-630.0,-890.0,-254.0,-394.0,-564.0,-392.0,,-3496.0,13.0
中山,2,14,イトウ,デクラレーションオブウォー,59.0,713.0,-746.0,82.0,168.0,1784.0,526.0,,2586.0,5.0
中山,2,15,マンボルンバ,パドトロワ,-372.0,-630.0,-890.0,-254.0,-394.0,-564.0,,,-3104.0,12.0
中山,2,16,ピジョンポイント,ブリックスアンドモルタル,-958.0,265.0,522.0,-341.0,767.0,-845.0,,,-590.0,6.0
中山,3,1,ヴェロニカペルシカ,ダイワメジャー,-289.0,-407.0,395.0,-627.0,-874.0,-2636.0,-2916.0,,-7354.0,11.0
中山,3,2,リュウゼツラン,ダノンバラード,-1820.0,780.0,1859.0,749.0,455.0,2824.0,901.0,,5748.0,1.0
中山,3,3,アグネスサンキ,マクフィ,-718.0,-303.0,992.0,277.0,1128.0,-317.0,72.0,,1131.0,5.0
中山,3,4,ジョイフルニュース,ロードカナロア,-421.0,-1026.0,-1958.0,-1787.0,1099.0,-4838.0,,,-8931.0,12.0
中山,3,5,ウラチャチャ,ウインブライト,,,,,,,,,,
中山,3,6,ジェイエルハーバー,マクフィ,-718.0,-303.0,992.0,277.0,1128.0,-317.0,362.0,,1421.0,4.0
中山,3,7,ライラ,キタサンブラック,-1429.0,734.0,-1193.0,-30.0,456.0,-2252.0,,,-3714.0,8.0
中山,3,8,アドベントシーズン,サートゥルナーリア,,,,,,,,,,
中山,3,9,ミヤイグアス,Dark Angel,402.0,62.0,620.0,-90.0,516.0,789.0,-20.0,,2279.0,2.0
中山,3,10,カツコノヒヤザケ,フェノーメノ,-422.0,-205.0,1.0,-214.0,-538.0,3.0,26.0,,-1349.0,6.0
中山,3,11,サヤヒメ,マツリダゴッホ,126.0,-629.0,-599.0,-118.0,-667.0,-437.0,52.0,,-2272.0,7.0
中山,3,12,ソレイケギンチャン,ギンザグリングラス,,,,,,,,,,
中山,3,13,スペシャルバニー,バゴ,-815.0,-2314.0,-1514.0,-1112.0,742.0,-497.0,,,-5510.0,10.0
中山,3,14,トーケンサワー,ルーラーシップ,-1217.0,1361.0,-616.0,842.0,2074.0,-357.0,,,2087.0,3.0
中山,3,15,フクチャンサクラ,モーリス,-224.0,818.0,349.0,-236.0,-2738.0,-2618.0,-373.0,,-5022.0,9.0
中山,4,1,サイモンシュバリエ,シニスターミニスター,1580.0,603.0,8768.0,1819.0,3365.0,6684.0,,,22819.0,1.0
中山,4,2,フレーズボンボン,ゴールドドリーム,,,,,,,,,,
中山,4,3,グリームスター,ビーチパトロール,-746.0,-558.0,-647.0,-1851.0,275.0,-1673.0,,,-5200.0,6.0
中山,4,4,タマモクロッシェ,ディーマジェスティ,-29.0,-127.0,405.0,130.0,904.0,1285.0,,,2568.0,2.0
中山,4,5,ブラックビート,バゴ,-815.0,-319.0,-419.0,-1112.0,742.0,-497.0,,,-2420.0,4.0
中山,4,6,マニーシーン,シャンハイボビー,-426.0,-156.0,-166.0,476.0,507.0,221.0,,,456.0,3.0
中山,4,7,アスコットロマン,モズアスコット,,,,,,,,,,
中山,4,8,トニケンサンバ,ナダル,,,,,,,,,,
中山,4,9,ジェイエルケープ,ゴールドドリーム,,,,,,,,,,
中山,4,10,エウクレイア,ミッキーグローリー,,,,,,,,,,
中山,4,11,バースフラワー,ビッグアーサー,-424.0,-292.0,-3499.0,-830.0,-2916.0,-1622.0,,,-9583.0,9.0
中山,4,12,フェスタリア,ゴールドドリーム,,,,,,,,,,
中山,4,13,ゴールデンサンダー,サンダースノー,-238.0,-1517.0,-469.0,-2184.0,-505.0,-1605.0,,,-6518.0,8.0
中山,4,14,エリュテイア,ニシケンモノノフ,-168.0,-280.0,-1332.0,-237.0,-227.0,-1157.0,,,-3401.0,5.0
中山,4,15,ノーシーリング,ワールドエース,-588.0,458.0,-1280.0,-146.0,-917.0,-3160.0,,,-5633.0,7.0
中山,5,1,レッドサジェス,リアルスティール,1658.0,848.0,1406.0,1342.0,1687.0,4227.0,,,11168.0,1.0
中山,5,2,マイネルアウルム,ゴールドシップ,-330.0,621.0,759.0,41.0,345.0,-149.0,,,1287.0,10.0
中山,5,3,スモーキーゴッド,シルバーステート,2476.0,842.0,1834.0,-109.0,6.0,-1198.0,,,3851.0,5.0
中山,5,4,サンリットアワーズ,Earthlight,,,,,,,,,,
中山,5,5,ソアトアメーム,カリフォルニアクローム,1521.0,-488.0,-466.0,1166.0,456.0,-17.0,,,2172.0,8.0
中山,5,6,ゲンジ,オルフェーヴル,293.0,-660.0,1566.0,-2191.0,1056.0,1442.0,,,1506.0,9.0
中山,5,7,ベニハンマード,ハービンジャー,-595.0,880.0,-864.0,417.0,-2156.0,-227.0,,,-2545.0,12.0
中山,5,8,ピコラ,レイデオロ,1554.0,-178.0,1060.0,2115.0,1900.0,2216.0,,,8667.0,2.0
中山,5,9,スターライトナイト,ルーラーシップ,-1217.0,-269.0,-616.0,842.0,-2096.0,-357.0,,,-3713.0,14.0
中山,5,10,フライハイ,シルバーステート,2476.0,842.0,1834.0,-109.0,6.0,-1198.0,,,3851.0,5.0
中山,5,11,ウアーシュプルング,スクリーンヒーロー,-265.0,-527.0,2390.0,-722.0,1141.0,1698.0,,,3715.0,7.0
中山,5,12,コンサートツアー,レイデオロ,1554.0,-178.0,1060.0,2115.0,1900.0,2216.0,,,8667.0,2.0
中山,5,13,トーセンネオ,Highland Reel,,,,,,,,,,
中山,5,14,プロメテドール,ブリックスアンドモルタル,-958.0,-570.0,-893.0,-341.0,767.0,-845.0,,,-2840.0,13.0
中山,5,15,インターステラ,ダノンバラード,-1820.0,1061.0,1859.0,749.0,3414.0,2824.0,,,8087.0,4.0
中山,5,16,ベストセラー,エピファネイア,-736.0,1814.0,-2911.0,1103.0,-1579.0,-5094.0,,,-7403.0,15.0
中山,5,17,エスキモーギャル,エピファネイア,-736.0,1814.0,-2911.0,1103.0,-1579.0,-5094.0,,,-7403.0,15.0
中山,5,18,シップオブラヴ,ゴールドシップ,-330.0,621.0,759.0,41.0,345.0,-149.0,,,1287.0,10.0
中山,6,1,ブラックトルネード,フォーウィールドライブ,,,,,,,,,,
中山,6,2,ケイツーギルダー,アジアエクスプレス,178.0,3153.0,434.0,227.0,745.0,1230.0,411.0,,6378.0,2.0
中山,6,3,ベンメリア,アメリカンペイトリオット,326.0,-1329.0,-911.0,743.0,46.0,1367.0,-960.0,,-718.0,5.0
中山,6,4,フレッシュラン,ホッコータルマエ,-184.0,-734.0,780.0,-179.0,1029.0,-970.0,,,-258.0,4.0
中山,6,5,ルークススペイ,ベストウォーリア,455.0,203.0,-674.0,-576.0,-629.0,-1321.0,743.0,,-1799.0,6.0
中山,6,6,ヴァリアントマーチ,ビッグアーサー,-424.0,1251.0,-3499.0,-830.0,-2916.0,-1622.0,,,-8040.0,7.0
中山,6,7,オカメノコイ,パイロ,-28.0,941.0,1992.0,229.0,480.0,1343.0,364.0,,5321.0,3.0
中山,6,8,モジャーリオ,リオンディーズ,468.0,1102.0,-697.0,1824.0,1430.0,1435.0,1134.0,,6696.0,1.0
中山,6,9,ゴメンネジロー,タワーオブロンドン,,,,,,,,,,
中山,7,1,ランスノーブル,ハービンジャー,-595.0,-2348.0,-2333.0,-1095.0,-2156.0,-227.0,674.0,,-8080.0,10.0
中山,7,2,メラヴィリオーザ,ディーマジェスティ,-29.0,1023.0,405.0,-980.0,-57.0,1285.0,-1309.0,,338.0,6.0
中山,7,3,カフェアローロ,ダンカーク,320.0,-877.0,-58.0,359.0,412.0,-1151.0,,,-995.0,7.0
中山,7,4,グランコネクシオン,ハーツクライ,64.0,-1468.0,-202.0,-4048.0,-3574.0,-4587.0,,,-13815.0,13.0
中山,7,5,キャンディレイ,ハービンジャー,-595.0,-2348.0,-2333.0,-1825.0,-2156.0,-227.0,-2740.0,,-12224.0,12.0
