場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
東京,1,1,ソークール,オーヴァルエース,,,,,,,,,,
東京,1,2,スピネルテソーロ,スワーヴリチャード,95.0,101.0,89.0,98.0,87.0,98.0,102.0,,95.714,7.0
東京,1,3,ニャンキニーズ,エピカリス,,,,,,,,,,
東京,1,4,リアライズタキオン,ルヴァンスレーヴ,114.0,90.0,106.0,114.0,115.0,82.0,68.0,,98.429,4.0
東京,1,5,ウルヴァリン,ベストウォーリア,96.0,88.0,99.0,92.0,101.0,98.0,103.0,,96.714,6.0
東京,1,6,ゴットタレント,ダノンプレミアム,,,,,,,,,,
東京,1,7,カシノユメミヅキ,メイショウボーラー,67.0,93.0,97.0,91.0,86.0,102.0,114.0,,92.857,8.0
東京,1,8,パワポケウォーズ,リアルスティール,114.0,113.0,108.0,109.0,112.0,110.0,106.0,,110.286,2.0
東京,1,9,レーヴドクロンヌ,リーチザクラウン,75.0,97.0,95.0,94.0,93.0,93.0,91.0,,91.143,9.0
東京,1,10,ラストシャイニー,ダノンプレミアム,,,,,,,,,,
東京,1,11,ミラクルカイザー,マクフィ,102.0,98.0,99.0,107.0,98.0,98.0,106.0,,101.143,3.0
東京,1,12,センジュキヨマル,アニマルキングダム,78.0,90.0,95.0,66.0,78.0,77.0,78.0,,80.286,10.0
東京,1,13,テンカムテキ,ナダル,94.0,95.0,112.0,97.0,89.0,92.0,104.0,,97.571,5.0
東京,1,14,イナズマダイモン,クリソベリル,,,,,,,,,,
東京,1,15,サンクスアミリオン,マテラスカイ,,,,,,,,,,
東京,1,16,ディアファニス,スズカコーズウェイ,72.0,143.0,123.0,109.0,115.0,122.0,,,114.0,1.0
東京,2,1,ミッキーマーメイド,エピファネイア,99.0,96.0,97.0,108.0,97.0,99.0,95.0,,98.714,3.0
東京,2,2,ブルージェネシス,サトノジェネシス,,,,,,,,,,
東京,2,3,アルデキングダム,アニマルキングダム,78.0,90.0,75.0,66.0,100.0,77.0,,,81.0,6.0
東京,2,4,セイウンアズール,タニノフランケル,,,,,,,,,,
東京,2,5,ガードオブオナー,サトノダイヤモンド,96.0,108.0,97.0,102.0,99.0,98.0,89.0,,98.429,4.0
東京,2,6,オーキッドワン,リオンディーズ,94.0,94.0,98.0,109.0,100.0,92.0,,,97.833,5.0
東京,2,7,アイムスティルミー,ダノンバラード,119.0,100.0,107.0,120.0,104.0,115.0,105.0,,110.0,1.0
東京,2,8,スカイストライプス,コントレイル,,,,,,,,,,
東京,2,9,コスモグロボーサ,ウインブライト,86.0,107.0,97.0,100.0,99.0,102.0,111.0,,100.286,2.0
東京,3,1,ファインサマーデイ,ファインニードル,117.0,100.0,104.0,94.0,101.0,107.0,,,103.833,3.0
