場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
新潟,1,1,ミスデルマー,和田正一,104.0,110.0,116.0,109.0,110.0,108.0,,,109.5,2.0
新潟,1,2,タナスーペルノーバ,寺島良　,79.0,96.0,89.0,87.0,92.0,92.0,,,89.167,11.0
新潟,1,3,ヒャクレツケン,青木孝文,90.0,102.0,103.0,96.0,93.0,85.0,,,94.833,8.0
新潟,1,4,マイネルゼーロス,相沢郁　,105.0,89.0,93.0,105.0,88.0,85.0,,,94.167,9.0
新潟,1,5,ロジケープ,尾形和幸,84.0,94.0,103.0,90.0,87.0,90.0,,,91.333,10.0
新潟,1,6,ハートニヒヲツケテ,鈴木慎太,117.0,109.0,111.0,130.0,113.0,108.0,,,114.667,1.0
新潟,1,7,エターナルビジョン,高橋康之,89.0,93.0,105.0,96.0,102.0,105.0,,,98.333,6.0
新潟,1,8,スマッシング,佐藤悠太,,,,,,,,,,
新潟,1,9,チェリヴェント,清水久詞,83.0,95.0,101.0,94.0,98.0,91.0,109.0,,95.857,7.0
新潟,1,10,ワイルドカモミール,金成貴史,90.0,107.0,96.0,110.0,101.0,100.0,,,100.667,5.0
新潟,1,11,シーズンシート,柄崎将寿,,,,,,,,,,
新潟,1,12,リアライズブラーヴ,杉山晴紀,99.0,106.0,106.0,115.0,106.0,107.0,,,106.5,3.0
新潟,1,13,ルージュリリック,上原佑紀,76.0,95.0,111.0,98.0,113.0,97.0,127.0,,102.429,4.0
新潟,2,1,ゴールデンブラッド,杉山晴紀,99.0,106.0,105.0,115.0,106.0,107.0,,,106.333,6.0
新潟,2,2,アドフランマム,本田優　,115.0,84.0,98.0,90.0,95.0,115.0,,,99.5,9.0
新潟,2,3,フリッシュ,平田修　,116.0,96.0,95.0,101.0,99.0,97.0,92.0,,99.429,10.0
新潟,2,4,ティンバーライン,鈴木慎太,117.0,109.0,109.0,130.0,107.0,108.0,,,113.333,1.0
新潟,2,5,タガノアイゼン,岡田稲男,137.0,101.0,105.0,85.0,102.0,109.0,,,106.5,5.0
新潟,2,6,マリブ,和田正一,104.0,110.0,101.0,109.0,118.0,108.0,,,108.333,2.0
