場所,R,馬番,馬名,騎手名,騎手妙味度_1,騎手妙味度_2,騎手妙味度_3,騎手妙味度_4,騎手妙味度_5,騎手妙味度_6,騎手妙味度,騎手妙味度順位
新潟,1,1,シンデレラヒメ,菊沢一樹,118.0,115.0,110.0,112.0,111.0,,113.2,1.0
新潟,1,2,ヒャクレツケン,河原田菜,104.0,87.0,88.0,82.0,101.0,,92.4,9.0
新潟,1,3,ケイベエ,佐藤翔馬,63.0,107.0,95.0,106.0,90.0,,92.2,10.0
新潟,1,4,メーテルリンク,石田拓郎,95.0,108.0,70.0,80.0,90.0,,88.6,11.0
新潟,1,5,ラテラルパーム,丹内祐次,108.0,102.0,107.0,98.0,100.0,,103.0,4.0
新潟,1,6,ゴールドヴィーナス,丸山元気,102.0,98.0,97.0,97.0,98.0,,98.4,7.0
新潟,1,7,イイクニパッション,石神深道,79.0,97.0,79.0,86.0,60.0,,80.2,13.0
新潟,1,8,マーゴットミスト,鮫島克駿,113.0,107.0,103.0,102.0,98.0,,104.6,2.0
新潟,1,9,ハンザキ,舟山瑠泉,,,,,,,,
新潟,1,10,カシノハンゾウ,上里直汰,,,,,,,,
新潟,1,11,アダマント,小沢大仁,74.0,96.0,91.0,78.0,80.0,,83.8,12.0
新潟,1,12,インザライムライト,斎藤新　,91.0,102.0,98.0,103.0,96.0,,98.0,8.0
新潟,1,13,カレンデュラ,嶋田純次,98.0,99.0,108.0,101.0,116.0,,104.4,3.0
新潟,1,14,ニシノギブソン,野中悠太,89.0,103.0,99.0,103.0,100.0,,98.8,6.0
新潟,1,15,ジーティーシップ,荻野極　,104.0,97.0,97.0,109.0,105.0,,102.4,5.0
新潟,2,1,キタノマテンロウ,菊沢一樹,118.0,115.0,108.0,112.0,111.0,,112.8,1.0
新潟,2,2,マーゴットオネイロ,斎藤新　,91.0,102.0,102.0,103.0,96.0,,98.8,6.0
新潟,2,3,ナムラリアン,武藤雅　,87.0,94.0,99.0,88.0,90.0,,91.6,12.0
新潟,2,4,レディサン,丹内祐次,108.0,102.0,100.0,98.0,100.0,,101.6,4.0
新潟,2,5,ピョイットハレルヤ,藤懸貴志,125.0,105.0,105.0,105.0,97.0,,107.4,2.0
新潟,2,6,フレンチブラッサム,野中悠太,89.0,103.0,99.0,103.0,100.0,,98.8,6.0
新潟,2,7,ミュージックレイン,江田照男,80.0,111.0,89.0,89.0,83.0,,90.4,13.0
新潟,2,8,ウーマンズパワー,荻野極　,104.0,97.0,101.0,109.0,105.0,,103.2,3.0
新潟,2,9,エイシンビリオン,小沢大仁,74.0,96.0,95.0,78.0,80.0,,84.6,14.0
新潟,2,10,ゴーゴーエイミー,舟山瑠泉,,,,,,,,
新潟,2,11,タイセイガナール,黛弘人　,99.0,108.0,110.0,99.0,89.0,,101.0,5.0
新潟,2,12,ダブルチャレンジ,今村聖奈,94.0,83.0,91.0,92.0,99.0,,91.8,11.0
新潟,2,13,ガルディーノ,石田拓郎,95.0,108.0,95.0,80.0,90.0,,93.6,9.0
新潟,2,14,ベアゴーフォー,佐藤翔馬,63.0,107.0,98.0,106.0,90.0,,92.8,10.0
新潟,2,15,オアシスアラン,松本大輝,83.0,102.0,103.0,104.0,87.0,,95.8,8.0
新潟,3,1,アイドクレース,石神深道,79.0,97.0,79.0,53.0,60.0,,73.6,12.0
新潟,3,2,キーサーバー,小林脩斗,94.0,84.0,72.0,83.0,95.0,,85.6,11.0
新潟,3,3,アルカマル,杉原誠人,101.0,95.0,107.0,103.0,98.0,,100.8,5.0
新潟,3,4,カタッポチャン,木幡育也,118.0,114.0,126.0,107.0,107.0,,114.4,1.0
新潟,3,5,マンサニージャ,丹内祐次,108.0,102.0,107.0,107.0,100.0,,104.8,3.0
新潟,3,6,メープルタフィー,上里直汰,,,,,,,,
新潟,3,7,ローズプリンセス,荻野極　,104.0,97.0,97.0,92.0,105.0,,99.0,7.0
新潟,3,8,アポロンテソーロ,菊沢一樹,118.0,115.0,110.0,106.0,111.0,,112.0,2.0
新潟,3,9,フーディエラン,横山琉人,105.0,93.0,93.0,106.0,103.0,,100.0,6.0
新潟,3,10,ホノボノ,永島まな,90.0,90.0,89.0,83.0,82.0,,86.8,10.0
新潟,3,11,ガミーヌ,武藤雅　,87.0,94.0,82.0,94.0,90.0,,89.4,9.0
新潟,3,12,ショウナンダイン,丸山元気,102.0,98.0,97.0,96.0,98.0,,98.2,8.0
新潟,3,13,パンジー,黛弘人　,99.0,108.0,102.0,108.0,89.0,,101.2,4.0
新潟,4,1,カロローザ,鮫島克駿,113.0,99.0,105.0,102.0,98.0,,103.4,3.0
新潟,4,2,クインズシャウラ,永島まな,90.0,88.0,86.0,91.0,82.0,,87.4,11.0
新潟,4,3,デアデルマーレ,中井裕二,106.0,112.0,107.0,108.0,107.0,,108.0,2.0
新潟,4,4,ゴールデンチップス,富田暁　,87.0,92.0,96.0,88.0,92.0,,91.0,10.0
新潟,4,5,ロッカバイベイビー,佐藤翔馬,63.0,63.0,98.0,106.0,90.0,,84.0,13.0
新潟,4,6,メイショウバスク,古川奈穂,106.0,96.0,94.0,91.0,93.0,,96.0,6.0
新潟,4,7,キャリーグレイス,菊沢一樹,118.0,101.0,108.0,112.0,111.0,,110.0,1.0
新潟,4,8,フォンメイリー,今村聖奈,94.0,94.0,91.0,92.0,99.0,,94.0,8.0
新潟,4,9,グレースルージュ,河原田菜,104.0,88.0,91.0,82.0,101.0,,93.2,9.0
新潟,4,10,チェルシー,上里直汰,,,,,,,,
新潟,4,11,ガールネクストドア,杉原誠人,101.0,103.0,93.0,98.0,98.0,,98.6,5.0
新潟,4,12,サクラサルーテ,松本大輝,83.0,97.0,103.0,104.0,87.0,,94.8,7.0
新潟,4,13,トゥインクルアップ,丹内祐次,108.0,108.0,100.0,98.0,100.0,,102.8,4.0
新潟,4,14,ノーブルミステリー,舟山瑠泉,,,,,,,,
新潟,4,15,サンマルリアン,小林凌大,60.0,95.0,99.0,94.0,80.0,,85.6,12.0
新潟,5,1,コズミックダンサー,和田陽希,,,,,,,,
新潟,5,2,ダイオジェナイト,丹内祐次,108.0,108.0,100.0,107.0,100.0,,104.6,2.0
新潟,5,3,ポンサン,石田拓郎,95.0,80.0,95.0,93.0,90.0,,90.6,11.0
新潟,5,4,カーフキック,武藤雅　,87.0,91.0,99.0,94.0,90.0,,92.2,10.0
新潟,5,5,バレンシア,鮫島克駿,113.0,99.0,105.0,107.0,98.0,,104.4,3.0
新潟,5,6,ベイビールビオ,杉原誠人,101.0,103.0,93.0,103.0,98.0,,99.6,5.0
新潟,5,7,レヴァントリ,小沢大仁,74.0,93.0,95.0,104.0,80.0,,89.2,12.0
新潟,5,8,ユイノコキュウ,今村聖奈,94.0,94.0,91.0,88.0,99.0,,93.2,8.0
新潟,5,9,クラリネットソナタ,舟山瑠泉,,,,,,,,
新潟,5,10,ショウサンジョージ,国分優作,97.0,96.0,102.0,94.0,84.0,,94.6,7.0
新潟,5,11,レッドシュトラール,丸山元気,102.0,91.0,95.0,96.0,98.0,,96.4,6.0
新潟,5,12,デルタフォー,松本大輝,83.0,97.0,103.0,93.0,87.0,,92.6,9.0
新潟,5,13,ルクルス,鷲頭虎太,101.0,104.0,107.0,101.0,104.0,,103.4,4.0
新潟,5,14,マテンロウブレイブ,太宰啓介,109.0,104.0,108.0,107.0,111.0,,107.8,1.0
新潟,6,1,レインオンミー,大久保友,63.0,54.0,64.0,121.0,62.0,,72.8,12.0
新潟,6,2,トリオンファルマン,西塚洸二,112.0,98.0,101.0,103.0,114.0,,105.6,2.0
新潟,6,3,チャイボーグ,橋木太希,108.0,90.0,163.0,44.0,138.0,,108.6,1.0
新潟,6,4,デビューフライト,今村聖奈,94.0,94.0,87.0,88.0,99.0,,92.4,6.0
新潟,6,5,ベランジェール,森田誠也,,,,,,,,
新潟,6,6,ウィズマスタング,斎藤新　,91.0,98.0,98.0,97.0,96.0,,96.0,5.0
新潟,6,7,ピティロディア,上里直汰,,,,,,,,
新潟,6,8,セザンワールド,小林脩斗,94.0,101.0,72.0,83.0,95.0,,89.0,8.0
新潟,6,9,スプリンクルソルト,小沢大仁,74.0,93.0,91.0,104.0,80.0,,88.4,9.0
新潟,6,10,シャインバオバブ,松本大輝,83.0,97.0,92.0,93.0,87.0,,90.4,7.0
新潟,6,11,スピアッジャローザ,横山琉人,105.0,105.0,93.0,106.0,103.0,,102.4,3.0
新潟,6,12,トゥルーサクセサー,石田拓郎,95.0,80.0,70.0,93.0,90.0,,85.6,11.0
新潟,6,13,コンフォルツァ,永島まな,90.0,88.0,89.0,83.0,82.0,,86.4,10.0
新潟,6,14,マーシーラン,河原田菜,104.0,88.0,88.0,102.0,101.0,,96.6,4.0
新潟,6,15,アンドローゼス,舟山瑠泉,,,,,,,,
新潟,7,1,アルバニー,荻野極　,104.0,100.0,101.0,109.0,105.0,,103.8,4.0
新潟,7,2,グレイスカリヨン,横山琉人,105.0,105.0,103.0,93.0,103.0,,101.8,6.0
新潟,7,3,サンライズプルート,舟山瑠泉,,,,,,,,
新潟,7,4,タッカー,西塚洸二,112.0,98.0,104.0,102.0,114.0,,106.0,3.0
新潟,7,5,コーラルクラウン,大久保友,63.0,54.0,86.0,65.0,62.0,,66.0,13.0
新潟,7,6,スーパーバイザー,石田拓郎,95.0,80.0,95.0,80.0,90.0,,88.0,12.0
新潟,7,7,タツアレックス,橋木太希,108.0,90.0,80.0,119.0,138.0,,107.0,2.0
新潟,7,8,ヒラボクカレラ,斎藤新　,91.0,98.0,102.0,103.0,96.0,,98.0,10.0
新潟,7,9,ハヌル,嶋田純次,98.0,87.0,95.0,101.0,116.0,,99.4,7.0
新潟,7,10,ハッピーパンニャ,古川吉洋,80.0,100.0,94.0,105.0,113.0,,98.4,9.0
新潟,7,11,セサンパ,菊沢一樹,118.0,101.0,108.0,112.0,111.0,,110.0,1.0
新潟,7,12,サンライズブレイク,丹内祐次,108.0,108.0,100.0,98.0,100.0,,102.8,5.0
新潟,7,13,ブリッツアロング,丸山元気,102.0,91.0,95.0,97.0,98.0,,96.6,11.0
新潟,7,14,スピリットライズ,亀田温心,99.0,106.0,98.0,100.0,92.0,,99.0,8.0
