場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
福島,1,1,ヒカ,和田陽希,-638.0,-541.0,2294.0,-2889.0,-1469.0,,-3243.0,10.0
福島,1,2,エイユーサクラ,横山琉人,577.0,-1084.0,609.0,1717.0,27.0,,1846.0,5.0
福島,1,3,サイモンセレーノ,石神深道,-1337.0,1780.0,-1543.0,-1678.0,526.0,,-2252.0,9.0
福島,1,4,サツキマーメイド,菅原隆一,-237.0,-973.0,-1433.0,-776.0,-2104.0,,-5523.0,12.0
福島,1,5,ゴールドドレッサ,石田拓郎,-425.0,997.0,-793.0,-322.0,192.0,,-351.0,7.0
福島,1,6,エイシンキーンラン,菊沢一樹,750.0,2470.0,1138.0,174.0,830.0,,5362.0,2.0
福島,1,7,ノヴェルカフナ,小林美駒,259.0,25.0,-196.0,1251.0,399.0,,1738.0,6.0
福島,1,8,レインボーワールド,野中悠太,-485.0,-350.0,-922.0,-2069.0,-2246.0,,-6072.0,13.0
福島,1,9,ロジマギー,丸山元気,-91.0,760.0,717.0,537.0,223.0,,2146.0,4.0
福島,1,10,ホテルストリート,丹内祐次,-737.0,697.0,54.0,2149.0,1778.0,,3941.0,3.0
福島,1,11,メイショウサザナミ,遠藤汰月,638.0,-7636.0,-6073.0,-2147.0,-3188.0,,-18406.0,15.0
福島,1,12,チカマヨルキーナ,松本大輝,-213.0,94.0,-39.0,-2116.0,1294.0,,-980.0,8.0
福島,1,13,ピンクカメリア,川又賢治,-75.0,-918.0,-1079.0,-2130.0,-2090.0,,-6292.0,14.0
福島,1,14,タイセイパフューム,古川奈穂,897.0,-1513.0,-49.0,-1439.0,-1472.0,,-3576.0,11.0
福島,1,15,シュヴェスター,長岡禎仁,-40.0,2436.0,3019.0,1028.0,395.0,,6838.0,1.0
福島,2,1,フェブリノ,小沢大仁,905.0,-173.0,-2372.0,-6818.0,2344.0,,-6114.0,13.0
福島,2,2,ブルーハーツ,武藤雅　,-578.0,472.0,-3230.0,-555.0,-433.0,,-4324.0,10.0
福島,2,3,ジョーヌミモザ,大久保友,61.0,0.0,-464.0,-379.0,-253.0,,-1035.0,6.0
福島,2,4,フクオトコ,菊沢一樹,750.0,2470.0,2406.0,3221.0,830.0,,9677.0,2.0
福島,2,5,ブレッティレディ,横山琉人,577.0,-1084.0,-102.0,-759.0,27.0,,-1341.0,7.0
福島,2,6,セイウンプーパ,遠藤汰月,638.0,-7636.0,-3767.0,-7583.0,-3188.0,,-21536.0,15.0
福島,2,7,ケイツースクード,上里直汰,24.0,-504.0,-504.0,-2460.0,-913.0,,-4357.0,11.0
福島,2,8,ウィズアツインクル,富田暁　,-144.0,170.0,-689.0,-695.0,-602.0,,-1960.0,8.0
福島,2,9,ジューンスマッシュ,本田正重,,,,,,,,
福島,2,10,エンチャンテッド,今村聖奈,1456.0,-3016.0,-1967.0,-1340.0,-2434.0,,-7301.0,14.0
福島,2,11,フィラーエ,国分恭介,3224.0,1476.0,2847.0,2888.0,3402.0,,13837.0,1.0
福島,2,12,ナデシコザクラ,小林美駒,259.0,25.0,-155.0,-836.0,399.0,,-308.0,4.0
福島,2,13,エクスペクタント,和田陽希,-638.0,-541.0,-3525.0,1344.0,-1469.0,,-4829.0,12.0
福島,2,14,アヴァンフライト,石田拓郎,-425.0,997.0,-799.0,-926.0,192.0,,-961.0,5.0
福島,2,15,バッカス,斎藤新　,393.0,401.0,-2155.0,32.0,-1090.0,,-2419.0,9.0
福島,2,16,シルバーアックス,舟山瑠泉,1191.0,-2686.0,2153.0,369.0,1447.0,,2474.0,3.0
福島,3,1,オーケーグレイス,横山琉人,577.0,-1084.0,-102.0,1717.0,27.0,,1135.0,8.0
福島,3,2,イバラヒメ,今村聖奈,1456.0,-3016.0,-1967.0,-1131.0,-2434.0,,-7092.0,15.0
福島,3,3,ダイナマイトメロン,石田拓郎,-425.0,997.0,-799.0,-322.0,192.0,,-357.0,10.0
福島,3,4,ナムラオリガミ,小崎綾也,530.0,-153.0,1125.0,1824.0,-170.0,,3156.0,4.0
福島,3,5,オウケンサクラコ,上里直汰,24.0,-504.0,-504.0,2851.0,-913.0,,954.0,9.0
福島,3,6,リリーボレア,小沢大仁,905.0,-173.0,-2372.0,1825.0,2344.0,,2529.0,5.0
福島,3,7,ダイヤモンドパレス,石川裕紀,335.0,-140.0,69.0,106.0,1470.0,,1840.0,7.0
福島,3,8,サルワールカミーズ,丸山元気,-91.0,760.0,620.0,537.0,223.0,,2049.0,6.0
福島,3,9,ゴコウコイコイ,石神深道,-1337.0,1780.0,-1860.0,-1678.0,526.0,,-2569.0,12.0
福島,3,10,ライツェントライゼ,丹内祐次,-737.0,697.0,1654.0,2149.0,1778.0,,5541.0,2.0
福島,3,11,エリカアズーラ,荻野極　,470.0,796.0,2157.0,-316.0,389.0,,3496.0,3.0
福島,3,12,ストームアイ,武藤雅　,-578.0,472.0,-3230.0,-1391.0,-433.0,,-5160.0,14.0
福島,3,13,グリミスティ,富田暁　,-144.0,170.0,-689.0,-150.0,-602.0,,-1415.0,11.0
福島,3,14,クインズロベリア,菊沢一樹,750.0,2470.0,2406.0,174.0,830.0,,6630.0,1.0
福島,3,15,エコロディアン,斎藤新　,393.0,401.0,-2155.0,-1369.0,-1090.0,,-3820.0,13.0
福島,3,16,アルファリラエ,本田正重,,,,,,,,
福島,4,1,ガクエンテンゴク,丸田恭介,17.0,-192.0,1148.0,1602.0,2175.0,,4750.0,3.0
福島,4,2,セイウンヤオヨロズ,野中悠太,-485.0,-350.0,-922.0,-30.0,-2246.0,,-4033.0,12.0
福島,4,3,コウソクルリアン,武藤雅　,-578.0,472.0,694.0,-555.0,-433.0,,-400.0,6.0
福島,4,4,ヴェントディルーナ,菊沢一樹,750.0,2470.0,1138.0,3221.0,830.0,,8409.0,1.0
