場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
福島,1,1,ロケットパンチ,-3112.0,11.0,131.0,7.0,-2035.0,11.0,-5.016,9.0
福島,1,2,キタノファーンヒル,2543.0,5.0,,,,,,
福島,1,3,ロミオ,-4561.0,13.0,,,4258.0,4.0,,
福島,1,4,ハードシングス,-1501.0,8.0,-1294.0,11.0,-3364.0,12.0,-6.159,10.0
福島,1,5,フリーマン,5143.0,3.0,,,-104.0,8.0,,
福島,1,6,トワイライトビュー,-4257.0,12.0,1487.0,5.0,1044.0,7.0,-1.726,7.0
福島,1,7,セントポールヒロ,272.0,7.0,-299.0,8.0,-336.0,9.0,-0.363,6.0
福島,1,8,ロードヴェルテクス,668.0,6.0,14548.0,2.0,4528.0,3.0,19.744,2.0
福島,1,9,ヒリュウ,-1635.0,9.0,-1139.0,10.0,-580.0,10.0,-3.354,8.0
福島,1,10,テンオンスゴールド,-2765.0,10.0,3991.0,4.0,5479.0,2.0,6.705,5.0
福島,1,11,ミスエベレスト,,,,,-6450.0,14.0,,
福島,1,12,ココラッシー,-11789.0,14.0,-819.0,9.0,2791.0,5.0,-9.817,11.0
福島,1,13,ユニゾン,6100.0,2.0,18107.0,1.0,-3542.0,13.0,20.665,1.0
福島,1,14,コレデヨカロウ,4128.0,4.0,6367.0,3.0,2116.0,6.0,12.611,4.0
福島,1,15,ボールドタワー,11757.0,1.0,490.0,6.0,5984.0,1.0,18.231,3.0
福島,2,1,メイショウゴールド,5292.0,5.0,8729.0,4.0,7845.0,3.0,21.866,2.0
福島,2,2,ローズブルーム,3948.0,6.0,,,-4558.0,14.0,,
福島,2,3,ファイブセンス,-1443.0,10.0,-1529.0,12.0,774.0,9.0,-2.198,11.0
福島,2,4,プレゼンティーア,1079.0,8.0,6922.0,5.0,5536.0,5.0,13.537,4.0
福島,2,5,レジェンダリーデイ,8668.0,2.0,13143.0,3.0,5932.0,4.0,27.743,1.0
福島,2,6,サイコウダネ,,,1508.0,11.0,-4905.0,15.0,,
福島,2,7,キーガッツ,5681.0,4.0,-5598.0,13.0,5457.0,6.0,5.54,7.0
福島,2,8,ツーピース,,,2257.0,10.0,16396.0,1.0,,
福島,2,9,ベニシア,10756.0,1.0,6228.0,7.0,-5379.0,16.0,11.605,5.0
福島,2,10,シャインミラカナ,2822.0,7.0,-11376.0,14.0,10097.0,2.0,1.543,9.0
福島,2,11,アスゴッド,-2537.0,11.0,3684.0,8.0,2956.0,7.0,4.103,8.0
福島,2,12,サンロレンツォ,-6977.0,14.0,3497.0,9.0,-1838.0,11.0,-5.318,12.0
福島,2,13,スターランウェイ,966.0,9.0,14021.0,2.0,2073.0,8.0,17.06,3.0
福島,2,14,タイセイピューマ,-4908.0,13.0,6830.0,6.0,-1111.0,10.0,0.811,10.0
福島,2,15,ゴッドカインド,-4116.0,12.0,16713.0,1.0,-3963.0,13.0,8.634,6.0
福島,2,16,スピニングマーリン,7356.0,3.0,,,-1999.0,12.0,,
福島,3,1,ウールヴヘジン,12225.0,1.0,-2072.0,12.0,2710.0,7.0,12.863,2.0
福島,3,2,ブラックジャック,2478.0,4.0,,,1251.0,8.0,,
福島,3,3,ダーリンダーリン,-4998.0,11.0,,,,,,
福島,3,4,エグジスタンス,,,4070.0,4.0,5859.0,1.0,,
福島,3,5,アメティスタ,-452.0,8.0,2370.0,6.0,4369.0,6.0,6.287,4.0
福島,3,6,ブランニューホーム,6721.0,3.0,4070.0,4.0,4650.0,4.0,15.441,1.0
福島,3,7,ヴルールドロワ,-243.0,6.0,-2045.0,11.0,-5793.0,13.0,-8.081,10.0
福島,3,8,ウインラファーガ,,,-527.0,10.0,-14097.0,15.0,,
福島,3,9,ユーゲットミー,248.0,5.0,5829.0,1.0,-1734.0,9.0,4.343,5.0
福島,3,10,エオリアンリッジ,-5490.0,12.0,1020.0,9.0,-2014.0,10.0,-6.484,9.0
福島,3,11,ラスタリア,-408.0,7.0,4084.0,2.0,-8525.0,14.0,-4.849,8.0
福島,3,12,アストリル,-1461.0,9.0,-2106.0,13.0,5512.0,2.0,1.945,6.0
福島,3,13,ジャケットポケット,-1599.0,10.0,-6352.0,14.0,-2217.0,11.0,-10.168,11.0
