場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
中山,1,1,シルヴァーデューク,110.0,4.0,105.0,2.0,,,,,
中山,1,2,シュバルツガイスト,85.5,7.0,98.0,5.0,90.0,8.0,273.5,91.167,6.0
中山,1,3,ダスク,63.5,10.0,119.5,1.0,98.5,5.0,281.5,93.833,5.0
中山,1,4,イーサンバーニング,81.0,8.0,104.0,3.0,50.0,10.0,235.0,78.333,9.0
中山,1,5,ワカムシャ,74.5,9.0,84.5,10.0,96.0,7.0,255.0,85.0,7.0
中山,1,6,ゴールデンステップ,93.5,6.0,101.0,4.0,98.0,6.0,292.5,97.5,4.0
中山,1,7,ヴラディア,113.5,3.0,96.0,6.0,88.5,9.0,298.0,99.333,2.0
中山,1,8,スマラグドス,39.0,11.0,95.5,7.0,103.5,2.0,238.0,79.333,8.0
中山,1,9,ユイノコキュウ,96.0,5.0,95.5,7.0,102.0,3.0,293.5,97.833,3.0
中山,1,10,スラーヴァ,198.5,1.0,94.5,9.0,101.5,4.0,394.5,131.5,1.0
中山,1,11,ゴーツウキリシマ,157.5,2.0,,,146.5,1.0,,,
中山,2,1,ブルーアンバー,106.0,1.0,99.667,4.0,100.667,9.0,306.334,102.111,3.0
中山,2,2,ホワイトドラゴン,103.4,4.0,,,92.429,13.0,,,
中山,2,3,ロイヤルスパイア,99.6,10.0,97.667,8.0,93.667,12.0,290.93399999999997,96.978,10.0
中山,2,4,エマープ,93.0,16.0,99.333,5.0,101.667,8.0,294.0,98.0,9.0
中山,2,5,ジーティーソレイユ,96.4,15.0,102.714,1.0,109.333,3.0,308.447,102.816,2.0
中山,2,6,トラストレガート,97.4,12.0,99.333,5.0,102.429,7.0,299.16200000000003,99.721,7.0
中山,2,7,ウインマニフィーク,101.6,6.0,,,113.5,2.0,,,
中山,2,8,モンサンジャスミン,98.8,11.0,91.571,11.0,103.714,5.0,294.085,98.028,8.0
中山,2,9,ロミオ,96.6,13.0,,,108.167,4.0,,,
中山,2,10,サザンテイオー,101.2,7.0,100.286,3.0,102.833,6.0,304.31899999999996,101.44,5.0
中山,2,11,ケンブリッジサクラ,104.2,3.0,99.167,7.0,99.667,10.0,303.034,101.011,6.0
中山,2,12,アロハオエ,101.2,7.0,87.0,12.0,89.833,14.0,278.033,92.678,12.0
中山,2,13,ショウナンダイン,103.0,5.0,93.571,9.0,116.0,1.0,312.571,104.19,1.0
中山,2,14,フジガイフウ,100.6,9.0,92.571,10.0,86.667,15.0,279.83799999999997,93.279,11.0
中山,2,15,フックセンチョウ,96.6,13.0,,,86.667,15.0,,,
中山,2,16,シェリアドレ,105.2,2.0,102.714,1.0,96.5,11.0,304.414,101.471,4.0
中山,3,1,オテモヤン,,,,,94.857,11.0,,,
中山,3,2,ボールドタワー,109.0,2.0,96.286,9.0,113.167,1.0,318.453,106.151,2.0
