,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,110.008,97.28,,103.444,103.663,174.148,102.713,103.921,66.037,103.166,104.998,91.355,161.007,91.573,107.955,77.996,81.32,107.669,149.538,80.999,106.663,101.108,102.456,75.887,855.606
五十嵐雄,70.615,49.495,104.689,21.0,21.0,101.697,101.804,101.225,,,113.172,102.792,103.276,115.918,88.434,118.61,117.75,77.913,54.0,21.0,21.0,101.563,21.0,102.78,
池添謙一,99.944,99.102,,95.831,103.551,97.946,99.683,99.741,109.099,75.974,101.935,64.844,89.775,98.709,116.866,104.643,101.326,72.724,105.795,97.022,93.005,104.493,101.116,94.412,81.224
石神深一,63.001,160.499,85.003,108.873,21.0,83.449,88.555,81.304,,,98.338,93.66,87.886,69.928,96.813,67.996,98.868,71.844,48.516,236.625,,83.903,70.038,82.752,
石神深道,87.426,92.167,,94.778,80.627,35.308,79.683,98.967,,21.0,81.302,72.94,86.403,116.759,84.001,,,125.366,104.318,136.585,92.759,106.724,65.353,21.0,
石川裕紀,102.157,100.725,,100.331,100.418,133.646,94.395,108.824,29.847,84.687,101.827,83.648,98.303,108.287,60.163,120.841,147.474,143.0,91.986,88.909,97.693,100.765,105.835,98.22,86.433
石田拓郎,77.294,95.364,,91.146,91.563,93.5,94.703,87.325,,21.0,89.508,105.789,77.915,68.506,38.69,,,112.973,37.224,100.321,68.551,106.015,78.915,21.0,
石橋脩,94.516,107.535,,105.82,95.666,100.614,96.859,105.536,21.0,,108.77,102.972,87.777,106.352,51.155,,44.868,,77.2,104.308,98.407,99.316,103.778,85.605,102.789
泉谷楓真,109.237,98.501,,101.54,105.122,155.634,82.905,111.971,109.052,48.999,129.465,89.048,25.79,21.0,91.214,80.385,86.624,127.626,109.392,113.459,53.1,89.78,113.755,116.042,39.16
伊藤工真,55.213,113.716,21.0,111.41,84.649,31.135,89.644,115.565,39.171,442.771,60.521,85.638,78.133,109.179,113.692,,83.319,,48.146,145.173,21.0,109.709,95.438,567.125,100.619
井上敏樹,195.237,70.091,84.848,114.111,72.429,82.482,79.677,73.143,21.0,21.0,56.406,96.859,113.143,80.431,21.0,85.545,90.833,83.983,21.0,21.0,21.0,65.029,21.0,98.036,1445.6
今村聖奈,85.401,94.214,,95.369,87.224,62.922,100.864,86.977,108.297,70.875,151.767,89.764,97.496,118.909,103.235,96.854,68.22,92.788,93.464,77.945,95.73,76.869,100.698,171.695,141.947
岩田望来,106.217,97.128,,105.205,98.984,88.593,96.548,103.36,152.259,,84.029,100.126,91.95,112.57,99.221,102.869,102.903,106.433,100.739,99.105,109.72,100.968,100.387,96.956,104.317
岩田康誠,98.338,99.629,,93.696,104.381,93.077,96.357,100.464,113.546,87.876,79.176,79.463,99.414,117.255,100.219,94.774,111.743,84.273,85.147,101.953,102.95,92.969,98.782,107.558,108.607
岩部純二,72.343,72.864,,69.733,77.71,21.0,52.71,90.887,,,52.162,36.678,59.298,96.764,136.942,,,21.0,47.615,80.716,62.138,67.526,70.964,21.0,21.0
上里直汰,93.697,111.288,,78.407,136.875,21.0,112.925,99.905,,59.621,109.347,120.644,98.778,104.024,93.809,,,,80.574,137.884,126.822,102.952,106.126,21.0,
上野翔,127.761,128.702,103.865,21.0,21.0,105.42,114.936,99.576,,,84.355,113.347,110.562,119.142,134.215,68.298,76.193,111.163,21.0,21.0,,106.107,21.0,103.01,
内田博幸,91.81,99.828,,106.261,80.267,143.401,91.564,103.433,,44.298,80.731,76.24,94.55,110.744,121.978,82.598,61.242,146.574,95.646,105.77,89.471,99.355,94.771,109.737,103.606
江田照男,103.072,77.683,,81.176,94.794,142.209,87.184,89.885,246.157,,83.171,85.933,81.156,89.121,128.629,21.0,21.0,21.0,125.711,61.986,68.604,109.306,74.846,129.781,56.152
