日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-22,中山,フェアウ･3勝,自己条件,14,ビルカール,ミッキーアイル,4,ドイル,1200,良,1200.0,12.0,21.2,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,中山,オルフェ･2勝,自己条件,3,ウインレイアー,シルバーステート,4,ドイル,1600,良,1800.0,3.2,4.5,320.0,芝,短距離,,距離短縮,右回り,4歳,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,1100.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0
2024-12-22,中山,グッドＨ･2勝,自己条件,8,ウインマイルート,ゴールドシップ,5,ドイル,2500,良,2600.0,5.4,8.3,0.0,芝,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,中山,冬至特別･2勝,自己条件,6,ファミリークレスト,ジャスタウェイ,5,ドイル,1200,良,1600.0,16.4,25.4,0.0,ダート,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,中山,１勝ｸﾗｽ,自己条件,2,デリシュレーヌ,シニスターミニスター,6,ドイル,1800,良,1600.0,16.7,27.4,0.0,ダート,中距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,中山,クリスマ･2勝,自己条件,14,トーホウフランゴ,トーホウジャッカル,4,ドイル,1200,良,1400.0,6.0,9.1,710.0,芝,短距離,,距離短縮,右回り,4歳,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,600.0,4260.0,4260.0,4260.0,4260.0,4260.0,4260.0,4260.0,4260.0,4260.0
2024-12-21,中山,グレイＨ･3勝,自己条件,6,キングサーガ,キングカメハメハ,7,ドイル,2500,良,2400.0,5.6,8.3,0.0,芝,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,中山,ノエル賞･1勝,自己条件,16,マイネルシーマー,ゴールドシップ,5,ドイル,2200,良,2200.0,18.2,27.4,0.0,芝,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,中山,未勝利・牝*,未勝利,10,スノークルーズ,リアルインパクト,2,ドイル,1800,良,1800.0,4.5,9.2,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,中京,尾張特Ｈ･2勝,自己条件,6,デイトナモード,アメリカンペイトリオット,4,ドイル,1200,良,1200.0,14.0,20.6,1730.0,芝,短距離,,,左回り,4歳,2854.5,2941.0,3027.5,2854.5,2941.0,3027.5,2854.5,2941.0,3027.5,300.0,8563.5,8823.0,9082.5,8563.5,8823.0,9082.5,8563.5,8823.0,9082.5
2024-12-15,中京,一宮特別･2勝,自己条件,5,プレカーサー,ロゴタイプ,3,ドイル,2200,良,2200.0,10.8,23.9,0.0,芝,中距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,尾頭橋Ｓ･3勝,自己条件,12,リチャ,バゴ,4,ドイル,1800,良,1800.0,1.7,2.4,0.0,ダート,中距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,１勝ｸﾗｽ,自己条件,14,ソニックライン,リアルインパクト,3,ドイル,1800,良,1600.0,1.8,2.6,0.0,ダート,中距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,１勝ｸﾗｽ,自己条件,4,ゴンザーゴ,ブリックスアンドモルタル,3,ドイル,1400,良,1400.0,2.4,3.4,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,未勝利・牝*,未勝利,14,カルミアクラウン,サトノクラウン,2,ドイル,1400,良,1600.0,8.7,15.2,0.0,芝,短距離,,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,未勝利*,未勝利,14,クリプトス,アメリカンペイトリオット,2,ドイル,1400,良,1400.0,1.9,4.1,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,中京,１勝ｸﾗｽ,自己条件,7,バレルターン,リオンディーズ,3,ドイル,1600,良,1600.0,1.2,1.4,0.0,芝,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,中京,知立Ｓ･3勝,自己条件,12,スリーアイランド,Zoustar,4,ドイル,1200,良,1200.0,1.3,1.8,130.0,芝,短距離,,,左回り,4歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,2800.0,3421.6,3421.6,3421.6,3439.8,3439.8,3439.8,3458.0,3458.0,3458.0
