日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-21,中山,障害未勝利,未勝利,4,シャンデルナゴル,サトノダイヤモンド,5,中村将之,2880,重,2000.0,17.4,25.9,1860.0,障害,長距離,,距離延長,右回り,5歳以上,3069.0,3162.0,3255.0,3069.0,3162.0,3255.0,3069.0,3162.0,3255.0,300.0,9207.0,9486.0,9765.0,9207.0,9486.0,9765.0,9207.0,9486.0,9765.0
2025-12-14,中山,障害未勝利,未勝利,10,クラウングスタフ,レイデオロ,4,中村将之,2880,稍,1400.0,17.3,31.7,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-13,阪神,障害未勝利,未勝利,9,ハイウェイスター,アメリカンペイトリオット,4,中村将之,2970,良,2770.0,1.3,2.0,170.0,障害,長距離,,距離延長,右回り,4歳,159.8,159.8,159.8,160.65,160.65,160.65,161.5,161.5,161.5,3400.0,5433.2,5433.2,5433.2,5462.1,5462.1,5462.1,5491.0,5491.0,5491.0
2025-11-24,福島,障害未勝利,未勝利,7,ハイウェイスター,アメリカンペイトリオット,4,中村将之,2770,良,2910.0,1.8,3.2,210.0,障害,長距離,,距離短縮,右回り,4歳,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,2400.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0
2025-11-22,福島,障害・オープ,OP,12,メイショウカズサ,カジノドライヴ,8,中村将之,3380,良,3250.0,23.7,57.9,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,京都,障害未勝利,未勝利,7,ハイウェイスター,アメリカンペイトリオット,4,中村将之,2910,稍,1800.0,3.5,5.7,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-18,京都,障害未勝利,未勝利,6,ランスオブサターン,キタサンブラック,5,中村将之,2910,良,1400.0,12.3,21.1,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-11,京都,障害・オープ,OP,10,レディステディゴー,ダイワメジャー,7,中村将之,3170,良,3170.0,7.5,23.3,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-28,阪神,障害未勝利,未勝利,13,テーオードラッカー,コパノリッキー,4,中村将之,2970,良,1600.0,1.5,2.6,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-13,中山,清秋ジャ,OP,11,フリーダムレイン,ミッキーアイル,4,中村将之,3210,稍,3380.0,2.2,5.8,0.0,芝,長距離,芝道悪,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-23,中京,障害・オープ,OP,6,グルーヴビート,ディープブリランテ,7,中村将之,3330,良,3390.0,2.4,4.8,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-02,新潟,障害・オープ,OP,6,ビップランバン,エイシンフラッシュ,7,中村将之,2850,良,3290.0,16.1,27.1,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-26,中京,障害未勝利,未勝利,10,ゴールデンルーキー,Catholic Boy,4,中村将之,3000,良,3000.0,12.9,68.8,0.0,障害,長距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20,福島,障害未勝利,未勝利,13,セファーラジエル,キズナ,7,中村将之,2770,良,2860.0,1.4,1.9,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-19,福島,障害・オープ,OP,5,フリーダムレイン,ミッキーアイル,4,中村将之,3380,良,2860.0,1.3,2.0,140.0,障害,長距離,,距離延長,右回り,4歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,3400.0,4474.4,4474.4,4474.4,4498.2,4498.2,4498.2,4522.0,4522.0,4522.0
2025-06-22,東京,障害未勝利,未勝利,5,テーオーサンドニ,キタサンブラック,6,中村将之,3000,良,1600.0,2.9,4.7,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,京都,障害・オープ,OP,6,テクネチウム,マクフィ,4,中村将之,3170,良,2890.0,8.8,26.0,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-25,新潟,障害未勝利,未勝利,5,フリーダムレイン,ミッキーアイル,4,中村将之,2890,稍,2890.0,1.6,5.6,0.0,障害,長距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-24,新潟,障害未勝利,未勝利,5,セファーラジエル,キズナ,7,中村将之,2890,良,2880.0,1.2,2.0,120.0,障害,長距離,,距離延長,左回り,5歳以上,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,3600.0,4060.8,4060.8,4060.8,4082.4,4082.4,4082.4,4104.0,4104.0,4104.0
2025-05-24,新潟,障害・オープ,OP,2,ビップランバン,エイシンフラッシュ,7,中村将之,3290,良,3300.0,22.3,39.8,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-18,新潟,障害未勝利,未勝利,10,ビオグラフィア,ルーラーシップ,7,中村将之,2890,稍,2890.0,1.9,2.9,0.0,障害,長距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-11,新潟,障害未勝利,未勝利,11,ヴィクティファルス,ハーツクライ,7,中村将之,2890,稍,2860.0,1.3,1.6,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-10,新潟,障害未勝利,未勝利,1,コーパスクリスティ,エピファネイア,5,中村将之,2890,稍,1400.0,7.8,15.2,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-04,新潟,障害未勝利,未勝利,11,ビオグラフィア,ルーラーシップ,7,中村将之,2890,稍,2860.0,3.1,4.7,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-03,新潟,障害未勝利,未勝利,12,フリーダムレイン,ミッキーアイル,4,中村将之,2890,良,2860.0,1.5,3.0,0.0,障害,長距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-19,中山,中山グラJG1,OP,9,プラチナドリーム,ホッコータルマエ,6,中村将之,4260,良,3200.0,43.8,70.1,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-30,阪神,障害未勝利,未勝利,4,ニホンピロマリンバ,ニホンピロアワーズ,4,中村将之,2970,良,1900.0,20.0,38.2,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,中山,障害未勝利,未勝利,14,セファーラジエル,キズナ,7,中村将之,2880,良,3000.0,2.4,3.5,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-22,中山,ペガサス,OP,2,ルレーヴドゥリリ,ルーラーシップ,8,中村将之,3350,良,3200.0,16.7,27.9,0.0,芝,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,阪神,阪神スプJG2,OP,8,グルーヴビート,ディープブリランテ,7,中村将之,3900,良,2860.0,2.5,6.3,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,小倉,障害未勝利,未勝利,3,シホノスペランツァ,ブラックタイド,6,中村将之,2860,良,2860.0,1.2,1.6,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-23,小倉,障害未勝利,未勝利,1,サンデーヒーロー,サトノダイヤモンド,5,中村将之,2860,良,2910.0,1.6,2.7,220.0,障害,長距離,,距離短縮,右回り,5歳以上,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,2700.0,5940.0,5940.0,5940.0,5940.0,5940.0,5940.0,5940.0,5940.0,5940.0
2025-02-22,小倉,障害未勝利,未勝利,8,フリーダムレイン,ミッキーアイル,4,中村将之,2860,良,2860.0,1.1,1.4,0.0,障害,長距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,小倉,障害未勝利,未勝利,5,ビオグラフィア,ルーラーシップ,7,中村将之,2860,良,1700.0,1.7,4.0,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-09,小倉,障害未勝利,未勝利,10,シホノスペランツァ,ブラックタイド,6,中村将之,2860,稍,2000.0,1.5,2.3,190.0,障害,長距離,,距離延長,右回り,5歳以上,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,2900.0,5179.4,5179.4,5179.4,5206.95,5206.95,5206.95,5234.5,5234.5,5234.5
2025-02-08,小倉,障害未勝利,未勝利,3,ミグラテール,ラニ,4,中村将之,2860,稍,1900.0,8.9,15.7,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-08,小倉,障害未勝利,未勝利,4,グルーヴビート,ディープブリランテ,7,中村将之,2860,稍,2880.0,1.2,1.5,130.0,障害,長距離,,距離短縮,右回り,5歳以上,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,3600.0,4399.2,4399.2,4399.2,4422.6,4422.6,4422.6,4446.0,4446.0,4446.0
2025-02-02,小倉,障害未勝利,未勝利,6,ラズルダズル,ルーラーシップ,8,中村将之,2860,重,2910.0,1.7,2.5,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,小倉,障害・オープ,OP,2,テクネチウム,マクフィ,4,中村将之,2860,良,2850.0,4.5,7.0,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,小倉,障害未勝利,未勝利,10,フリーダムレイン,ミッキーアイル,4,中村将之,2860,良,3000.0,2.1,9.6,230.0,障害,長距離,,距離短縮,右回り,4歳,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,2100.0,4830.0,4830.0,4830.0,4830.0,4830.0,4830.0,4830.0,4830.0,4830.0
2025-01-26,小倉,障害未勝利,未勝利,6,マイモーメント,ジャスタウェイ,5,中村将之,2860,良,1800.0,14.1,28.7,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-25,小倉,障害未勝利,未勝利,10,ディープレイヤー,ディーマジェスティ,6,中村将之,2860,良,2600.0,3.5,6.5,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-19,中山,障害未勝利,未勝利,5,グルーヴビート,ディープブリランテ,7,中村将之,2880,良,2200.0,5.3,8.7,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,中京,障害未勝利,未勝利,8,フリーダムレイン,ミッキーアイル,4,中村将之,3000,良,1800.0,4.9,16.4,0.0,障害,長距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
