日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-22,中山,１勝ｸﾗｽ,自己条件,15,ロストボール,フリオーソ,5,佐藤翔馬,1800,良,1800.0,28.6,47.2,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,中山,新馬,新馬,3,ジーティーウララ,ゴールドドリーム,2,佐藤翔馬,1200,良,,26.9,61.0,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,中山,未勝利*,未勝利,14,ニシノヘリオトロプ,U S Navy Flag,2,佐藤翔馬,1200,良,1200.0,54.4,91.1,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,中山,未勝利*,未勝利,9,マミーブルー,マクフィ,2,佐藤翔馬,1200,良,1600.0,29.4,113.8,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,中山,未勝利・牝*,未勝利,1,エスキモーギャル,エピファネイア,2,佐藤翔馬,1800,良,2000.0,45.1,97.1,0.0,ダート,中距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,中山,未勝利*,未勝利,6,ナックトライアンフ,バゴ,2,佐藤翔馬,1200,良,1300.0,29.0,57.4,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,中山,新馬,新馬,6,ハクサンエクレール,レッドファルクス,2,佐藤翔馬,1200,良,,36.3,66.8,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,中山,未勝利・牝*,未勝利,4,レオプレセア,サンダースノー,2,佐藤翔馬,1800,良,1600.0,38.3,63.9,0.0,ダート,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,中山,未勝利*,未勝利,9,ライブリブランコ,ケープブランコ,2,佐藤翔馬,1200,良,1200.0,82.1,307.4,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,ヤングジ･2勝,自己条件,4,ランスオブサターン,キタサンブラック,4,佐藤翔馬,1400,良,1800.0,2.3,3.1,260.0,ダート,短距離,,距離短縮,左回り,4歳,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,7300.0,18980.0,18980.0,18980.0,18980.0,18980.0,18980.0,18980.0,18980.0,18980.0
2024-12-14,中京,ヤングジ･1勝,自己条件,12,ローゼンモンターク,サトノダイヤモンド,3,佐藤翔馬,2000,良,1400.0,21.4,34.7,0.0,芝,中距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,未勝利・牝*,未勝利,2,リュウノハミング,アジアエクスプレス,2,佐藤翔馬,1400,良,1200.0,24.8,43.8,0.0,芝,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,１勝ｸﾗｽ,自己条件,6,サリーピルエット,シニスターミニスター,4,佐藤翔馬,1200,良,1150.0,23.7,44.3,0.0,ダート,短距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,未勝利*,未勝利,16,シバノストムキット,リアルスティール,2,佐藤翔馬,1400,良,1800.0,55.3,138.4,0.0,ダート,短距離,,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,中山,未勝利*,未勝利,9,ベアショット,ダノンバラード,2,佐藤翔馬,1200,良,1200.0,21.5,48.7,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-07,中山,２勝ｸﾗｽ,自己条件,7,セイウンハルカニ,バゴ,5,佐藤翔馬,1800,良,1000.0,34.5,52.3,0.0,ダート,中距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-07,中山,未勝利*,未勝利,11,ヒソカ,バトルプラン,2,佐藤翔馬,1800,良,1600.0,54.0,100.1,0.0,ダート,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-07,中山,未勝利・牝*,未勝利,2,ポップグルーヴ,レッドファルクス,2,佐藤翔馬,1200,良,1150.0,2.4,3.9,0.0,ダート,短距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,中山,新馬,新馬,6,マニーシーン,シャンハイボビー,2,佐藤翔馬,1200,良,,16.3,29.2,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,中山,新馬,新馬,13,ルナプローブ,アメリカンペイトリオット,2,佐藤翔馬,1200,良,,35.9,58.1,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-23,東京,未勝利*,未勝利,9,ベアイミュニティ,ドレフォン,2,佐藤翔馬,1600,稍,1600.0,28.1,229.9,0.0,ダート,短距離,ダ道悪,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,福島,１勝ｸﾗｽ・若,自己条件,8,ミスサン,カレンブラックヒル,3,佐藤翔馬,1150,良,1000.0,31.8,50.1,0.0,ダート,短距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,福島,未勝利*,未勝利,8,リュウノハミング,アジアエクスプレス,2,佐藤翔馬,1200,良,1200.0,16.6,26.4,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,福島,１勝ｸﾗｽ・若,自己条件,8,ウェルキン,マインドユアビスケッツ,3,佐藤翔馬,1700,良,1800.0,25.6,35.5,0.0,ダート,中距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,福島,未勝利*,未勝利,15,センノアバドン,キタノコマンドール,2,佐藤翔馬,1700,良,1600.0,68.6,143.6,0.0,ダート,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,福島,１勝ｸﾗｽ,自己条件,16,アウゲンブリック,ロードカナロア,5,佐藤翔馬,1150,良,1150.0,33.7,50.7,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,東京,新馬,新馬,3,マミーブルー,マクフィ,2,佐藤翔馬,1600,良,,17.0,30.7,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,東京,新馬,新馬,5,ロッキンミー,スクリーンヒーロー,2,佐藤翔馬,1300,良,,23.9,35.8,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,東京,未勝利*,未勝利,14,セイウングレイ,バゴ,2,佐藤翔馬,1400,良,1300.0,7.0,11.8,0.0,ダート,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,福島,１勝ｸﾗｽ・若,自己条件,16,ナックブレイブ,レッドファルクス,4,佐藤翔馬,1200,良,1200.0,12.7,18.1,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,福島,未勝利*,未勝利,9,ポップグルーヴ,レッドファルクス,2,佐藤翔馬,1150,良,1200.0,1.5,2.6,210.0,ダート,短距離,,距離短縮,右回り,2歳,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,11100.0,23310.0,23310.0,23310.0,23310.0,23310.0,23310.0,23310.0,23310.0,23310.0
2024-11-03,東京,未勝利*,未勝利,12,ベアイミュニティ,ドレフォン,2,佐藤翔馬,1600,重,1600.0,55.9,86.6,0.0,ダート,短距離,ダ道悪,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03,東京,未勝利*,未勝利,13,スパディール,サトノクラウン,2,佐藤翔馬,1400,良,1400.0,26.1,51.1,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,東京,２勝ｸﾗｽ,自己条件,7,ラーテル,ビッグアーサー,4,佐藤翔馬,2000,稍,1600.0,8.5,28.6,0.0,芝,中距離,芝道悪,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,東京,１勝ｸﾗｽ,自己条件,13,ロストボール,フリオーソ,5,佐藤翔馬,1600,重,1800.0,25.7,43.0,0.0,ダート,短距離,ダ道悪,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,東京,新馬,新馬,4,セイウンヤタガラス,サトノクラウン,2,佐藤翔馬,1600,重,,19.5,31.9,0.0,ダート,短距離,ダ道悪,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,東京,未勝利*,未勝利,8,ミスターヨッシャー,ノーブルミッション,2,佐藤翔馬,1300,重,1200.0,30.5,71.1,0.0,ダート,短距離,ダ道悪,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,東京,１勝ｸﾗｽ,自己条件,12,セイウンガレオン,ドゥラメンテ,5,佐藤翔馬,1600,良,1600.0,17.7,42.8,0.0,ダート,短距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,東京,未勝利*,未勝利,3,レオプレセア,サンダースノー,2,佐藤翔馬,1600,良,1400.0,19.7,109.3,0.0,芝,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,東京,未勝利*,未勝利,1,ナックオリオン,ミスターメロディ,2,佐藤翔馬,1400,良,1200.0,7.6,33.7,0.0,ダート,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26,東京,２勝ｸﾗｽ,自己条件,10,アラカザーム,アジアエクスプレス,6,佐藤翔馬,1400,良,1300.0,17.4,29.6,0.0,ダート,短距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26,東京,未勝利*,未勝利,13,ティアップドライブ,リオンディーズ,2,佐藤翔馬,1600,良,1600.0,35.5,74.6,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,新潟,１勝ｸﾗｽ,自己条件,2,ミスサン,カレンブラックヒル,3,佐藤翔馬,1000,良,1000.0,71.7,95.3,0.0,芝,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,新潟,１勝ｸﾗｽ・若,自己条件,7,ウッドショック,ルーラーシップ,5,佐藤翔馬,1800,稍,1800.0,1.8,2.6,0.0,ダート,中距離,ダ道悪,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,新潟,１勝ｸﾗｽ,自己条件,8,メンドロントット,ドゥラメンテ,3,佐藤翔馬,1800,稍,1600.0,6.3,35.2,0.0,ダート,中距離,ダ道悪,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,新潟,未勝利*,未勝利,2,フレンドシルバー,バゴ,2,佐藤翔馬,1800,稍,1000.0,4.1,8.9,0.0,ダート,中距離,ダ道悪,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-19,東京,新馬,新馬,3,ベアイミュニティ,ドレフォン,2,佐藤翔馬,1600,良,,26.5,43.8,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,東京,未勝利*,未勝利,4,ナックトライアンフ,バゴ,2,佐藤翔馬,1300,良,1400.0,21.5,44.5,0.0,ダート,短距離,,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-06,新潟,１勝ｸﾗｽ,自己条件,9,チーフルガール,フサイチセブン,3,佐藤翔馬,1200,良,1200.0,37.6,59.1,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-06,新潟,１勝ｸﾗｽ・若,自己条件,18,メリージェーン,ドゥラメンテ,3,佐藤翔馬,1400,良,1600.0,11.5,20.5,1150.0,芝,短距離,,距離短縮,左回り,3歳,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1500.0,17250.0,17250.0,17250.0,17250.0,17250.0,17250.0,17250.0,17250.0,17250.0
2024-10-06,新潟,未勝利*,未勝利,10,ナックオリオン,ミスターメロディ,2,佐藤翔馬,1200,稍,1700.0,2.5,4.4,0.0,ダート,短距離,ダ道悪,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28,中山,未勝利*,未勝利,11,ニシノヘリオトロプ,U S Navy Flag,2,佐藤翔馬,1200,良,1200.0,14.7,33.7,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22,中山,２勝ｸﾗｽ,自己条件,4,セリエル,シニスターミニスター,3,佐藤翔馬,1200,良,1000.0,5.8,19.2,0.0,ダート,短距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22,中山,１勝ｸﾗｽ,自己条件,13,フクシマジョワイユ,アメリカンペイトリオット,3,佐藤翔馬,1200,良,1200.0,68.6,105.2,0.0,ダート,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
