日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-28,阪神,１勝ｸﾗｽ,自己条件,16,ニューオーリンズ,リアルスティール,3,和田陽希,1400,良,1400.0,2.2,3.7,230.0,ダート,短距離,,,右回り,3歳,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,3400.0,7820.0,7820.0,7820.0,7820.0,7820.0,7820.0,7820.0,7820.0,7820.0
2025-12-28,阪神,未勝利*,未勝利,8,フェブリノ,マクフィ,2,和田陽希,1400,良,1400.0,5.8,21.7,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-28,阪神,未勝利*,未勝利,11,スズランクイーン,アニマルキングダム,2,和田陽希,1800,良,1600.0,17.4,50.2,0.0,ダート,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,阪神,２勝ｸﾗｽ,自己条件,12,モズナイスバディー,マジェスティックウォリアー,4,和田陽希,1400,稍,1400.0,12.7,19.5,0.0,ダート,短距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,阪神,１勝ｸﾗｽ,自己条件,1,メイショウピリカ,オルフェーヴル,3,和田陽希,1800,良,2000.0,5.5,10.1,0.0,芝,中距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,阪神,未勝利*,未勝利,8,ピュアハピネス,イスラボニータ,2,和田陽希,1400,稍,1400.0,6.4,19.7,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,阪神,未勝利*,未勝利,15,アクアマイスター,フィレンツェファイア,2,和田陽希,1200,稍,1200.0,28.6,75.3,3710.0,ダート,短距離,ダ道悪,,右回り,2歳,6121.5,6307.0,6492.5,6121.5,6307.0,6492.5,6121.5,6307.0,6492.5,300.0,18364.5,18921.0,19477.5,18364.5,18921.0,19477.5,18364.5,18921.0,19477.5
2025-12-21,阪神,１勝ｸﾗｽ,自己条件,4,メイショウキンタイ,フィエールマン,3,和田陽希,2200,重,2400.0,4.4,6.5,0.0,芝,中距離,芝道悪,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,阪神,未勝利*,未勝利,14,テリオスヒナ,ヴァンセンヌ,2,和田陽希,1200,稍,1200.0,8.6,14.1,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,阪神,２勝ｸﾗｽ,自己条件,15,モズトキキ,グランプリボス,4,和田陽希,1200,良,1400.0,25.2,38.6,0.0,芝,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,阪神,１勝ｸﾗｽ,自己条件,12,ミルミナーヴァ,ヘニーヒューズ,4,和田陽希,1200,良,1200.0,4.7,8.4,530.0,ダート,短距離,,,右回り,4歳,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,1600.0,8480.0,8480.0,8480.0,8480.0,8480.0,8480.0,8480.0,8480.0,8480.0
2025-12-20,阪神,新馬,新馬,16,ヴェインズマン,カリフォルニアクローム,2,和田陽希,1800,良,,15.6,27.6,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,阪神,新馬・牝,新馬,7,デュードロップ,リオンディーズ,2,和田陽希,1600,良,,12.3,19.4,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,阪神,未勝利*,未勝利,18,フライングスカイ,キズナ,2,和田陽希,1600,良,1600.0,44.7,70.1,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
