日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-28,阪神,障害未勝利,未勝利,9,グラスディアブロ,ジャスタウェイ,4,大江原圭,2970,良,2880.0,2.5,6.5,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,阪神,障害未勝利,未勝利,1,トミケンボハテル,アドマイヤムーン,7,大江原圭,2970,良,2970.0,10.1,18.3,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,中山大障JG1,OP,13,ビレッジイーグル,ベーカバド,4,大江原圭,4100,稍,3570.0,8.6,18.6,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,障害未勝利,未勝利,1,テトラルキア,ハーツクライ,6,大江原圭,2880,良,2100.0,1.2,1.5,120.0,障害,長距離,,距離延長,右回り,5歳以上,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,5000.0,5640.0,5640.0,5640.0,5670.0,5670.0,5670.0,5700.0,5700.0,5700.0
2021-12-18,阪神,障害・オープ,OP,2,ノーザンクリス,ノヴェリスト,6,大江原圭,3110,稍,2850.0,1.4,2.1,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,中山,障害未勝利,未勝利,3,グラスディアブロ,ジャスタウェイ,4,大江原圭,2880,良,2000.0,6.3,15.4,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,阪神,障害・オープ,OP,4,ショベルヘッド,Curlin,3,大江原圭,3110,良,2850.0,4.4,6.7,0.0,障害,長距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,阪神,障害未勝利,未勝利,6,トミケンボハテル,アドマイヤムーン,7,大江原圭,2970,良,2770.0,4.9,7.4,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-04,中山,イルミネ,OP,8,ビレッジイーグル,ベーカバド,4,大江原圭,3570,良,3350.0,4.2,6.8,0.0,芝,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-27,東京,障害未勝利,未勝利,4,クリノイダテン,ヨハネスブルグ,6,大江原圭,3000,良,1200.0,19.0,37.9,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21,福島,障害未勝利,未勝利,11,トミケンボハテル,アドマイヤムーン,7,大江原圭,2770,良,2850.0,10.8,21.0,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21,福島,障害未勝利,未勝利,12,デストロイ,キングヘイロー,7,大江原圭,2770,良,2850.0,21.8,38.9,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-20,東京,秋陽ジャ,OP,8,アースドラゴン,ジャスタウェイ,5,大江原圭,3110,良,3110.0,23.7,39.0,0.0,芝,長距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-14,福島,障害未勝利,未勝利,9,トゥーフラッシー,ブラックタイド,5,大江原圭,2750,良,2850.0,1.9,3.8,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-14,福島,障害未勝利,未勝利,9,オノーレペスカ,トーセンホマレボシ,5,大江原圭,2750,良,2850.0,4.0,6.3,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-13,阪神,京都ジャJG3,OP,13,ニシノベイオウルフ,リーチザクラウン,6,大江原圭,3140,良,3380.0,37.8,75.9,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,福島,障害未勝利,未勝利,2,サンマルベローチェ,ディスクリートキャット,3,大江原圭,2750,良,2850.0,2.8,4.3,0.0,障害,長距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-06,福島,障害・オープ,OP,9,ビレッジイーグル,ベーカバド,4,大江原圭,3350,良,3380.0,1.4,1.9,0.0,障害,長距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-06,福島,障害未勝利,未勝利,10,ターキッシュバン,ハードスパン,6,大江原圭,2750,良,2850.0,14.9,27.9,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,新潟,障害未勝利,未勝利,11,ユイノシワザ,クリエイター2,3,大江原圭,2850,良,1800.0,8.4,13.4,0.0,障害,長距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-30,新潟,障害未勝利,未勝利,10,オノーレペスカ,トーセンホマレボシ,5,大江原圭,2850,良,3000.0,13.0,24.6,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,東京,東京ハイJG2,OP,6,アースドラゴン,ジャスタウェイ,5,大江原圭,3110,稍,3210.0,26.8,51.2,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-16,新潟,障害未勝利,未勝利,7,サンマルベローチェ,ディスクリートキャット,3,大江原圭,2850,良,1500.0,15.4,29.1,0.0,障害,長距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-10,新潟,障害未勝利,未勝利,5,ターキッシュバン,ハードスパン,6,大江原圭,2850,良,1200.0,41.5,236.6,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-09,新潟,障害未勝利,未勝利,11,トゥーフラッシー,ブラックタイド,5,大江原圭,2850,良,2850.0,3.4,7.8,0.0,障害,長距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,中山,障害未勝利,未勝利,9,ブールバール,ルーラーシップ,5,大江原圭,2880,重,2860.0,30.9,46.5,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-26,中京,障害未勝利,未勝利,14,オノーレペスカ,トーセンホマレボシ,5,大江原圭,3000,稍,2880.0,10.3,19.1,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-25,中山,清秋ジャ,OP,7,アースドラゴン,ジャスタウェイ,5,大江原圭,3210,良,3380.0,10.1,16.8,0.0,芝,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,中山,障害未勝利,未勝利,5,モルゲンロート,オペラハウス,8,大江原圭,2880,良,2890.0,1.8,2.4,210.0,障害,長距離,,距離短縮,右回り,5歳以上,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,3300.0,6930.0,6930.0,6930.0,6930.0,6930.0,6930.0,6930.0,6930.0,6930.0
2021-09-11,中山,障害未勝利,未勝利,6,オノーレペスカ,トーセンホマレボシ,5,大江原圭,2880,良,2850.0,2.9,5.3,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-04,新潟,障害・オープ,OP,2,ノーザンクリス,ノヴェリスト,6,大江原圭,3250,稍,1800.0,3.7,5.6,450.0,障害,長距離,,距離延長,左回り,5歳以上,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,1600.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0
2021-09-04,新潟,障害未勝利,未勝利,9,トゥーフラッシー,ブラックタイド,5,大江原圭,2850,稍,2750.0,14.1,90.3,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-21,新潟,障害未勝利,未勝利,1,クロノスバローズ,ステイゴールド,9,大江原圭,2850,良,1400.0,10.3,22.3,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15,新潟,浦佐特別･2勝,自己条件,3,ノーザンクリス,ノヴェリスト,6,大江原圭,1800,重,3350.0,32.0,60.7,0.0,ダート,中距離,ダ道悪,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15,新潟,障害未勝利,未勝利,12,オノーレペスカ,トーセンホマレボシ,5,大江原圭,2850,稍,2770.0,2.5,4.0,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-31,新潟,新潟ジャJG3,OP,2,コウユーホクト,モンテロッソ,6,大江原圭,3250,良,3900.0,4.1,7.1,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-17,福島,障害・オープ,OP,5,ビレッジイーグル,ベーカバド,4,大江原圭,3380,良,2750.0,2.0,3.0,200.0,障害,長距離,,距離延長,右回り,4歳,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,3000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2021-07-17,福島,障害未勝利,未勝利,3,オノーレペスカ,トーセンホマレボシ,5,大江原圭,2770,良,2890.0,5.6,9.8,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,福島,障害未勝利,未勝利,7,クロカドッグ,ヴァーミリアン,4,大江原圭,2750,稍,2970.0,5.1,8.0,0.0,障害,長距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-10,小倉,障害未勝利,未勝利,4,クリノハプスブルク,キンシャサノキセキ,7,大江原圭,2860,良,2880.0,11.0,16.4,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-10,小倉,障害・オープ,OP,4,キタノテイオウ,ルーラーシップ,6,大江原圭,3390,良,3110.0,4.7,8.3,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-03,福島,障害・オープ,OP,9,ニシノベイオウルフ,リーチザクラウン,6,大江原圭,2750,良,3290.0,8.1,14.0,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-03,福島,障害未勝利,未勝利,9,ビレッジイーグル,ベーカバド,4,大江原圭,2750,良,3000.0,1.6,2.4,200.0,障害,長距離,,距離短縮,右回り,4歳,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,3700.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0
2021-06-26,東京,１勝ｸﾗｽ,自己条件,5,クラウンコジーン,アドマイヤコジーン,4,大江原圭,1600,良,1400.0,59.9,108.5,0.0,芝,短距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,東京,障害未勝利,未勝利,8,ハルクンノテソーロ,ファスリエフ,7,大江原圭,3000,稍,3000.0,1.1,1.3,120.0,障害,長距離,,,左回り,5歳以上,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,5400.0,6091.2,6091.2,6091.2,6123.6,6123.6,6123.6,6156.0,6156.0,6156.0
