日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-28,中山,未勝利*,未勝利,4,ナンデフェスティヴ,リオンディーズ,2,大野拓弥,1200,良,1200.0,1.5,2.7,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,中山,１勝ｸﾗｽ,自己条件,9,セイウンロミオ,ドゥラメンテ,3,大野拓弥,1800,良,1800.0,2.8,4.5,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,グレイＨ･3勝,自己条件,5,ゼーゲン,ディープインパクト,6,大野拓弥,2500,稍,2200.0,4.2,7.3,0.0,芝,長距離,芝道悪,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,ノエル賞･1勝,自己条件,13,シュルルヴァン,エピファネイア,4,大野拓弥,1200,稍,1400.0,3.1,4.9,0.0,芝,短距離,芝道悪,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,１勝ｸﾗｽ*,自己条件,6,ヴォルケニック,ディスクリートキャット,2,大野拓弥,1200,稍,1400.0,2.1,3.2,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,新馬,新馬,12,シャイニングサン,キタサンブラック,2,大野拓弥,1800,稍,,2.0,3.5,0.0,芝,中距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,未勝利*,未勝利,9,アクアスパーダ,レッドスパーダ,2,大野拓弥,1800,稍,1800.0,47.2,89.8,0.0,ダート,中距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,１勝ｸﾗｽ,自己条件,9,ルージュフェリーク,Golden Horn,3,大野拓弥,2500,良,2500.0,7.1,12.4,0.0,芝,長距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,北総Ｓ･3勝,自己条件,8,ブラックヘイロー,ルーラーシップ,5,大野拓弥,1800,稍,1800.0,1.5,2.0,0.0,ダート,中距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,舞浜特別･2勝,自己条件,5,クロノフルール,クロフネ,3,大野拓弥,1200,稍,1200.0,4.8,7.7,0.0,ダート,短距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,１勝ｸﾗｽ・牝,自己条件,2,ナリノクリスティー,トゥザワールド,4,大野拓弥,1800,稍,1700.0,4.4,7.0,0.0,ダート,中距離,ダ道悪,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,未勝利*,未勝利,14,リーセフィヨルド,ハービンジャー,2,大野拓弥,1600,良,1500.0,1.2,1.6,0.0,芝,短距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,新馬,新馬,6,ポップパフォーマー,イスラボニータ,2,大野拓弥,1600,良,,1.2,1.6,130.0,芝,短距離,,,右回り,2歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,6400.0,7820.8,7820.8,7820.8,7862.4,7862.4,7862.4,7904.0,7904.0,7904.0
2021-12-19,中山,未勝利・牝*,未勝利,3,ソフィーズチョイス,ノヴェリスト,2,大野拓弥,1800,良,1800.0,1.8,2.6,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,未勝利*,未勝利,11,ゼンカイテン,ザファクター,2,大野拓弥,1200,稍,1200.0,1.1,1.4,120.0,ダート,短距離,ダ道悪,,右回り,2歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,7000.0,7896.0,7896.0,7896.0,7938.0,7938.0,7938.0,7980.0,7980.0,7980.0
2021-12-18,中山,ターコイＨG3,重賞,8,ムーンチャイム,アドマイヤムーン,6,大野拓弥,1600,稍,1400.0,14.7,20.3,0.0,芝,短距離,芝道悪,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,中山,未勝利*,未勝利,14,ラクレット,メイショウサムソン,2,大野拓弥,1800,重,1800.0,31.0,52.1,0.0,ダート,中距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,中山,未勝利*,未勝利,2,ノクターナリティ,ディスクリートキャット,2,大野拓弥,1800,重,1600.0,1.5,2.1,160.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,5100.0,7670.4,7670.4,7670.4,7711.2,7711.2,7711.2,7752.0,7752.0,7752.0
2021-12-12,中山,２勝ｸﾗｽ,自己条件,9,ゲバラ,ディープインパクト,5,大野拓弥,1600,良,1400.0,2.5,3.8,0.0,芝,短距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,中山,カペラＳG3,重賞,6,スマートダンディー,エンパイアメーカー,7,大野拓弥,1200,良,1400.0,2.9,4.2,0.0,ダート,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,中山,常総ＳＨ･3勝,自己条件,2,ココニアル,タートルボウル,4,大野拓弥,1800,良,1800.0,2.9,4.3,0.0,芝,中距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,中山,１勝ｸﾗｽ,自己条件,5,サンズオブタイム,ディープブリランテ,3,大野拓弥,1800,良,1800.0,1.5,2.5,180.0,芝,中距離,,,右回り,3歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,5100.0,8629.2,8629.2,8629.2,8675.1,8675.1,8675.1,8721.0,8721.0,8721.0
2021-12-12,中山,未勝利*,未勝利,6,ディープグラビティ,ディープインパクト,2,大野拓弥,2000,良,2000.0,1.4,2.0,140.0,芝,中距離,,,右回り,2歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,5500.0,7238.0,7238.0,7238.0,7276.5,7276.5,7276.5,7315.0,7315.0,7315.0
2021-12-12,中山,未勝利*,未勝利,4,ナンデフェスティヴ,リオンディーズ,2,大野拓弥,1200,稍,1300.0,1.4,5.2,490.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,5500.0,26950.0,26950.0,26950.0,26950.0,26950.0,26950.0,26950.0,26950.0,26950.0
2021-12-12,中山,未勝利*,未勝利,4,タイムトゥゴー,Postponed,2,大野拓弥,1800,稍,1800.0,6.0,9.1,0.0,ダート,中距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,師走ＳＨ(L),OP,7,アッシェンプッテル,バトルプラン,5,大野拓弥,1800,稍,1800.0,3.1,5.1,0.0,ダート,中距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,アクアラ･3勝,自己条件,15,ロイヤルバローズ,オルフェーヴル,6,大野拓弥,1200,稍,1200.0,1.8,2.4,0.0,ダート,短距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,黒松賞･1勝*,自己条件,9,アイムファイン,エイシンフラッシュ,2,大野拓弥,1200,良,1200.0,1.9,3.2,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,１勝ｸﾗｽ,自己条件,7,セイウンロミオ,ドゥラメンテ,3,大野拓弥,1800,稍,1700.0,4.7,18.0,0.0,ダート,中距離,ダ道悪,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,未勝利*,未勝利,7,クライアンテル,アメリカンペイトリオット,2,大野拓弥,1800,良,1600.0,3.4,7.9,0.0,芝,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,新馬,新馬,2,シルミオーネ,サトノアラジン,2,大野拓弥,1800,良,,8.0,14.8,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,未勝利*,未勝利,12,エコロデビル,ロゴタイプ,2,大野拓弥,1200,良,1200.0,2.3,3.7,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,未勝利・牝*,未勝利,13,メロディーフェア,ノヴェリスト,2,大野拓弥,1800,稍,1600.0,4.7,11.9,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,中山,２勝ｸﾗｽ,自己条件,8,ナリノモンターニュ,ヴィクトワールピサ,4,大野拓弥,2500,良,1800.0,1.1,1.6,130.0,芝,長距離,,距離延長,右回り,4歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,7000.0,8554.0,8554.0,8554.0,8599.5,8599.5,8599.5,8645.0,8645.0,8645.0
2021-12-05,中山,ラピスラ(L),OP,16,マリアズハート,Shanghai Bobby,5,大野拓弥,1200,良,1000.0,1.8,2.3,0.0,芝,短距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,中山,市川ＳＨ･3勝,自己条件,9,ブランクチェック,パイロ,4,大野拓弥,1800,良,1600.0,2.7,4.0,320.0,ダート,中距離,,距離延長,右回り,4歳,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,2800.0,8960.0,8960.0,8960.0,8960.0,8960.0,8960.0,8960.0,8960.0,8960.0
2021-12-05,中山,２勝ｸﾗｽ,自己条件,11,グレンマクナス,ディープインパクト,7,大野拓弥,1800,良,1800.0,21.0,104.9,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,中山,１勝ｸﾗｽ,自己条件,8,ナスノコウラン,ルーラーシップ,5,大野拓弥,2500,良,2400.0,12.9,19.9,0.0,ダート,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,中山,１勝ｸﾗｽ*,自己条件,3,メズメライザー,ディスクリートキャット,2,大野拓弥,1200,良,1200.0,1.2,2.3,120.0,ダート,短距離,,,右回り,2歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,6400.0,7219.2,7219.2,7219.2,7257.6,7257.6,7257.6,7296.0,7296.0,7296.0
