日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-28,中山,ホープフG1,重賞,13,フィデル,ハーツクライ,2,川田将雅,2000,良,2000.0,3.5,6.2,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,中京,チャンピG1,重賞,12,クリンチャー,ディープスカイ,7,川田将雅,1800,良,1800.0,3.9,6.4,0.0,ダート,中距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,中京,中京日経･2勝,自己条件,2,ジャスティンカフェ,エピファネイア,3,川田将雅,1600,良,1600.0,1.1,1.1,110.0,芝,短距離,,,左回り,3歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,600.0,620.4,620.4,620.4,623.7,623.7,623.7,627.0,627.0,627.0
2021-12-05,中京,１勝ｸﾗｽ,自己条件,9,ロードプレジール,キングカメハメハ,3,川田将雅,2200,良,2200.0,1.2,1.5,130.0,芝,中距離,,,左回り,3歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,500.0,611.0,611.0,611.0,614.25,614.25,614.25,617.5,617.5,617.5
2021-12-05,中京,新馬,新馬,2,ダノンマイソウル,ディープインパクト,2,川田将雅,2000,良,,1.1,1.1,0.0,芝,中距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-04,阪神,２勝ｸﾗｽ・牝,自己条件,7,フェアレストアイル,ディープインパクト,4,川田将雅,1400,良,1400.0,1.4,1.9,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-04,阪神,チャレンG3,重賞,6,ヒートオンビート,キングカメハメハ,4,川田将雅,2000,良,2400.0,1.5,2.9,160.0,芝,中距離,,距離短縮,右回り,4歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,400.0,601.6,601.6,601.6,604.8,604.8,604.8,608.0,608.0,608.0
2021-12-04,阪神,再度山Ｈ･2勝,自己条件,7,オヌール,ディープインパクト,3,川田将雅,1800,良,2200.0,1.1,1.1,110.0,芝,中距離,,距離短縮,右回り,3歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,600.0,620.4,620.4,620.4,623.7,623.7,623.7,627.0,627.0,627.0
2021-12-04,阪神,１勝ｸﾗｽ,自己条件,7,キングダムウイナー,ディープインパクト,4,川田将雅,2000,良,1800.0,1.5,2.2,0.0,ダート,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-04,阪神,新馬,新馬,10,ダノンジャッカル,ディープインパクト,2,川田将雅,1800,良,,1.1,2.3,120.0,芝,中距離,,,右回り,2歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,600.0,676.8,676.8,676.8,680.4,680.4,680.4,684.0,684.0,684.0
