日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-25,中山,冬至特別･2勝,自己条件,13,エターナルダイヤ,ジョーカプチーノ,5,木幡初也,1200,稍,1200.0,31.5,52.9,0.0,ダート,短距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,中山,未勝利*,未勝利,6,エクセルウェッジ,ビッグアーサー,2,木幡初也,1800,稍,1600.0,30.5,51.5,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,中山,未勝利*,未勝利,9,ペインティトブルー,カレンブラックヒル,2,木幡初也,1200,稍,1200.0,7.6,13.5,0.0,芝,短距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,中山,未勝利*,未勝利,11,ドウダンミッチー,シニスターミニスター,2,木幡初也,1200,稍,1200.0,1.7,2.8,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18,阪神,新馬,新馬,12,ユイノマチブセ,シニスターミニスター,2,木幡初也,1200,良,,1.6,2.3,180.0,ダート,短距離,,,右回り,2歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,8000.0,13536.0,13536.0,13536.0,13608.0,13608.0,13608.0,13680.0,13680.0,13680.0
2022-12-18,阪神,未勝利*,未勝利,14,タケウチリッキー,コパノリッキー,2,木幡初也,1200,良,1400.0,9.6,25.3,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中山,１勝ｸﾗｽ,自己条件,13,コウユーママニニテ,モンテロッソ,3,木幡初也,1200,良,1200.0,3.8,5.7,420.0,ダート,短距離,,,右回り,3歳,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,3300.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0
2022-12-11,阪神,阪神ジュG1,重賞,3,シンリョクカ,サトノダイヤモンド,2,木幡初也,1600,良,1600.0,8.2,12.7,910.0,芝,短距離,,,右回り,2歳,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,1600.0,14560.0,14560.0,14560.0,14560.0,14560.0,14560.0,14560.0,14560.0,14560.0
2022-12-11,阪神,竹田城Ｓ･3勝,自己条件,6,クリノホノオ,メイショウサムソン,5,木幡初也,2000,良,1700.0,19.5,32.6,0.0,ダート,中距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-11,阪神,未勝利*,未勝利,8,ユイノシノビアシ,グレーターロンドン,2,木幡初也,1800,良,1500.0,2.0,3.8,0.0,芝,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
