日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-01,中山,２勝ｸﾗｽ,自己条件,10,アイアムユウシュン,ヘニーヒューズ,3,柴田善臣,1200,良,1200.0,1.9,2.6,190.0,ダート,短距離,,,右回り,3歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,4500.0,8037.0,8037.0,8037.0,8079.75,8079.75,8079.75,8122.5,8122.5,8122.5
2024-12-01,中山,１勝ｸﾗｽ*,自己条件,2,ケイツーギルダー,アジアエクスプレス,2,柴田善臣,1200,良,1400.0,1.7,2.6,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,中山,未勝利*,未勝利,14,トーケンサワー,ルーラーシップ,2,柴田善臣,1600,良,1600.0,1.6,2.3,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,中山,未勝利・牝*,未勝利,12,ゴールドシャーク,オルフェーヴル,2,柴田善臣,1800,稍,1600.0,19.6,33.6,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-24,東京,未勝利*,未勝利,10,ショウナンカチドキ,マクフィ,2,柴田善臣,1400,良,1600.0,1.6,3.0,160.0,ダート,短距離,,距離短縮,左回り,2歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,5400.0,8121.6,8121.6,8121.6,8164.8,8164.8,8164.8,8208.0,8208.0,8208.0
2024-11-23,東京,キャピタ(L),OP,8,メイショウチタン,ロードカナロア,7,柴田善臣,1600,良,1400.0,11.7,18.7,0.0,芝,短距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,京都,マイルチG1,重賞,16,タイムトゥヘヴン,ロードカナロア,6,柴田善臣,1600,良,1600.0,19.3,29.2,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,福島,キビタＨ･3勝,自己条件,6,メイショウエニシア,リアルインパクト,6,柴田善臣,1200,良,1200.0,7.3,10.0,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,福島,西郷特別･2勝,自己条件,6,フミバレンタイン,カレンブラックヒル,5,柴田善臣,1150,良,1200.0,5.2,8.7,0.0,ダート,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,福島,未勝利*,未勝利,16,ベールドインパクト,ダノンバラード,2,柴田善臣,1800,良,1800.0,1.3,1.6,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,福島,１勝ｸﾗｽ,自己条件,13,ショウナンハクウン,ダイワメジャー,4,柴田善臣,1150,良,1150.0,5.3,9.5,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,福島,福島記念ＨG3,重賞,13,ショウナンマグマ,ザファクター,5,柴田善臣,2000,良,1800.0,9.7,13.8,0.0,芝,中距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,福島,新馬,新馬,14,ヒットミー,シニスターミニスター,2,柴田善臣,1700,良,,1.2,1.4,120.0,ダート,中距離,,,右回り,2歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,7200.0,8121.6,8121.6,8121.6,8164.8,8164.8,8164.8,8208.0,8208.0,8208.0
2024-11-09,東京,武蔵野ＳG3,重賞,11,ショウナンライシン,エスケンデレヤ,4,柴田善臣,1600,良,1600.0,3.0,5.3,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,東京,奥多摩Ｓ･3勝,自己条件,10,アバンチュリエ,モーリス,5,柴田善臣,1400,良,1400.0,11.4,18.6,0.0,芝,短距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
