日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-27,阪神,２勝ｸﾗｽ,自己条件,5,ビッグデイメイク,リアルスティール,3,森田誠也,2000,良,2200.0,24.2,92.0,0.0,芝,中距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,阪神,新馬,新馬,4,ロサルゴサ,フィエールマン,2,森田誠也,2000,良,,7.2,11.4,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,阪神,未勝利*,未勝利,4,グリュイエール,フォーウィールドライブ,2,森田誠也,1200,稍,1200.0,3.8,9.4,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,中京,１勝ｸﾗｽ,自己条件,3,サイコウダネ,タリスマニック,4,森田誠也,1200,稍,1800.0,50.9,88.9,0.0,ダート,短距離,ダ道悪,距離短縮,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,中京,未勝利*,未勝利,7,メイショウケンゴウ,フィエールマン,2,森田誠也,1800,稍,1400.0,6.5,15.6,0.0,ダート,中距離,ダ道悪,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中京,１勝ｸﾗｽ,自己条件,18,インペリアルコート,ダイワメジャー,5,森田誠也,1400,稍,1200.0,8.8,13.2,0.0,芝,短距離,芝道悪,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中京,１勝ｸﾗｽ,自己条件,16,エンマ,バゴ,3,森田誠也,1800,稍,1900.0,1.8,2.5,0.0,ダート,中距離,ダ道悪,距離短縮,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中京,未勝利*,未勝利,8,トリニタリオ,ウインブライト,2,森田誠也,2000,稍,1800.0,48.3,82.7,0.0,芝,中距離,芝道悪,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中京,未勝利・牝*,未勝利,11,ゲキオコプンプン,マクフィ,2,森田誠也,1600,稍,1800.0,28.0,46.7,0.0,芝,短距離,芝道悪,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中京,１勝ｸﾗｽ,自己条件,11,ロストボール,フリオーソ,6,森田誠也,1900,稍,1800.0,15.4,23.3,0.0,ダート,中距離,ダ道悪,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中京,未勝利*,未勝利,12,ルクスプロフェシー,スマートオーディン,2,森田誠也,1200,稍,1400.0,54.3,88.7,0.0,ダート,短距離,ダ道悪,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-14,阪神,２勝ｸﾗｽ,自己条件,6,プロテア,ロードカナロア,5,森田誠也,1200,良,1200.0,3.6,5.3,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-14,阪神,１勝ｸﾗｽ・牝,自己条件,8,ヒラリーステップ,ホッコータルマエ,5,森田誠也,1800,良,1800.0,4.8,9.1,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-14,阪神,未勝利*,未勝利,10,ブルースプレイヤー,マインドユアビスケッツ,2,森田誠也,1400,稍,1800.0,49.1,110.2,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-14,阪神,未勝利*,未勝利,8,サリー,ロゴタイプ,2,森田誠也,1800,稍,1400.0,44.5,86.8,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-13,阪神,未勝利*,未勝利,11,ミヤフロント,Kingman,2,森田誠也,1200,良,1200.0,5.4,8.1,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-07,中京,志摩特Ｈ･2勝,自己条件,3,ラーテル,ビッグアーサー,5,森田誠也,1600,良,1800.0,52.6,84.1,0.0,芝,短距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-07,中京,新馬,新馬,7,ビロングトゥミー,ジャスタウェイ,2,森田誠也,1400,良,,19.9,28.4,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中京,１勝ｸﾗｽ,自己条件,12,マニス,グレーターロンドン,3,森田誠也,1600,良,1600.0,14.5,24.9,0.0,芝,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中京,１勝ｸﾗｽ・若,自己条件,3,ビービーバザーク,シニスターミニスター,3,森田誠也,1800,良,1700.0,3.1,5.2,0.0,ダート,中距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中京,１勝ｸﾗｽ,自己条件,12,コウジョリョウゾク,ルヴァンスレーヴ,3,森田誠也,1900,良,1900.0,7.7,13.6,0.0,ダート,中距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中京,未勝利*,未勝利,11,ダブルデライト,ミッキーロケット,2,森田誠也,2000,良,1800.0,76.9,159.8,0.0,芝,中距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中京,未勝利・牝*,未勝利,16,ダンシングドール,ヴァンセンヌ,2,森田誠也,1400,良,1400.0,1.6,2.1,180.0,ダート,短距離,,,左回り,2歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,7600.0,12859.2,12859.2,12859.2,12927.6,12927.6,12927.6,12996.0,12996.0,12996.0
2025-11-30,京都,新馬,新馬,4,ミヤフロント,Kingman,2,森田誠也,1200,良,,4.4,7.2,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-30,京都,未勝利*,未勝利,4,ゴーゴーコクラ,スクワートルスクワート,2,森田誠也,1200,良,1200.0,20.2,35.5,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29,京都,２勝ｸﾗｽ,自己条件,9,スペルキャスター,ロードカナロア,5,森田誠也,1200,良,1200.0,11.2,21.7,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29,京都,未勝利*,未勝利,3,ディアナタコス,ロゴタイプ,2,森田誠也,1400,良,1200.0,46.1,90.1,0.0,ダート,短距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23,京都,未勝利*,未勝利,13,コスモギオン,ゴールドシップ,2,森田誠也,2000,良,1800.0,26.0,81.2,0.0,芝,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22,京都,新馬,新馬,15,ディグニダドレアル,サトノダイヤモンド,2,森田誠也,1400,良,,21.6,33.0,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
