日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2023-12-28,中山,ファイナ･3勝,自己条件,4,ビジュノワール,キタサンブラック,4,横山武史,1600,良,1600.0,1.9,2.5,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-28,中山,ベストウ･2勝,自己条件,15,ロレンツォ,ロードカナロア,5,横山武史,1200,良,1300.0,3.4,4.7,0.0,ダート,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-28,中山,１勝ｸﾗｽ,自己条件,10,ランプシー,ハーツクライ,3,横山武史,1800,良,1800.0,1.3,1.7,150.0,芝,中距離,,,右回り,3歳,141.0,141.0,141.0,141.75,141.75,141.75,142.5,142.5,142.5,1400.0,1974.0,1974.0,1974.0,1984.5,1984.5,1984.5,1995.0,1995.0,1995.0
2023-12-28,中山,新馬,新馬,10,ポーラーウインド,ダイワメジャー,2,横山武史,2000,良,,2.4,4.4,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-28,中山,未勝利*,未勝利,2,ゴヴェルナーレリコ,エイシンフラッシュ,2,横山武史,1600,良,1600.0,1.1,1.7,150.0,芝,短距離,,,右回り,2歳,141.0,141.0,141.0,141.75,141.75,141.75,142.5,142.5,142.5,1700.0,2397.0,2397.0,2397.0,2409.75,2409.75,2409.75,2422.5,2422.5,2422.5
2023-12-28,中山,未勝利*,未勝利,10,サンカルミア,ロージズインメイ,2,横山武史,1800,良,1800.0,1.3,2.0,140.0,ダート,中距離,,,右回り,2歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,1400.0,1842.4,1842.4,1842.4,1852.2,1852.2,1852.2,1862.0,1862.0,1862.0
2023-12-28,中山,未勝利*,未勝利,16,マサノヒーロー,マインドユアビスケッツ,2,横山武史,1200,良,1200.0,1.2,2.3,120.0,ダート,短距離,,,右回り,2歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,1500.0,1692.0,1692.0,1692.0,1701.0,1701.0,1701.0,1710.0,1710.0,1710.0
2023-12-24,中山,有馬記念G1,重賞,10,ジャスティンパレス,ディープインパクト,4,横山武史,2500,良,2000.0,1.4,1.7,0.0,芝,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,中山,クリスマ･2勝,自己条件,15,ポリーフォリア,キタサンブラック,3,横山武史,1600,良,1600.0,3.7,5.8,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,中山,１勝ｸﾗｽ,自己条件,13,スウィーヴェモワ,ルーラーシップ,3,横山武史,1800,良,1800.0,1.9,2.6,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,中山,新馬,新馬,5,スリーボビー,シャンハイボビー,2,横山武史,1200,良,,1.6,2.3,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,中山,未勝利*,未勝利,3,カリーシ,モーリス,2,横山武史,1200,良,1600.0,1.1,1.4,110.0,芝,短距離,,距離短縮,右回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,1700.0,1757.8,1757.8,1757.8,1767.15,1767.15,1767.15,1776.5,1776.5,1776.5
2023-12-24,中山,未勝利*,未勝利,8,フクチャントウメイ,ストロングリターン,2,横山武史,1800,良,1600.0,1.4,2.6,0.0,ダート,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,キャンド･2勝,自己条件,10,ミズノコキュウ,ミッキーアイル,4,横山武史,1200,良,,4.3,5.9,450.0,芝,短距離,,,右回り,4歳,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,400.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
2023-12-23,中山,ノエル賞･1勝,自己条件,10,エールトゥヘヴン,ロードカナロア,4,横山武史,1600,良,,1.4,1.9,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,１勝ｸﾗｽ,自己条件,8,カサブランカキッド,ドレフォン,3,横山武史,1200,良,,1.6,2.1,0.0,ダート,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,１勝ｸﾗｽ*,自己条件,13,チカッパ,リアルスティール,2,横山武史,1200,良,,1.2,1.6,130.0,ダート,短距離,,,右回り,2歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,1500.0,1833.0,1833.0,1833.0,1842.75,1842.75,1842.75,1852.5,1852.5,1852.5
2023-12-23,中山,新馬,新馬,7,ブルーワール,Arrogate,2,横山武史,1800,良,,1.4,1.9,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,新馬,新馬,3,タウンホール,ハービンジャー,2,横山武史,1800,良,,2.1,2.9,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,未勝利*,未勝利,9,カンジ,Uncle Mo,2,横山武史,1800,良,,1.3,2.0,130.0,ダート,中距離,,,右回り,2歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,1400.0,1710.8,1710.8,1710.8,1719.9,1719.9,1719.9,1729.0,1729.0,1729.0
2023-12-23,中山,未勝利*,未勝利,15,モリノレッドスター,デクラレーションオブウォー,2,横山武史,1600,良,,1.2,1.6,120.0,芝,短距離,,,右回り,2歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,1500.0,1692.0,1692.0,1692.0,1701.0,1701.0,1701.0,1710.0,1710.0,1710.0
2023-12-23,中山,未勝利・牝*,未勝利,6,ショーヴァロンス,ジャスタウェイ,2,横山武史,1800,良,,3.1,4.6,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,未勝利*,未勝利,11,プレイフルネス,アジアエクスプレス,2,横山武史,1200,良,,1.4,2.1,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,阪神,御影Ｓ･3勝,自己条件,13,ヴアーサ,キズナ,5,横山武史,1400,稍,,1.7,3.9,0.0,ダート,短距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,阪神,フューチG1,重賞,6,セットアップ,デクラレーションオブウォー,2,横山武史,1600,良,,3.3,5.5,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,阪神,六甲アＨ･3勝,自己条件,12,レイベリング,Frankel,3,横山武史,1400,良,,1.7,3.1,180.0,芝,短距離,,,右回り,3歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,1100.0,1861.2,1861.2,1861.2,1871.1,1871.1,1871.1,1881.0,1881.0,1881.0
2023-12-17,阪神,２勝ｸﾗｽ・牝,自己条件,2,メイデンタワー,ドレフォン,3,横山武史,1400,稍,,1.7,2.2,0.0,ダート,短距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,阪神,新馬,新馬,6,デファイ,ヴィクトワールピサ,2,横山武史,1800,稍,,2.0,3.7,0.0,芝,中距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,阪神,未勝利・牝*,未勝利,8,レッセパッセ,ダノンバラード,2,横山武史,1800,稍,,2.9,4.6,0.0,芝,中距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-16,中山,１勝ｸﾗｽ,自己条件,12,プラティクレール,ロージズインメイ,3,横山武史,1200,稍,,1.7,2.1,190.0,ダート,短距離,ダ道悪,,右回り,3歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,1100.0,1964.6,1964.6,1964.6,1975.05,1975.05,1975.05,1985.5,1985.5,1985.5
2023-12-16,中山,ターコイＨG3,重賞,10,ヒップホップソウル,キタサンブラック,3,横山武史,1600,良,,1.9,2.4,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-16,中山,舞浜特別･2勝,自己条件,2,タッカーシルバー,シルバーステート,4,横山武史,1200,稍,,2.5,3.2,0.0,ダート,短距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
