日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-08-27,小倉,小倉サマJG3,OP,6,マイネルプロンプト,マツリダゴッホ,10,白浜雄造,3390,良,3390.0,4.9,7.9,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-20,新潟,障害未勝利,未勝利,3,ミリタリータンゴ,エイシンフラッシュ,4,白浜雄造,2850,良,2750.0,2.8,5.4,0.0,障害,長距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-14,新潟,障害未勝利,未勝利,9,エールヴィオレ,タートルボウル,5,白浜雄造,2850,稍,2890.0,1.2,2.2,130.0,障害,長距離,,距離短縮,左回り,5歳以上,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,1900.0,2321.8,2321.8,2321.8,2334.15,2334.15,2334.15,2346.5,2346.5,2346.5
2022-08-13,小倉,障害・オープ,OP,6,ネビーイーム,キズナ,4,白浜雄造,2860,良,2860.0,1.6,2.4,0.0,障害,長距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-13,小倉,障害未勝利,未勝利,11,エムズジャガー,ブラックタイド,3,白浜雄造,2860,良,2000.0,23.1,45.4,0.0,障害,長距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-24,福島,障害未勝利,未勝利,4,カツジ,ディープインパクト,7,白浜雄造,2770,良,2750.0,1.4,3.2,140.0,障害,長距離,,距離延長,右回り,5歳以上,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,1700.0,2237.2,2237.2,2237.2,2249.1,2249.1,2249.1,2261.0,2261.0,2261.0
2022-07-23,小倉,障害・オープ,OP,4,ネビーイーム,キズナ,4,白浜雄造,2860,良,2970.0,6.6,8.2,0.0,障害,長距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-23,小倉,障害未勝利,未勝利,3,アスタースウィング,Haynesfield,8,白浜雄造,2860,良,2860.0,3.2,7.1,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-17,小倉,障害未勝利,未勝利,2,サンライズアキレス,エンパイアメーカー,6,白浜雄造,2860,良,2860.0,1.4,7.5,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-16,福島,障害未勝利,未勝利,2,ペオース,ダンカーク,5,白浜雄造,2770,重,1800.0,2.6,4.0,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-10,福島,障害未勝利,未勝利,10,ミリタリータンゴ,エイシンフラッシュ,4,白浜雄造,2750,良,2890.0,4.7,8.5,540.0,障害,長距離,,距離短縮,右回り,4歳,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,500.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0
2022-07-09,小倉,障害未勝利,未勝利,4,アスタースウィング,Haynesfield,8,白浜雄造,2860,重,3000.0,2.6,3.7,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
