日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-24,中山,中山大障JG1,OP,1,オジュウチョウサン,ステイゴールド,11,石神深一,4100,良,3110.0,1.3,1.8,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18,中山,障害未勝利,未勝利,4,デザートスター,サトノアラジン,3,石神深一,2880,稍,2600.0,2.6,5.9,0.0,障害,長距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,阪神,障害・オープ,OP,2,ゲインスプレマシー,ルーラーシップ,6,石神深一,3110,良,3300.0,3.3,5.1,330.0,障害,長距離,,距離短縮,右回り,5歳以上,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,900.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0
2022-12-11,中山,障害未勝利,未勝利,7,アルカンサス,シルバーステート,3,石神深一,2880,良,1700.0,5.5,10.1,0.0,障害,長距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-10,阪神,障害・オープ,OP,12,レーヴドオルフェ,オルフェーヴル,5,石神深一,3110,良,3350.0,1.4,1.8,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-03,中山,イルミネ,OP,8,アサクサゲンキ,Stormy Atlantic,7,石神深一,3570,良,3390.0,1.4,1.7,150.0,芝,長距離,,距離延長,右回り,5歳以上,141.0,141.0,141.0,141.75,141.75,141.75,142.5,142.5,142.5,2100.0,2961.0,2961.0,2961.0,2976.75,2976.75,2976.75,2992.5,2992.5,2992.5
2022-11-26,東京,障害未勝利,未勝利,12,シングンジョーイ,シングンオペラ,4,石神深一,3000,良,3000.0,3.0,5.5,0.0,障害,長距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-20,福島,障害未勝利,未勝利,4,ジャディード,シンボリクリスエス,7,石神深一,2770,良,2750.0,1.1,1.2,110.0,障害,長距離,,距離延長,右回り,5歳以上,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,2700.0,2791.8,2791.8,2791.8,2806.65,2806.65,2806.65,2821.5,2821.5,2821.5
2022-11-20,福島,障害未勝利,未勝利,9,タイキモンストル,ラニ,3,石神深一,2770,良,2850.0,6.4,9.8,0.0,障害,長距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-19,東京,秋陽ジャ,OP,10,ハーツシンフォニー,ハーツクライ,5,石神深一,3110,良,3250.0,1.9,2.6,0.0,芝,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
