日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-28,阪神,１勝ｸﾗｽ,自己条件,1,クインズジュピタ,ヘニーハウンド,3,藤懸貴志,1400,良,1400.0,3.3,4.5,330.0,ダート,短距離,,,右回り,3歳,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2400.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0
2022-12-25,阪神,りんくう,OP,10,クインズメリッサ,パイロ,4,藤懸貴志,1200,良,1200.0,1.8,2.7,220.0,ダート,短距離,,,右回り,4歳,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,4400.0,9680.0,9680.0,9680.0,9680.0,9680.0,9680.0,9680.0,9680.0,9680.0
2022-12-24,阪神,２勝ｸﾗｽ,自己条件,1,リュクスウォリアー,マジェスティックウォリアー,5,藤懸貴志,1400,稍,1700.0,5.5,10.2,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,新馬,新馬,4,アイファーシアトル,ベストウォーリア,2,藤懸貴志,1400,稍,,8.2,13.2,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,未勝利*,未勝利,4,ワンダーハイパー,ビーチパトロール,2,藤懸貴志,2000,良,2000.0,33.2,58.4,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,未勝利*,未勝利,9,タガノフリューゲル,ハービンジャー,2,藤懸貴志,1800,稍,1800.0,1.3,5.4,140.0,ダート,中距離,ダ道悪,,右回り,2歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,6100.0,8027.6,8027.6,8027.6,8070.3,8070.3,8070.3,8113.0,8113.0,8113.0
2022-12-18,中京,１勝ｸﾗｽ,自己条件,2,デンジャーマン,アドマイヤムーン,4,藤懸貴志,1600,良,1200.0,45.5,85.6,0.0,芝,短距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中京,１勝ｸﾗｽ,自己条件,8,グッドグロウス,マジェスティックウォリアー,3,藤懸貴志,1200,良,1200.0,1.7,2.4,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中京,新馬,新馬,2,セオグランジ,ルーラーシップ,2,藤懸貴志,1800,良,,2.1,3.4,0.0,ダート,中距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-11,中山,１勝ｸﾗｽ,自己条件,5,アンノウンウォリア,マジェスティックウォリアー,3,藤懸貴志,2500,良,2400.0,9.9,21.2,0.0,ダート,長距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-10,阪神,豊中特Ｈ･2勝,自己条件,16,メリディアン,ロードカナロア,5,藤懸貴志,1800,良,1800.0,20.8,32.7,2360.0,ダート,中距離,,,右回り,5歳以上,3894.0,4012.0,4130.0,3894.0,4012.0,4130.0,3894.0,4012.0,4130.0,400.0,15576.0,16048.0,16520.0,15576.0,16048.0,16520.0,15576.0,16048.0,16520.0
2022-12-10,阪神,未勝利*,未勝利,5,スーサンベガ,ミッキーアイル,2,藤懸貴志,1200,良,1200.0,6.3,10.5,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-10,阪神,新馬・牝,新馬,2,マックザナイフ,リオンディーズ,2,藤懸貴志,1400,良,,32.4,50.5,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-04,阪神,１勝ｸﾗｽ,自己条件,5,エナハツホ,トビーズコーナー,3,藤懸貴志,1800,稍,1700.0,1.1,1.5,0.0,ダート,中距離,ダ道悪,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-04,阪神,新馬,新馬,6,ヤマニンリーリオ,シニスターミニスター,2,藤懸貴志,1400,稍,,3.4,5.7,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-03,中京,中京日Ｈ･2勝,自己条件,2,ベストクィーン,スクリーンヒーロー,6,藤懸貴志,1600,良,1400.0,8.7,14.4,0.0,芝,短距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-03,中京,未勝利*,未勝利,7,ワンダーハイパー,ビーチパトロール,2,藤懸貴志,2000,良,2000.0,15.7,24.9,0.0,芝,中距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-03,中京,未勝利*,未勝利,7,ダンツターセル,マインドユアビスケッツ,2,藤懸貴志,1400,良,1400.0,6.1,11.4,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-27,阪神,２勝ｸﾗｽ,自己条件,1,ハギノオーロ,キンシャサノキセキ,5,藤懸貴志,1400,稍,1400.0,21.5,32.0,0.0,ダート,短距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-26,阪神,１勝ｸﾗｽ,自己条件,8,グッドグロウス,マジェスティックウォリアー,3,藤懸貴志,1200,稍,1200.0,8.1,19.0,1650.0,ダート,短距離,ダ道悪,,右回り,3歳,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1000.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0
2022-11-20,東京,２勝ｸﾗｽ,自己条件,12,ケイアイシェルビー,ディープインパクト,4,藤懸貴志,2100,良,1800.0,1.5,2.9,180.0,ダート,中距離,,距離延長,左回り,4歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,5300.0,8967.6,8967.6,8967.6,9015.3,9015.3,9015.3,9063.0,9063.0,9063.0
2022-11-19,福島,みちのく･3勝,自己条件,4,オルダージュ,タイキシャトル,6,藤懸貴志,1200,良,1200.0,14.1,19.5,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-19,福島,三春駒特･1勝,自己条件,14,プリティユニバンス,ヴィクトワールピサ,5,藤懸貴志,1800,良,2000.0,4.0,6.1,0.0,芝,中距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-19,福島,１勝ｸﾗｽ,自己条件,12,ケイアイメビウス,マジェスティックウォリアー,3,藤懸貴志,1700,良,1800.0,2.6,3.7,300.0,ダート,中距離,,距離短縮,右回り,3歳,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,3100.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0
2022-11-13,阪神,室町ＳＨ,OP,13,クインズメリッサ,パイロ,4,藤懸貴志,1200,重,1200.0,3.3,4.5,380.0,ダート,短距離,ダ道悪,,右回り,4歳,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,2400.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0
2022-11-13,阪神,未勝利*,未勝利,3,キクノミヤビ,ノヴェリスト,2,藤懸貴志,1200,良,1200.0,24.9,45.0,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-13,阪神,未勝利*,未勝利,2,メイショウハツセ,メイショウサムソン,2,藤懸貴志,1800,良,2000.0,36.3,91.1,0.0,ダート,中距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-12,福島,１勝ｸﾗｽ,自己条件,3,ベンガン,オルフェーヴル,5,藤懸貴志,1200,良,1600.0,1.9,2.5,230.0,芝,短距離,,距離短縮,右回り,5歳以上,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,4200.0,9660.0,9660.0,9660.0,9660.0,9660.0,9660.0,9660.0,9660.0,9660.0
2022-11-12,福島,奥羽Ｓ･3勝,自己条件,6,エースレイジング,ゴールドアリュール,5,藤懸貴志,1700,良,1400.0,14.4,23.2,0.0,ダート,中距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-12,福島,新馬,新馬,1,ワンダーハイパー,ビーチパトロール,2,藤懸貴志,2000,良,,3.2,5.0,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-06,福島,高湯温泉･1勝,自己条件,13,カレンマックナイト,カレンブラックヒル,3,藤懸貴志,1800,良,1800.0,2.3,3.3,0.0,芝,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-06,福島,１勝ｸﾗｽ,自己条件,14,クリノヴァニラ,アスカクリチャン,4,藤懸貴志,1150,良,1200.0,23.6,36.8,0.0,ダート,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
