日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-07-28,札幌,２勝ｸﾗｽ・牝,自己条件,6,タガノチョコラータ,アメリカンペイトリオット,4,角田大河,1700,重,1700.0,3.0,8.2,0.0,ダート,中距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,札幌,ポプラＳ･3勝,自己条件,10,シダー,ホッコータルマエ,5,角田大河,1700,重,1900.0,2.0,3.2,290.0,ダート,中距離,ダ道悪,距離短縮,右回り,5歳以上,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,3600.0,10440.0,10440.0,10440.0,10440.0,10440.0,10440.0,10440.0,10440.0,10440.0
2024-07-28,札幌,１勝ｸﾗｽ,自己条件,2,インクルードダイヤ,サトノダイヤモンド,4,角田大河,1200,稍,1200.0,10.2,20.3,0.0,芝,短距離,芝道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,札幌,未勝利,未勝利,8,ルクスチェリー,サトノアラジン,3,角田大河,2000,重,2000.0,2.2,3.2,0.0,芝,中距離,芝道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,札幌,未勝利,未勝利,5,ウィスピースノー,ワールドエース,3,角田大河,1000,不,1000.0,4.4,6.4,0.0,ダート,短距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,札幌,未勝利,未勝利,8,オメガサミット,ミッキーアイル,3,角田大河,1500,重,1800.0,8.2,15.6,0.0,芝,短距離,芝道悪,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-27,札幌,２勝ｸﾗｽ,自己条件,2,ジョーローリット,ダノンレジェンド,3,角田大河,1000,良,1200.0,1.5,2.2,180.0,ダート,短距離,,距離短縮,右回り,3歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,4900.0,8290.8,8290.8,8290.8,8334.9,8334.9,8334.9,8379.0,8379.0,8379.0
2024-07-27,札幌,ＳＴＶＨ･3勝,自己条件,14,スミ,リオンディーズ,5,角田大河,2000,良,2000.0,2.3,3.0,250.0,芝,中距離,,,右回り,5歳以上,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,3200.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0
2024-07-27,札幌,１勝ｸﾗｽ,自己条件,7,ゼンダンスカイ,レッドファルクス,3,角田大河,1700,良,1700.0,1.3,1.8,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-27,札幌,１勝ｸﾗｽ・牝,自己条件,1,シルバーダイヤ,シルバーステート,4,角田大河,1000,良,1200.0,4.5,7.3,0.0,ダート,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
