日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-28,阪神,ファイＨ･3勝,自己条件,7,クルークヴァール,ロードカナロア,6,鮫島克駿,1200,良,1000.0,13.6,19.1,0.0,芝,短距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,フォーチ･2勝,自己条件,4,ルージュメサージュ,スピルバーグ,3,鮫島克駿,2000,良,2000.0,1.7,2.5,0.0,芝,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,春待月賞･2勝,自己条件,3,ルピナステソーロ,ミッキーアイル,3,鮫島克駿,1200,良,1200.0,2.1,3.2,0.0,ダート,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,１勝ｸﾗｽ*,自己条件,1,メイショウジブリ,キズナ,2,鮫島克駿,1800,良,1800.0,1.4,2.3,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,未勝利*,未勝利,5,グロズニーグラード,ルーラーシップ,2,鮫島克駿,1800,良,1600.0,17.1,29.2,0.0,芝,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,新馬,新馬,8,レベレンシア,ロードカナロア,2,鮫島克駿,1600,良,,1.5,2.0,180.0,芝,短距離,,,右回り,2歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,4600.0,7783.2,7783.2,7783.2,7824.6,7824.6,7824.6,7866.0,7866.0,7866.0
2021-12-28,阪神,未勝利*,未勝利,11,ウムラウト,モーリス,2,鮫島克駿,1200,良,1600.0,2.3,4.4,0.0,芝,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,未勝利*,未勝利,11,カルトゥーシュ,トーセンラー,2,鮫島克駿,1800,良,2000.0,2.4,5.7,0.0,ダート,中距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,阪神,猪名川特･2勝,自己条件,7,ムーンライト,ハーツクライ,4,鮫島克駿,1400,良,1400.0,3.4,5.0,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,阪神,りんくうＨ,OP,4,エアアルマス,Majestic Warrior,6,鮫島克駿,1200,良,1400.0,2.0,2.9,230.0,ダート,短距離,,距離短縮,右回り,5歳以上,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,3500.0,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0
