日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-28,阪神,障害未勝利,未勝利,5,サダムラピュタ,マンハッタンカフェ,7,黒岩悠,2970,良,2970.0,3.6,7.5,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,阪神,障害未勝利,未勝利,4,シグネチャーセル,ヘニーヒューズ,4,黒岩悠,2970,良,2770.0,7.9,14.2,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,中山,中山大障JG1,OP,3,テイエムタツマキ,キズナ,4,黒岩悠,4100,良,3110.0,8.0,13.2,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,阪神,１勝ｸﾗｽ,自己条件,4,クリノヴァニラ,アスカクリチャン,4,黒岩悠,1400,稍,1150.0,76.6,118.7,0.0,ダート,短距離,ダ道悪,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-10,阪神,障害・オープ,OP,1,サトノファイター,キングカメハメハ,6,黒岩悠,3110,良,2890.0,9.1,14.1,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-20,福島,障害未勝利,未勝利,5,シグネチャーセル,ヘニーヒューズ,4,黒岩悠,2770,良,2850.0,16.5,32.5,0.0,障害,長距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-19,東京,秋陽ジャ,OP,1,テイエムタツマキ,キズナ,4,黒岩悠,3110,良,3390.0,3.5,5.1,400.0,芝,長距離,,距離短縮,左回り,4歳,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,2200.0,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0
2022-11-12,阪神,京都ジャJG3,OP,8,ホッコーメヴィウス,ダイワメジャー,6,黒岩悠,3140,良,3110.0,1.1,1.1,110.0,障害,長距離,,距離延長,右回り,5歳以上,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,7000.0,7238.0,7238.0,7238.0,7276.5,7276.5,7276.5,7315.0,7315.0,7315.0
2022-11-05,福島,障害・オープ,OP,4,マイネルダンク,ゴールドシップ,4,黒岩悠,3350,良,3250.0,1.6,2.3,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-29,新潟,障害・オープ,OP,1,ララロトリー,トーセンラー,5,黒岩悠,2850,良,2860.0,9.7,17.1,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
