日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-28,中山,カウント･3勝,自己条件,1,ダンテスヴュー,キングカメハメハ,3,Ｃ．デム,1600,良,1600.0,1.8,2.6,200.0,芝,短距離,,,右回り,3歳,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,600.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
2022-12-28,中山,ホープフG1,重賞,9,セブンマジシャン,ジャスタウェイ,2,Ｃ．デム,2000,良,2000.0,1.9,2.6,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-28,中山,新馬,新馬,4,シェアザグローリー,エピファネイア,2,Ｃ．デム,2000,良,,2.3,3.4,280.0,芝,中距離,,,右回り,2歳,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,500.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0
2022-12-28,中山,未勝利*,未勝利,7,フラミニア,モーリス,2,Ｃ．デム,1800,良,1600.0,2.6,3.8,300.0,芝,中距離,,距離延長,右回り,2歳,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,400.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
2022-12-25,中山,キャンド･2勝,自己条件,11,トップキャスト,ダイワメジャー,3,Ｃ．デム,1200,良,1400.0,8.8,12.8,0.0,芝,短距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,中山,有馬記念G1,重賞,5,ジェラルディーナ,モーリス,4,Ｃ．デム,2500,良,2200.0,1.8,2.9,200.0,芝,長距離,,距離延長,右回り,4歳,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,600.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
2022-12-25,中山,フェアウ･3勝,自己条件,6,ジェットエンブレム,ヘニーヒューズ,4,Ｃ．デム,1200,稍,1200.0,3.9,5.8,0.0,ダート,短距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,中山,グッドＨ･2勝,自己条件,14,ジオフロント,ハーツクライ,4,Ｃ．デム,2500,良,1800.0,5.7,9.6,920.0,芝,長距離,,距離延長,右回り,4歳,920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0,200.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0
2022-12-25,中山,新馬,新馬,7,ペモンディアル,ブラックタイド,2,Ｃ．デム,1600,良,,1.4,3.3,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,中山,未勝利*,未勝利,16,トロピカルタウン,カレンブラックヒル,2,Ｃ．デム,1800,稍,1800.0,1.2,1.6,0.0,ダート,中距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,中山,未勝利*,未勝利,3,デイズオブドリーム,レッドファルクス,2,Ｃ．デム,1200,稍,1200.0,1.1,1.1,110.0,ダート,短距離,ダ道悪,,右回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,1000.0,1034.0,1034.0,1034.0,1039.5,1039.5,1039.5,1045.0,1045.0,1045.0
2022-12-24,阪神,１勝ｸﾗｽ,自己条件,8,ジェニーアムレット,ディープインパクト,4,Ｃ．デム,2400,良,1800.0,1.9,6.2,0.0,芝,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,阪神カッG2,重賞,18,グレナディアガーズ,Frankel,4,Ｃ．デム,1400,良,1200.0,1.7,2.3,190.0,芝,短距離,,距離延長,右回り,4歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,600.0,1071.6,1071.6,1071.6,1077.3,1077.3,1077.3,1083.0,1083.0,1083.0
2022-12-24,阪神,万両賞･1勝*,自己条件,5,ペースセッティング,Showcasing,2,Ｃ．デム,1400,良,1400.0,1.1,1.1,110.0,芝,短距離,,,右回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,1000.0,1034.0,1034.0,1034.0,1039.5,1039.5,1039.5,1045.0,1045.0,1045.0
2022-12-24,阪神,２勝ｸﾗｽ,自己条件,14,ハッピースワニー,アジアエクスプレス,3,Ｃ．デム,1400,稍,1400.0,1.1,1.4,120.0,ダート,短距離,ダ道悪,,右回り,3歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,1000.0,1128.0,1128.0,1128.0,1134.0,1134.0,1134.0,1140.0,1140.0,1140.0
2022-12-24,阪神,新馬,新馬,9,ハイランドリンクス,ドゥラメンテ,2,Ｃ．デム,1800,良,,2.2,3.7,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,未勝利*,未勝利,15,ジャスティンレオン,ハーツクライ,2,Ｃ．デム,2000,良,2000.0,1.4,1.9,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,未勝利*,未勝利,8,ゴルデールスカー,モーリス,2,Ｃ．デム,1400,稍,1400.0,2.2,3.6,220.0,ダート,短距離,ダ道悪,,右回り,2歳,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,500.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
