日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-07,中山,障害未勝利,未勝利,9,ゴールデンルーキー,Catholic Boy,4,草野太郎,2880,良,2750.0,1.4,3.5,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-09,福島,障害未勝利,未勝利,5,ゴールデンルーキー,Catholic Boy,4,草野太郎,2750,良,3000.0,2.2,4.0,270.0,障害,長距離,,距離短縮,右回り,4歳,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,1500.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0
2025-10-18,新潟,１勝ｸﾗｽ,自己条件,15,イーブンナウ,Catholic Boy,4,川端海翼,1800,良,1400.0,33.4,205.0,0.0,ダート,中距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,東京,障害未勝利,未勝利,10,ゴールデンルーキー,Catholic Boy,4,草野太郎,3000,良,2880.0,1.7,3.5,0.0,障害,長距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-14,中山,障害未勝利,未勝利,3,ゴールデンルーキー,Catholic Boy,4,草野太郎,2880,良,3000.0,2.0,13.7,270.0,障害,長距離,,距離短縮,右回り,4歳,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,1700.0,4590.0,4590.0,4590.0,4590.0,4590.0,4590.0,4590.0,4590.0,4590.0
2025-08-17,札幌,小樽特別･1勝,自己条件,6,マジカルシャイン,Catholic Boy,3,武豊,1200,稍,1200.0,2.1,3.1,0.0,芝,短距離,芝道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-02,札幌,１勝ｸﾗｽ,自己条件,3,マジカルシャイン,Catholic Boy,3,武豊,1200,良,1200.0,1.3,1.8,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-26,中京,障害未勝利,未勝利,10,ゴールデンルーキー,Catholic Boy,4,中村将之,3000,良,3000.0,12.9,68.8,0.0,障害,長距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-19,函館,１勝ｸﾗｽ,自己条件,6,マジカルシャイン,Catholic Boy,3,武豊,1200,良,1200.0,1.8,2.6,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-07,東京,障害未勝利,未勝利,12,ゴールデンルーキー,Catholic Boy,4,江田勇亮,3000,良,2880.0,11.3,21.2,0.0,障害,長距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-05,中山,障害未勝利,未勝利,9,ゴールデンルーキー,Catholic Boy,4,草野太郎,2880,稍,2880.0,6.3,10.1,0.0,障害,長距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,阪神,１勝ｸﾗｽ*,自己条件,8,マジカルシャイン,Catholic Boy,3,坂井瑠星,1200,良,1200.0,2.4,3.6,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-08,中山,障害未勝利,未勝利,6,ゴールデンルーキー,Catholic Boy,4,草野太郎,2880,稍,2770.0,8.2,23.6,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,阪神,１勝ｸﾗｽ*,自己条件,15,マジカルシャイン,Catholic Boy,3,武豊,1200,良,1200.0,1.2,1.6,0.0,ダート,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-15,京都,１勝ｸﾗｽ,自己条件,1,イーブンナウ,Catholic Boy,4,田口貫太,1400,良,1700.0,21.1,33.0,0.0,ダート,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
