日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-20,阪神,１勝ｸﾗｽ,自己条件,5,アークドール,Golden Horn,4,武豊,1800,良,1800.0,1.9,8.3,0.0,ダート,中距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-07,中京,１勝ｸﾗｽ,自己条件,14,アークドール,Golden Horn,4,武豊,1800,良,1800.0,2.1,3.1,0.0,ダート,中距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中山,イルミネ,OP,6,ヘザルフェン,Golden Horn,4,森一馬,3570,良,3170.0,1.2,1.4,130.0,芝,長距離,,距離延長,右回り,4歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,600.0,733.2,733.2,733.2,737.1,737.1,737.1,741.0,741.0,741.0
2025-11-09,京都,１勝ｸﾗｽ,自己条件,9,アークドール,Golden Horn,4,武豊,1800,重,1800.0,1.8,3.6,0.0,ダート,中距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25,京都,１勝ｸﾗｽ,自己条件,10,アークドール,Golden Horn,4,浜中俊,1800,良,2400.0,2.4,3.5,280.0,ダート,中距離,,距離短縮,右回り,4歳,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,300.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0
2025-10-11,京都,障害・オープ,OP,7,ヘザルフェン,Golden Horn,4,森一馬,3170,良,3330.0,1.1,2.4,130.0,障害,長距離,,距離短縮,右回り,4歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,600.0,733.2,733.2,733.2,737.1,737.1,737.1,741.0,741.0,741.0
2025-08-23,中京,障害・オープ,OP,5,ヘザルフェン,Golden Horn,4,森一馬,3330,良,3000.0,1.1,1.9,190.0,障害,長距離,,距離延長,左回り,4歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,600.0,1071.6,1071.6,1071.6,1077.3,1077.3,1077.3,1083.0,1083.0,1083.0
2025-07-26,中京,障害未勝利,未勝利,1,ヘザルフェン,Golden Horn,4,森一馬,3000,良,3000.0,1.7,7.2,690.0,障害,長距離,,,左回り,4歳,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,400.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0
2025-07-12,函館,１勝ｸﾗｽ,自己条件,3,アークドール,Golden Horn,4,武豊,2400,良,1700.0,1.2,1.6,140.0,ダート,長距離,,距離延長,右回り,4歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,600.0,789.6,789.6,789.6,793.8,793.8,793.8,798.0,798.0,798.0
2025-06-28,函館,１勝ｸﾗｽ,自己条件,6,アークドール,Golden Horn,4,武豊,1700,稍,1800.0,2.5,3.5,0.0,ダート,中距離,ダ道悪,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
