日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-21,阪神,御影Ｓ･3勝,自己条件,10,アンジュフィールド,Justify,5,坂井瑠星,1400,重,1400.0,2.3,4.6,0.0,ダート,短距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,阪神,御影Ｓ･3勝,自己条件,12,ラップスター,Justify,5,松山弘平,1400,重,1600.0,9.9,21.7,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,阪神,新馬,新馬,3,サンセバ,Justify,2,武豊,1800,良,,1.5,2.2,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中山,１勝ｸﾗｽ,自己条件,4,ピコテンダー,Justify,3,ルメール,1200,良,1200.0,1.1,1.1,110.0,ダート,短距離,,,右回り,3歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,2700.0,2791.8,2791.8,2791.8,2806.65,2806.65,2806.65,2821.5,2821.5,2821.5
2025-12-13,中京,１勝ｸﾗｽ・牝,自己条件,3,ウエヲムイテゴラン,Justify,4,丹内祐次,1800,良,1600.0,1.5,2.0,160.0,ダート,中距離,,距離延長,左回り,4歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,2000.0,3008.0,3008.0,3008.0,3024.0,3024.0,3024.0,3040.0,3040.0,3040.0
2025-12-07,中山,２勝ｸﾗｽ,自己条件,15,ピコアーガイル,Justify,4,北村宏司,1200,良,1200.0,2.4,3.6,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中山,１勝ｸﾗｽ,自己条件,5,ピコテンダー,Justify,3,津村明秀,1200,良,1400.0,1.1,1.1,110.0,ダート,短距離,,距離短縮,右回り,3歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,2700.0,2791.8,2791.8,2791.8,2806.65,2806.65,2806.65,2821.5,2821.5,2821.5
2025-12-06,中京,中京日経･2勝,自己条件,2,アメリカンチケット,Justify,4,西塚洸二,1200,良,1200.0,3.2,10.3,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23,東京,１勝ｸﾗｽ・牝,自己条件,16,ウエヲムイテゴラン,Justify,4,北村宏司,1600,良,1400.0,2.9,4.6,390.0,ダート,短距離,,距離延長,左回り,4歳,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1000.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0
2025-11-22,京都,シトリン,OP,16,ハグ,Justify,3,高杉吏麒,1900,良,2000.0,2.6,5.2,0.0,ダート,中距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22,京都,２勝ｸﾗｽ,自己条件,14,ジョヴィアン,Justify,5,坂井瑠星,1400,良,1300.0,5.4,9.0,0.0,ダート,短距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-08,福島,飯坂温泉･2勝,自己条件,14,ピコアーガイル,Justify,4,丹内祐次,1200,良,1200.0,2.1,2.8,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,東京,ペルセウＨ,OP,12,ユティタム,Justify,5,横山和生,1600,重,1600.0,2.9,3.7,0.0,ダート,短距離,ダ道悪,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
