日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-08,中山,１勝ｸﾗｽ*,自己条件,10,ベリタバグス,Kantharos,2,黛弘人,1800,良,1700.0,1.1,1.4,110.0,ダート,中距離,,距離延長,右回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,600.0,620.4,620.4,620.4,623.7,623.7,623.7,627.0,627.0,627.0
2024-11-23,東京,シャング･3勝,自己条件,4,ラックスアットゼア,Kantharos,4,斎藤新,1400,稍,1400.0,5.6,8.6,0.0,ダート,短距離,ダ道悪,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,福島,未勝利*,未勝利,7,ベリタバグス,Kantharos,2,黛弘人,1700,良,1600.0,1.2,1.6,120.0,ダート,中距離,,距離延長,右回り,2歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,600.0,676.8,676.8,676.8,680.4,680.4,680.4,684.0,684.0,684.0
2024-11-16,東京,２勝ｸﾗｽ,自己条件,6,セントラルヴァレー,Kantharos,3,マーカン,1400,良,1300.0,1.6,2.2,170.0,ダート,短距離,,距離延長,左回り,3歳,159.8,159.8,159.8,160.65,160.65,160.65,161.5,161.5,161.5,400.0,639.2,639.2,639.2,642.6,642.6,642.6,646.0,646.0,646.0
2024-11-10,東京,銀嶺ＳＨ･3勝,自己条件,4,ラックスアットゼア,Kantharos,4,菅原明良,1400,良,1400.0,2.0,3.2,200.0,ダート,短距離,,,左回り,4歳,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,400.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-11-03,東京,２勝ｸﾗｽ,自己条件,12,セントラルヴァレー,Kantharos,3,大野拓弥,1300,重,1200.0,2.8,5.0,280.0,ダート,短距離,ダ道悪,距離延長,左回り,3歳,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,200.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
2024-10-27,東京,新馬,新馬,16,ベリタバグス,Kantharos,2,野中悠太,1600,良,,1.6,2.5,160.0,ダート,短距離,,,左回り,2歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,400.0,601.6,601.6,601.6,604.8,604.8,604.8,608.0,608.0,608.0
2024-10-13,東京,テレビ静･3勝,自己条件,12,ラックスアットゼア,Kantharos,4,斎藤新,1400,良,1600.0,3.2,4.6,0.0,ダート,短距離,,距離短縮,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-15,中山,浦安特別･2勝,自己条件,8,セントラルヴァレー,Kantharos,3,大野拓弥,1200,良,1600.0,2.5,4.0,0.0,ダート,短距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-23,東京,甲州街Ｈ･3勝,自己条件,3,ラックスアットゼア,Kantharos,4,内田博幸,1600,重,1400.0,3.5,4.8,0.0,ダート,短距離,ダ道悪,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
