日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-14,中山,カペラＳG3,重賞,14,ジャスパーゴールド,Khozan,7,菅原明良,1200,稍,1400.0,28.4,41.8,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23,東京,霜月Ｓ,OP,14,ジャスパーゴールド,Khozan,7,北村宏司,1400,良,1200.0,17.9,36.5,0.0,ダート,短距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-20,中山,バーレー,OP,4,ジャスパーロブスト,Khozan,4,丸山元気,1800,重,1800.0,1.5,2.1,160.0,ダート,中距離,ダ道悪,,右回り,4歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,1900.0,2857.6,2857.6,2857.6,2872.8,2872.8,2872.8,2888.0,2888.0,2888.0
2025-09-14,中山,ラジオ日,OP,2,ジャスパーゴールド,Khozan,7,松岡正海,1200,稍,1700.0,5.8,10.2,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-23,新潟,ＢＳＮ賞(L),OP,1,ジャスパーロブスト,Khozan,4,丸山元気,1800,良,1700.0,1.4,1.8,150.0,ダート,中距離,,距離延長,左回り,4歳,141.0,141.0,141.0,141.75,141.75,141.75,142.5,142.5,142.5,2000.0,2820.0,2820.0,2820.0,2835.0,2835.0,2835.0,2850.0,2850.0,2850.0
2025-07-19,函館,マリーンＨ,OP,11,ジャスパーゴールド,Khozan,7,横山和生,1700,良,1700.0,10.4,15.8,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-13,小倉,阿蘇Ｓ,OP,7,ジャスパーロブスト,Khozan,4,松山弘平,1700,良,1700.0,1.4,1.7,150.0,ダート,中距離,,,右回り,4歳,141.0,141.0,141.0,141.75,141.75,141.75,142.5,142.5,142.5,2000.0,2820.0,2820.0,2820.0,2835.0,2835.0,2835.0,2850.0,2850.0,2850.0
2025-07-06,函館,大沼Ｓ(L),OP,10,ジャスパーゴールド,Khozan,7,横山和生,1700,稍,1400.0,6.5,10.3,0.0,ダート,中距離,ダ道悪,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-29,福島,鶴ヶ城Ｓ･3勝,自己条件,13,ジャスパーロブスト,Khozan,4,丸山元気,1700,良,1600.0,1.2,1.5,140.0,ダート,中距離,,距離延長,右回り,4歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,2400.0,3158.4,3158.4,3158.4,3175.2,3175.2,3175.2,3192.0,3192.0,3192.0
2025-06-14,東京,夏至Ｓ･3勝,自己条件,7,ジャスパーロブスト,Khozan,4,丸山元気,1600,良,1800.0,2.0,2.9,270.0,ダート,短距離,,距離短縮,左回り,4歳,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,1400.0,3780.0,3780.0,3780.0,3780.0,3780.0,3780.0,3780.0,3780.0,3780.0
2025-05-24,東京,欅Ｓ,OP,7,ジャスパーゴールド,Khozan,7,菅原明良,1400,良,1200.0,7.7,20.7,0.0,ダート,短距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,中山,千葉ＳＨ,OP,6,ジャスパーゴールド,Khozan,7,松岡正海,1200,良,1200.0,4.2,6.6,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-19,中山,ジャニュ,OP,12,ジャスパーゴールド,Khozan,7,横山和生,1200,良,1400.0,18.0,32.8,2030.0,ダート,短距離,,距離短縮,右回り,5歳以上,3349.5,3451.0,3552.5,3349.5,3451.0,3552.5,3349.5,3451.0,3552.5,200.0,6699.0,6902.0,7105.0,6699.0,6902.0,7105.0,6699.0,6902.0,7105.0
