日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-14,京都,１勝ｸﾗｽ,自己条件,13,マテンロウタイム,Nyquist,3,横山典弘,1800,良,1900.0,3.5,10.9,0.0,ダート,中距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-07,中京,１勝ｸﾗｽ,自己条件,11,マテンロウタイム,Nyquist,3,横山典弘,1900,良,1800.0,2.3,3.6,0.0,ダート,中距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,京都,聚楽第特･2勝,自己条件,1,エアサンサーラ,Nyquist,3,幸英明,1800,良,1800.0,1.1,1.1,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-24,京都,１勝ｸﾗｽ,自己条件,8,マテンロウタイム,Nyquist,3,横山典弘,1800,良,1800.0,2.8,4.4,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,京都,１勝ｸﾗｽ,自己条件,8,マテンロウタイム,Nyquist,3,横山典弘,1800,良,1700.0,5.0,7.4,0.0,ダート,中距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,京都,１勝ｸﾗｽ,自己条件,4,エアサンサーラ,Nyquist,3,岩田望来,1800,不,1800.0,1.6,2.3,160.0,ダート,中距離,ダ道悪,,右回り,3歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,300.0,451.2,451.2,451.2,453.6,453.6,453.6,456.0,456.0,456.0
2024-10-27,東京,新馬,新馬,14,エンジェルラダー,Nyquist,2,ルメール,1600,良,,1.1,1.4,110.0,ダート,短距離,,,左回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,500.0,517.0,517.0,517.0,519.75,519.75,519.75,522.5,522.5,522.5
2024-10-20,京都,１勝ｸﾗｽ,自己条件,8,エアサンサーラ,Nyquist,3,松山弘平,1800,稍,1800.0,1.0,3.7,100.0,ダート,中距離,ダ道悪,,右回り,3歳,94.0,94.0,94.0,94.5,94.5,94.5,95.0,95.0,95.0,500.0,470.0,470.0,470.0,472.5,472.5,472.5,475.0,475.0,475.0
2024-10-14,東京,新馬,新馬,13,マリエ,Nyquist,2,武豊,1400,良,,2.1,2.9,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-06,小倉,未勝利,未勝利,3,マテンロウタイム,Nyquist,3,横山典弘,1700,良,1400.0,2.3,3.3,280.0,ダート,中距離,,距離延長,右回り,3歳,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,200.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
2024-06-22,京都,１勝ｸﾗｽ,自己条件,13,エアサンサーラ,Nyquist,3,坂井瑠星,1800,稍,1800.0,1.5,2.3,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-16,京都,未勝利,未勝利,5,マテンロウタイム,Nyquist,3,横山典弘,1400,稍,1800.0,2.8,3.8,300.0,ダート,短距離,ダ道悪,距離短縮,右回り,3歳,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,200.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
2024-03-02,阪神,未勝利,未勝利,7,エアサンサーラ,Nyquist,3,ムルザバ,1800,重,1800.0,1.1,1.4,140.0,ダート,中距離,ダ道悪,,右回り,3歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,500.0,658.0,658.0,658.0,661.5,661.5,661.5,665.0,665.0,665.0
2024-02-03,京都,新馬,新馬,8,エアサンサーラ,Nyquist,3,岩田望来,1800,良,,2.1,2.9,280.0,ダート,中距離,,,右回り,3歳,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,200.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
2024-01-07,京都,未勝利,未勝利,3,マテンロウタイム,Nyquist,3,横山典弘,1800,良,1800.0,4.1,6.3,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
