日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-11-27,阪神,２勝ｸﾗｽ,自己条件,11,サトノジヴェルニー,Siyouni,4,小沢大仁,1200,良,1200.0,3.9,6.0,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-30,新潟,清津峡特･2勝,自己条件,9,サトノジヴェルニー,Siyouni,4,富田暁,1200,良,1200.0,1.7,2.2,0.0,芝,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-10,新潟,妙高特Ｈ･2勝,自己条件,10,カーンテソーロ,Siyouni,5,亀田温心,1200,良,1000.0,8.6,12.5,0.0,ダート,短距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-05,新潟,飯豊特別･2勝,自己条件,6,サトノジヴェルニー,Siyouni,4,岩田望来,1200,良,1200.0,2.1,3.1,0.0,芝,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15,札幌,２勝ｸﾗｽ,自己条件,3,カーンテソーロ,Siyouni,5,亀田温心,1000,良,1200.0,12.8,20.5,0.0,ダート,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-08,函館,潮騒特別･2勝,自己条件,11,サトノジヴェルニー,Siyouni,4,坂井瑠星,1200,良,1200.0,1.8,2.2,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-25,函館,立待岬特･2勝,自己条件,9,ヴィズサクセス,Siyouni,4,大野拓弥,1200,良,1200.0,1.5,2.0,160.0,芝,短距離,,,右回り,4歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,900.0,1353.6,1353.6,1353.6,1360.8,1360.8,1360.8,1368.0,1368.0,1368.0
2021-07-18,函館,湯の川温･2勝,自己条件,12,サトノジヴェルニー,Siyouni,4,坂井瑠星,1200,良,1200.0,1.4,2.0,170.0,芝,短距離,,,右回り,4歳,159.8,159.8,159.8,160.65,160.65,160.65,161.5,161.5,161.5,900.0,1438.2,1438.2,1438.2,1445.85,1445.85,1445.85,1453.5,1453.5,1453.5
2021-07-10,函館,下北半島･1勝,自己条件,1,ヴィズサクセス,Siyouni,4,大野拓弥,1200,稍,1200.0,1.2,1.5,130.0,芝,短距離,芝道悪,,右回り,4歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,1100.0,1344.2,1344.2,1344.2,1351.35,1351.35,1351.35,1358.5,1358.5,1358.5
2021-07-04,函館,ＨＴＢ杯･2勝,自己条件,8,サトノジヴェルニー,Siyouni,4,坂井瑠星,1200,良,1200.0,1.4,2.1,140.0,芝,短距離,,,右回り,4歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,900.0,1184.4,1184.4,1184.4,1190.7,1190.7,1190.7,1197.0,1197.0,1197.0
