日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-21,中山,障害未勝利,未勝利,1,コスモアミマネラ,Study of Man,4,小坂忠士,2880,重,2200.0,16.9,25.2,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,京都,黄菊賞･1勝*,自己条件,1,キッコベッロ,Study of Man,2,レーン,2000,良,1800.0,1.1,1.1,0.0,芝,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-02,京都,１勝ｸﾗｽ,自己条件,12,コスモアミマネラ,Study of Man,4,杉原誠人,2200,良,2000.0,23.2,33.6,0.0,芝,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26,京都,萩Ｓ(L),OP,2,キッコベッロ,Study of Man,2,川田将雅,1800,稍,1800.0,1.1,1.1,110.0,芝,中距離,芝道悪,,右回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,2100.0,2171.4,2171.4,2171.4,2182.95,2182.95,2182.95,2194.5,2194.5,2194.5
2025-09-07,阪神,新馬,新馬,4,キッコベッロ,Study of Man,2,川田将雅,1800,良,,1.1,2.6,110.0,芝,中距離,,,右回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,2100.0,2171.4,2171.4,2171.4,2182.95,2182.95,2182.95,2194.5,2194.5,2194.5
2025-07-12,福島,１勝ｸﾗｽ,自己条件,5,コスモアミマネラ,Study of Man,4,石神深道,2000,良,2400.0,2.4,3.8,0.0,芝,中距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-19,阪神,１勝ｸﾗｽ,自己条件,7,コスモアミマネラ,Study of Man,4,田口貫太,2400,良,2400.0,1.7,2.9,0.0,芝,長距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,阪神,１勝ｸﾗｽ,自己条件,3,コスモアミマネラ,Study of Man,4,田口貫太,2400,良,2200.0,4.9,10.7,640.0,芝,長距離,,距離延長,右回り,4歳,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,500.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0
2025-03-02,阪神,淡路特別･2勝,自己条件,3,コスモアミマネラ,Study of Man,4,田口貫太,2200,良,2600.0,5.8,21.0,0.0,芝,中距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-15,京都,新馬,新馬,9,マテンロウハピネス,Study of Man,3,太宰啓介,1200,良,,4.6,10.0,0.0,ダート,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-08,小倉,足立山特･1勝,自己条件,3,コスモアミマネラ,Study of Man,4,杉原誠人,2600,稍,2600.0,3.5,5.2,0.0,芝,長距離,芝道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-25,小倉,１勝ｸﾗｽ,自己条件,7,コスモアミマネラ,Study of Man,4,斎藤新,2600,良,2400.0,22.3,31.9,0.0,芝,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
