日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-28,中山,コントレ･2勝,自己条件,15,ホウキボシ,Zoustar,4,佐々木大,1800,良,1800.0,1.6,2.3,190.0,ダート,中距離,,,右回り,4歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,1600.0,2857.6,2857.6,2857.6,2872.8,2872.8,2872.8,2888.0,2888.0,2888.0
2024-12-08,中京,知立Ｓ･3勝,自己条件,12,スリーアイランド,Zoustar,4,ドイル,1200,良,1200.0,1.3,1.8,130.0,芝,短距離,,,左回り,4歳,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,1900.0,2321.8,2321.8,2321.8,2334.15,2334.15,2334.15,2346.5,2346.5,2346.5
2024-12-07,中山,２勝ｸﾗｽ,自己条件,13,ホウキボシ,Zoustar,4,原優介,1800,良,1600.0,1.9,2.7,190.0,ダート,中距離,,距離延長,右回り,4歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,1300.0,2321.8,2321.8,2321.8,2334.15,2334.15,2334.15,2346.5,2346.5,2346.5
2024-11-16,福島,キビタＨ･3勝,自己条件,11,スリーアイランド,Zoustar,4,ドイル,1200,良,1200.0,2.3,3.1,260.0,芝,短距離,,,右回り,4歳,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,1100.0,2860.0,2860.0,2860.0,2860.0,2860.0,2860.0,2860.0,2860.0,2860.0
2024-11-10,東京,１勝ｸﾗｽ,自己条件,11,ホウキボシ,Zoustar,4,佐々木大,1600,良,1600.0,2.6,4.4,420.0,ダート,短距離,,,左回り,4歳,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,1000.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
2024-09-08,中山,セプテＨ･3勝,自己条件,1,スリーアイランド,Zoustar,4,佐々木大,1200,良,1000.0,1.8,2.2,0.0,芝,短距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-11,新潟,稲妻Ｓ･3勝,自己条件,14,スリーアイランド,Zoustar,4,佐々木大,1000,良,1200.0,2.3,3.2,230.0,芝,短距離,,距離短縮,左回り,4歳,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,1100.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0
2024-07-28,札幌,未勝利,未勝利,2,ズーキャンベラ,Zoustar,3,佐々木大,1000,不,1200.0,25.0,36.0,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-21,札幌,未勝利,未勝利,4,リーサムギニー,Zoustar,3,横山和生,1200,良,1200.0,4.6,7.1,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-30,函館,未勝利,未勝利,4,リーサムギニー,Zoustar,3,藤岡佑介,1200,良,1200.0,4.0,5.9,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
