日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2023-11-18,福島,西郷特別･2勝,自己条件,8,アイファースキャン,アイファーソング,3,藤田菜七,1150,重,,2.0,2.5,0.0,ダート,短距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-12,福島,福島放送･2勝,自己条件,3,アイファーテイオー,アイファーソング,3,藤懸貴志,1700,良,,1.5,2.0,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-05,福島,１勝ｸﾗｽ,自己条件,7,アイファースキャン,アイファーソング,3,藤田菜七,1150,良,,1.1,1.3,120.0,ダート,短距離,,,右回り,3歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,6900.0,7783.2,7783.2,7783.2,7824.6,7824.6,7824.6,7866.0,7866.0,7866.0
2023-10-15,新潟,菅名岳特･2勝,自己条件,12,アイファーテイオー,アイファーソング,3,藤懸貴志,1800,稍,,1.5,4.9,150.0,ダート,中距離,ダ道悪,,左回り,3歳,141.0,141.0,141.0,141.75,141.75,141.75,142.5,142.5,142.5,5100.0,7191.0,7191.0,7191.0,7229.25,7229.25,7229.25,7267.5,7267.5,7267.5
2023-10-15,新潟,１勝ｸﾗｽ,自己条件,3,アイファースキャン,アイファーソング,3,藤田菜七,1200,稍,,2.1,2.9,260.0,ダート,短距離,ダ道悪,,左回り,3歳,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,3600.0,9360.0,9360.0,9360.0,9360.0,9360.0,9360.0,9360.0,9360.0,9360.0
2023-10-14,新潟,障害未勝利,未勝利,2,アイファーヴァンズ,アイファーソング,4,金子光希,2850,良,,25.3,46.2,0.0,障害,長距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-14,東京,１勝ｸﾗｽ,自己条件,1,チャコワールド,アイファーソング,4,野中悠太,1600,良,,71.5,117.5,0.0,芝,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,中山,１勝ｸﾗｽ,自己条件,10,チャコワールド,アイファーソング,4,丸山元気,1200,良,,33.8,60.0,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-18,中山,障害未勝利,未勝利,11,アイファーヴァンズ,アイファーソング,4,大江原圭,2880,良,,21.2,37.8,0.0,障害,長距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-16,中山,１勝ｸﾗｽ・牝,自己条件,15,アイファーマオ,アイファーソング,4,野中悠太,1200,良,,34.3,60.9,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
