日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2023-12-28,中山,１勝ｸﾗｽ,自己条件,8,コスモエクスプレス,エイシンヒカリ,4,モリス,1800,良,1800.0,7.7,13.3,0.0,芝,中距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-28,阪神,新馬,新馬,10,メイショウヨスガラ,エイシンヒカリ,2,河原田菜,1800,良,,14.0,26.3,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,中山,未勝利*,未勝利,2,ポリトナリティー,エイシンヒカリ,2,柴田大知,1200,良,1600.0,11.6,29.6,0.0,芝,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,中山,未勝利*,未勝利,11,コウユーユメノヨウ,エイシンヒカリ,2,木幡初也,1200,良,1200.0,2.8,6.5,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,阪神,サンタク･3勝,自己条件,7,ウインスノーライト,エイシンヒカリ,3,長岡禎仁,2000,良,2000.0,1.7,2.1,0.0,芝,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,キャンド･2勝,自己条件,5,ハピネスアゲン,エイシンヒカリ,4,江田照男,1200,良,,1.6,2.0,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,１勝ｸﾗｽ,自己条件,16,ピカリエ,エイシンヒカリ,4,伊藤工真,1200,良,,1.5,2.0,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,阪神,阪神カッG2,重賞,9,エイシンスポッター,エイシンヒカリ,4,角田大河,1400,良,,8.0,12.5,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,阪神,フューチG1,重賞,11,タイキヴァンクール,エイシンヒカリ,2,浜中俊,1600,良,,19.4,33.9,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,阪神,フューチG1,重賞,15,エンヤラヴフェイス,エイシンヒカリ,2,幸英明,1600,良,,4.3,7.2,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-16,中京,１勝ｸﾗｽ,自己条件,9,ネイロン,エイシンヒカリ,3,今村聖奈,1800,重,,2.3,3.3,0.0,ダート,中距離,ダ道悪,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-16,中山,舞浜特別･2勝,自己条件,13,エイシンケプラー,エイシンヒカリ,3,津村明秀,1200,稍,,11.4,15.5,1280.0,ダート,短距離,ダ道悪,,右回り,3歳,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,800.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0
2023-12-16,阪神,境港特別･2勝,自己条件,4,エンツォウーノ,エイシンヒカリ,3,岩田康誠,2000,稍,,1.3,2.0,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-16,阪神,１勝ｸﾗｽ,自己条件,16,アイヴォリーアイ,エイシンヒカリ,5,亀田温心,1200,稍,,13.7,22.1,0.0,ダート,短距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-10,中京,知立Ｓ･3勝,自己条件,1,タツリュウオー,エイシンヒカリ,5,荻野極,1200,良,,2.9,4.8,0.0,芝,短距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,阪神,１勝ｸﾗｽ,自己条件,8,スナークシュンソウ,エイシンヒカリ,5,小崎綾也,1400,良,,2.5,4.7,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,阪神,２勝ｸﾗｽ,自己条件,1,クラリティスケール,エイシンヒカリ,4,田口貫太,1200,良,,8.5,15.6,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-02,中山,２勝ｸﾗｽ,自己条件,13,ハピネスアゲン,エイシンヒカリ,4,江田照男,1200,良,,2.0,2.9,260.0,芝,短距離,,,右回り,4歳,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,4700.0,12220.0,12220.0,12220.0,12220.0,12220.0,12220.0,12220.0,12220.0,12220.0
2023-12-02,中山,２勝ｸﾗｽ,自己条件,16,エイシンケプラー,エイシンヒカリ,3,荻野極,1200,良,,22.6,34.8,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-02,中山,１勝ｸﾗｽ,自己条件,6,ピカリエ,エイシンヒカリ,4,伊藤工真,1200,良,,1.3,1.7,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-02,中山,１勝ｸﾗｽ,自己条件,13,エイシンエマーユ,エイシンヒカリ,3,丹内祐次,1200,良,,1.9,2.7,0.0,ダート,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-02,中山,新馬,新馬,6,コウユーユメノヨウ,エイシンヒカリ,2,木幡初也,1200,良,,15.7,23.4,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-02,阪神,１勝ｸﾗｽ・牝,自己条件,9,アイヴォリーアイ,エイシンヒカリ,5,団野大成,1200,良,,3.8,5.9,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-26,東京,アプロー･2勝,自己条件,9,ララエフォール,エイシンヒカリ,4,Ｍ．デム,1600,良,,1.7,2.7,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-26,京都,京阪杯G3,重賞,6,エイシンスポッター,エイシンヒカリ,4,角田大河,1200,良,,2.8,3.9,290.0,芝,短距離,,,右回り,4歳,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,3400.0,9860.0,9860.0,9860.0,9860.0,9860.0,9860.0,9860.0,9860.0,9860.0
2023-11-19,東京,秋色Ｓ･3勝,自己条件,4,ニシノライコウ,エイシンヒカリ,3,永野猛蔵,1600,良,,1.5,3.6,0.0,芝,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-19,京都,近江特Ｈ･2勝,自己条件,4,ウインスノーライト,エイシンヒカリ,3,長岡禎仁,2000,良,,1.9,2.6,210.0,芝,中距離,,,右回り,3歳,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,4900.0,10290.0,10290.0,10290.0,10290.0,10290.0,10290.0,10290.0,10290.0,10290.0
2023-11-12,東京,２勝ｸﾗｽ,自己条件,8,クラリティスケール,エイシンヒカリ,4,原優介,1300,良,,13.5,20.1,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-11,福島,飯坂温泉･2勝,自己条件,14,ハピネスアゲン,エイシンヒカリ,4,勝浦正樹,1200,良,,2.1,2.7,230.0,芝,短距離,,,右回り,4歳,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,4500.0,10350.0,10350.0,10350.0,10350.0,10350.0,10350.0,10350.0,10350.0,10350.0
2023-11-11,京都,デイリーG2,重賞,10,エンヤラヴフェイス,エイシンヒカリ,2,幸英明,1600,稍,,4.2,6.0,500.0,芝,短距離,芝道悪,,右回り,2歳,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,2200.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0
2023-11-04,福島,新馬,新馬,13,シバノテンテン,エイシンヒカリ,2,小林凌大,1200,良,,8.3,13.0,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-04,京都,１勝ｸﾗｽ,自己条件,8,モズタンジロウ,エイシンヒカリ,4,幸英明,1800,良,,4.6,17.4,0.0,ダート,中距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-22,新潟,１勝ｸﾗｽ,自己条件,7,ミニョンルミエール,エイシンヒカリ,4,柴田大知,1800,稍,,3.3,5.8,0.0,ダート,中距離,ダ道悪,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-22,東京,２勝ｸﾗｽ,自己条件,3,ララエフォール,エイシンヒカリ,4,菅原明良,1600,良,,1.7,2.3,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
