日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-07,中山,２勝ｸﾗｽ,自己条件,2,デフィニティーボ,エピカリス,3,横山和生,1800,良,1800.0,2.0,2.7,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,福島,未勝利・牝*,未勝利,12,クレベール,エピカリス,2,西塚洸二,1700,良,1400.0,7.7,12.2,0.0,ダート,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,福島,未勝利*,未勝利,12,リュウノヒルド,エピカリス,2,荻野極,1150,良,1000.0,1.6,2.7,0.0,ダート,短距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,京都,新馬,新馬,12,アバヨナミダ,エピカリス,2,永島まな,1800,良,,6.0,9.9,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-19,新潟,未勝利*,未勝利,8,リュウノヒルド,エピカリス,2,佐々木大,1000,良,1400.0,1.4,2.3,0.0,芝,短距離,,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-06,東京,１勝ｸﾗｽ・牝,自己条件,9,グラスブランシュ,エピカリス,3,木幡巧也,1400,重,1200.0,4.9,13.8,0.0,ダート,短距離,ダ道悪,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29,中山,２勝ｸﾗｽ,自己条件,5,デフィニティーボ,エピカリス,3,横山和生,1800,良,1800.0,2.3,3.4,230.0,ダート,中距離,,,右回り,3歳,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,4300.0,9890.0,9890.0,9890.0,9890.0,9890.0,9890.0,9890.0,9890.0,9890.0
2024-09-22,中京,新馬・牝,新馬,6,クレベール,エピカリス,2,坂井瑠星,1400,良,,4.0,11.0,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,中山,１勝ｸﾗｽ,自己条件,2,グラスブランシュ,エピカリス,3,木幡巧也,1200,良,1200.0,3.9,6.3,0.0,ダート,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-15,中山,１勝ｸﾗｽ,自己条件,11,デフィニティーボ,エピカリス,3,横山和生,1800,良,1800.0,2.0,2.6,200.0,ダート,中距離,,,右回り,3歳,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,4900.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0
