日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-19,中山,北総Ｓ･3勝,自己条件,7,デルマオニキス,オンファイア,4,横山和生,1800,稍,1800.0,1.9,2.6,0.0,ダート,中距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,中山,未勝利*,未勝利,5,デルマドワーフ,オンファイア,2,菊沢一樹,1800,重,1800.0,24.6,41.3,0.0,ダート,中距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,中山,市川ＳＨ･3勝,自己条件,12,デルマオニキス,オンファイア,4,横山和生,1800,良,1800.0,1.7,2.3,0.0,ダート,中距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-20,福島,１勝ｸﾗｽ,自己条件,10,デルマタモン,オンファイア,3,横山和生,1700,良,1700.0,1.2,1.6,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,東京,１勝ｸﾗｽ,自己条件,11,デンセツノマジョ,オンファイア,6,永野猛蔵,1600,稍,1800.0,4.0,8.6,0.0,ダート,短距離,ダ道悪,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-26,中山,内房ＳＨ･3勝,自己条件,13,デルマオニキス,オンファイア,4,横山和生,1800,良,1700.0,2.3,3.3,0.0,ダート,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-19,中山,１勝ｸﾗｽ・牝,自己条件,15,デンセツノマジョ,オンファイア,6,菊沢一樹,1800,良,1800.0,13.5,20.5,0.0,芝,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-11,中山,未勝利*,未勝利,5,デルマドワーフ,オンファイア,2,菊沢一樹,1800,稍,1700.0,23.4,36.4,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-28,札幌,ニセコ特･1勝,自己条件,8,デルマタモン,オンファイア,3,横山和生,1700,良,1700.0,1.3,1.8,140.0,ダート,中距離,,,右回り,3歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,4900.0,6448.4,6448.4,6448.4,6482.7,6482.7,6482.7,6517.0,6517.0,6517.0
2021-08-21,札幌,未勝利*,未勝利,4,デルマドワーフ,オンファイア,2,菊沢一樹,1700,良,1800.0,28.6,48.5,0.0,ダート,中距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-08,函館,新馬,新馬,5,デルマドワーフ,オンファイア,2,菊沢一樹,1800,良,,23.7,102.1,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,函館,１勝ｸﾗｽ・牝,自己条件,8,デンセツノマジョ,オンファイア,6,菊沢一樹,1800,良,1800.0,4.4,6.8,0.0,芝,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-31,函館,未勝利,未勝利,9,デルマタモン,オンファイア,3,横山和生,1700,良,1700.0,1.1,1.1,110.0,ダート,中距離,,,右回り,3歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,5800.0,5997.2,5997.2,5997.2,6029.1,6029.1,6029.1,6061.0,6061.0,6061.0
2021-07-25,函館,ＵＨＢＨ･3勝,自己条件,8,デルマオニキス,オンファイア,4,横山和生,1700,良,1800.0,5.1,8.7,0.0,ダート,中距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,函館,恵山特別･1勝,自己条件,4,デンセツノマジョ,オンファイア,6,菊沢一樹,1800,良,1800.0,3.6,11.8,0.0,芝,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-10,函館,未勝利,未勝利,10,デルマタモン,オンファイア,3,横山和生,1700,良,1800.0,1.2,1.9,140.0,ダート,中距離,,距離短縮,右回り,3歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,5400.0,7106.4,7106.4,7106.4,7144.2,7144.2,7144.2,7182.0,7182.0,7182.0
2021-05-08,新潟,未勝利,未勝利,14,デルマタモン,オンファイア,3,横山和生,1800,良,1800.0,1.1,1.4,0.0,ダート,中距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,新潟,１勝ｸﾗｽ・牝,自己条件,3,デンセツノマジョ,オンファイア,6,小林脩斗,1800,重,1800.0,1.7,2.4,0.0,芝,中距離,芝道悪,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24,東京,未勝利・牝,未勝利,13,デルマセンジュ,オンファイア,3,横山琉人,1600,良,1800.0,64.3,141.4,0.0,ダート,短距離,,距離短縮,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,新潟,１勝ｸﾗｽ・牝,自己条件,4,デンセツノマジョ,オンファイア,6,菊沢一樹,1800,不,1600.0,4.0,5.8,0.0,ダート,中距離,ダ道悪,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,阪神,梅田Ｓ･3勝,自己条件,12,デルマオニキス,オンファイア,4,横山和生,1800,良,1800.0,2.1,3.9,0.0,ダート,中距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-10,中山,未勝利,未勝利,1,デルマタモン,オンファイア,3,横山和生,1800,良,1800.0,1.1,2.3,110.0,ダート,中距離,,,右回り,3歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,5800.0,5997.2,5997.2,5997.2,6029.1,6029.1,6029.1,6061.0,6061.0,6061.0
2021-03-20,中山,韓国馬事･3勝,自己条件,8,デルマオニキス,オンファイア,4,横山和生,1800,良,1800.0,2.8,4.0,330.0,ダート,中距離,,,右回り,4歳,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2300.0,7590.0,7590.0,7590.0,7590.0,7590.0,7590.0,7590.0,7590.0,7590.0
2021-03-14,中山,未勝利,未勝利,10,デルマタモン,オンファイア,3,横山和生,1800,不,1600.0,1.8,3.5,260.0,ダート,中距離,ダ道悪,距離延長,右回り,3歳,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,3600.0,9360.0,9360.0,9360.0,9360.0,9360.0,9360.0,9360.0,9360.0,9360.0
2021-03-06,中山,未勝利,未勝利,14,デルマセンジュ,オンファイア,3,田中勝春,1800,稍,2000.0,36.7,70.5,0.0,芝,中距離,芝道悪,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,東京,未勝利,未勝利,10,デルマタモン,オンファイア,3,北村宏司,1600,良,1800.0,13.4,20.4,0.0,ダート,短距離,,距離短縮,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-13,東京,１勝ｸﾗｽ・牝,自己条件,10,デンセツノマジョ,オンファイア,6,横山武史,1600,良,1600.0,3.0,4.2,0.0,ダート,短距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,中山,新馬,新馬,2,デルマセンジュ,オンファイア,3,横山和生,2000,良,,25.1,45.6,0.0,芝,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
