日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-28,中山,未勝利*,未勝利,11,シエリナロッジ,クロフネ,2,藤田菜七,1200,良,1800.0,27.1,55.4,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,ベテルギ(L),OP,8,リッターシュラーク,クロフネ,4,宮崎北斗,1800,良,2100.0,11.0,16.2,0.0,ダート,中距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,未勝利*,未勝利,6,ブリヨンカズマ,クロフネ,2,坂井瑠星,1800,良,1800.0,3.7,9.4,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,中山,フェアウ･3勝,自己条件,10,メイショウコゴミ,クロフネ,6,横山和生,1200,良,1200.0,15.0,23.6,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,中山,未勝利*,未勝利,8,トモジャワールド,クロフネ,2,戸崎圭太,1800,良,1800.0,1.1,1.1,110.0,ダート,中距離,,,右回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,6600.0,6824.4,6824.4,6824.4,6860.7,6860.7,6860.7,6897.0,6897.0,6897.0
2021-12-26,阪神,障害未勝利,未勝利,10,ヒルノアローザ,クロフネ,3,高田潤,2970,良,2970.0,7.3,13.0,730.0,障害,長距離,,,右回り,3歳,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,1000.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0
2021-12-26,阪神,新馬,新馬,4,サンゴ,クロフネ,2,吉田隼人,1800,良,,1.6,2.4,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,阪神,未勝利*,未勝利,4,ダンツクルーガー,クロフネ,2,角田大和,1800,良,1800.0,20.2,35.5,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,１勝ｸﾗｽ,自己条件,16,トミケンプロズバ,クロフネ,5,武士沢友,1200,稍,1200.0,50.4,87.9,0.0,ダート,短距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,阪神,摩耶Ｓ･3勝,自己条件,6,ペイシャノリッジ,クロフネ,4,坂井瑠星,1800,良,1700.0,3.4,14.2,0.0,ダート,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
