日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-20,阪神,２勝ｸﾗｽ,自己条件,15,モズトキキ,グランプリボス,4,和田陽希,1200,良,1400.0,25.2,38.6,0.0,芝,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-07,阪神,２勝ｸﾗｽ,自己条件,5,モズアンタレス,グランプリボス,5,Ｍ．デム,1400,良,1400.0,4.5,6.5,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,福島,福島民友(L),OP,5,モズミギカタアガリ,グランプリボス,4,高杉吏麒,1700,良,1400.0,2.8,4.1,0.0,ダート,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,福島,障害未勝利,未勝利,11,モズクルードラゴン,グランプリボス,6,水沼元輝,2750,良,3000.0,16.7,27.6,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,京都,２勝ｸﾗｽ,自己条件,1,モズアンタレス,グランプリボス,5,和田竜二,1400,良,1400.0,13.8,25.8,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-02,京都,２勝ｸﾗｽ,自己条件,5,モズアンタレス,グランプリボス,5,和田竜二,1400,良,1400.0,8.9,12.3,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26,東京,神無月Ｓ,OP,4,モズミギカタアガリ,グランプリボス,4,津村明秀,1400,不,1400.0,2.1,3.3,0.0,ダート,短距離,ダ道悪,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-06,阪神,エニフＨ(L),OP,9,モズミギカタアガリ,グランプリボス,4,高杉吏麒,1400,稍,1800.0,1.6,2.7,160.0,ダート,短距離,ダ道悪,距離短縮,右回り,4歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,2400.0,3609.6,3609.6,3609.6,3628.8,3628.8,3628.8,3648.0,3648.0,3648.0
2025-08-24,中京,障害未勝利,未勝利,11,モズクルードラゴン,グランプリボス,6,井上敏樹,3000,良,2770.0,21.5,40.5,0.0,障害,長距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-23,新潟,ＢＳＮ賞(L),OP,3,モズミギカタアガリ,グランプリボス,4,津村明秀,1800,良,1700.0,2.5,3.5,0.0,ダート,中距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20,福島,障害未勝利,未勝利,14,モズクルードラゴン,グランプリボス,6,井上敏樹,2770,良,1400.0,31.1,48.1,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-13,小倉,阿蘇Ｓ,OP,9,モズミギカタアガリ,グランプリボス,4,高杉吏麒,1700,良,1400.0,2.1,2.9,0.0,ダート,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-21,阪神,天保山Ｓ,OP,10,モズミギカタアガリ,グランプリボス,4,高杉吏麒,1400,良,1600.0,3.5,4.8,390.0,ダート,短距離,,距離短縮,右回り,4歳,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1100.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0
2025-05-31,京都,２勝ｸﾗｽ,自己条件,6,モズアンタレス,グランプリボス,5,和田竜二,1400,良,1200.0,2.3,3.9,0.0,芝,短距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-31,京都,２勝ｸﾗｽ,自己条件,1,モズトキキ,グランプリボス,4,永島まな,1400,良,1200.0,6.3,11.0,0.0,芝,短距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-17,京都,２勝ｸﾗｽ,自己条件,6,モズアンタレス,グランプリボス,5,幸英明,1200,不,1400.0,2.3,3.6,0.0,芝,短距離,芝道悪,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-27,東京,オアシＨ(L),OP,11,モズミギカタアガリ,グランプリボス,4,酒井学,1600,稍,1400.0,3.2,4.4,0.0,ダート,短距離,ダ道悪,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-19,阪神,丹波特Ｈ･2勝,自己条件,9,モズアンタレス,グランプリボス,5,幸英明,1400,良,1400.0,6.1,9.9,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,阪神,１勝ｸﾗｽ,自己条件,1,モズミツボシ,グランプリボス,6,浜中俊,1800,良,1800.0,18.2,29.9,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-22,中京,熱田特別･2勝,自己条件,6,モズアンタレス,グランプリボス,5,北村友一,1400,良,1400.0,3.4,5.7,0.0,芝,短距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,阪神,コーラル(L),OP,1,モズミギカタアガリ,グランプリボス,4,松山弘平,1400,良,1400.0,1.6,2.3,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,阪神,１勝ｸﾗｽ,自己条件,2,モズミツボシ,グランプリボス,6,和田竜二,1800,良,2000.0,2.4,14.6,0.0,ダート,中距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,東京,バレンタ,OP,13,モズミギカタアガリ,グランプリボス,4,松岡正海,1400,良,1400.0,3.1,5.6,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,小倉,大濠特Ｈ･2勝,自己条件,2,モズトキキ,グランプリボス,4,古川奈穂,1200,良,1200.0,3.1,4.5,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
