日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-21,中山,北総Ｓ･3勝,自己条件,13,ヴァナルガンド,シビルウォー,5,横山和生,1800,重,2100.0,1.7,2.6,0.0,ダート,中距離,ダ道悪,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29,東京,２勝ｸﾗｽ,自己条件,9,ヴァナルガンド,シビルウォー,5,ルメール,2100,良,1800.0,1.3,1.6,130.0,ダート,中距離,,距離延長,左回り,5歳以上,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,1200.0,1466.4,1466.4,1466.4,1474.2,1474.2,1474.2,1482.0,1482.0,1482.0
2025-11-22,福島,障害・オープ,OP,10,パープルアドミラル,シビルウォー,5,金子光希,3380,良,3100.0,5.6,13.3,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-04,東京,障害・オープ,OP,4,パープルアドミラル,シビルウォー,5,大江原圭,3100,良,3330.0,2.1,3.5,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-31,新潟,両津湾特･2勝,自己条件,5,ヴァナルガンド,シビルウォー,5,ルメール,1800,良,1800.0,1.1,1.1,110.0,ダート,中距離,,,左回り,5歳以上,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,1400.0,1447.6,1447.6,1447.6,1455.3,1455.3,1455.3,1463.0,1463.0,1463.0
2025-08-23,中京,障害・オープ,OP,1,パープルアドミラル,シビルウォー,5,金子光希,3330,良,3380.0,5.5,11.6,880.0,障害,長距離,,距離短縮,左回り,5歳以上,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,300.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0
2025-08-02,新潟,苗場特別･2勝,自己条件,2,ヴァナルガンド,シビルウォー,5,ルメール,1800,良,1800.0,1.3,1.6,130.0,ダート,中距離,,,左回り,5歳以上,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,1200.0,1466.4,1466.4,1466.4,1474.2,1474.2,1474.2,1482.0,1482.0,1482.0
2025-07-19,福島,障害・オープ,OP,6,パープルアドミラル,シビルウォー,5,上野翔,3380,良,2890.0,2.6,4.3,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-10,新潟,障害・オープ,OP,1,パープルアドミラル,シビルウォー,5,上野翔,2890,稍,3140.0,15.5,45.2,0.0,障害,長距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,中山,２勝ｸﾗｽ,自己条件,13,ヴァナルガンド,シビルウォー,5,戸崎圭太,1800,稍,1800.0,1.4,2.1,0.0,ダート,中距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,阪神,三木ホー,OP,10,パープルアドミラル,シビルウォー,5,上野翔,3140,良,3390.0,11.5,20.9,0.0,芝,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-22,小倉,障害・オープ,OP,6,パープルアドミラル,シビルウォー,5,金子光希,3390,良,2770.0,14.7,27.6,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
