日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2023-12-28,中山,未勝利*,未勝利,6,ヴェルディッキオ,スクリーンヒーロー,2,丹内祐次,1800,良,1800.0,48.2,86.4,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-28,阪神,ベテルギ(L),OP,13,ヒロイックテイル,スクリーンヒーロー,6,酒井学,1800,良,2100.0,13.0,27.9,0.0,ダート,中距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,中山,有馬記念G1,重賞,12,ウインマリリン,スクリーンヒーロー,6,モリス,2500,良,2000.0,22.6,33.6,0.0,芝,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,中山,未勝利*,未勝利,13,ミレニアムヒロイン,スクリーンヒーロー,2,丹内祐次,2000,良,1600.0,31.2,168.3,0.0,芝,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,阪神,障害未勝利,未勝利,11,ゴールドパラディン,スクリーンヒーロー,6,森一馬,2970,良,2970.0,1.1,1.4,110.0,障害,長距離,,,右回り,5歳以上,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,6100.0,6307.4,6307.4,6307.4,6340.95,6340.95,6340.95,6374.5,6374.5,6374.5
2023-12-23,阪神,阪神カッG2,重賞,17,ウイングレイテスト,スクリーンヒーロー,6,松岡正海,1400,良,,3.6,5.4,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,阪神,未勝利・牝*,未勝利,2,ヒロインズクレスト,スクリーンヒーロー,2,泉谷楓真,1800,良,,8.1,13.0,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,阪神,六甲アＨ･3勝,自己条件,7,ブルーシンフォニー,スクリーンヒーロー,5,マーカン,1400,良,,2.6,5.5,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,中京,１勝ｸﾗｽ・若,自己条件,1,フィルムアクトレス,スクリーンヒーロー,3,角田大河,1400,稍,,1.2,1.5,0.0,ダート,短距離,ダ道悪,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,中山,２勝ｸﾗｽ,自己条件,4,ウインシュクラン,スクリーンヒーロー,5,丹内祐次,1800,良,,1.6,2.2,0.0,芝,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,中山,ディセン(L),OP,1,フライライクバード,スクリーンヒーロー,6,戸崎圭太,1800,良,,2.0,2.6,0.0,芝,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,中山,北総Ｓ･3勝,自己条件,2,ナチュラルハイ,スクリーンヒーロー,3,永野猛蔵,1800,良,,1.1,1.2,110.0,ダート,中距離,,,右回り,3歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,6100.0,6307.4,6307.4,6307.4,6340.95,6340.95,6340.95,6374.5,6374.5,6374.5
2023-12-17,中山,未勝利*,未勝利,10,ヤルダバオト,スクリーンヒーロー,2,柴田大知,2000,良,,9.2,13.0,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-16,中京,高山特別･1勝,自己条件,16,コスモフリーゲン,スクリーンヒーロー,3,柴田大知,2200,稍,,3.5,5.8,470.0,芝,中距離,芝道悪,,左回り,3歳,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,1900.0,8930.0,8930.0,8930.0,8930.0,8930.0,8930.0,8930.0,8930.0,8930.0
2023-12-16,中山,ヤングジ･2勝,自己条件,10,サノノヒーロー,スクリーンヒーロー,5,佐々木大,1800,稍,,7.2,11.3,0.0,ダート,中距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-10,中京,未勝利*,未勝利,12,コスモマチュアー,スクリーンヒーロー,2,黛弘人,1400,良,,25.4,36.3,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-10,阪神,新馬・牝,新馬,12,リラボニート,スクリーンヒーロー,2,モリス,1600,良,,10.3,18.6,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,中山,１勝ｸﾗｽ,自己条件,6,タイセイマーベル,スクリーンヒーロー,5,石橋脩,1800,良,,2.4,3.1,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,中山,新馬,新馬,13,ミレニアムヒロイン,スクリーンヒーロー,2,丹内祐次,1600,良,,3.9,6.0,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,中京,未勝利*,未勝利,2,シェルターベルト,スクリーンヒーロー,2,和田竜二,2000,良,,7.0,16.8,0.0,芝,中距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,阪神,１勝ｸﾗｽ,自己条件,4,ルショコラ,スクリーンヒーロー,4,泉谷楓真,1400,良,,4.9,9.6,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,阪神,未勝利*,未勝利,7,コスモヴィーコ,スクリーンヒーロー,2,Ｍ．デム,2000,良,,4.2,12.7,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,中山,市川ＳＨ･3勝,自己条件,2,ナチュラルハイ,スクリーンヒーロー,3,ドイル,1800,良,,1.6,2.1,190.0,ダート,中距離,,,右回り,3歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,4200.0,7501.2,7501.2,7501.2,7541.1,7541.1,7541.1,7581.0,7581.0,7581.0
2023-12-03,中山,新馬,新馬,5,ホウオウシーザー,スクリーンヒーロー,2,戸崎圭太,2000,良,,4.5,6.5,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,中山,未勝利*,未勝利,3,ストレンジケース,スクリーンヒーロー,2,野中悠太,2000,良,,26.0,134.7,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,中京,１勝ｸﾗｽ・牝,自己条件,12,ルショコラ,スクリーンヒーロー,4,ムルザバ,1400,良,,2.1,3.5,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,阪神,障害未勝利,未勝利,11,ゴールドパラディン,スクリーンヒーロー,6,森一馬,2970,良,,1.6,2.6,160.0,障害,長距離,,,右回り,5歳以上,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,4200.0,6316.8,6316.8,6316.8,6350.4,6350.4,6350.4,6384.0,6384.0,6384.0
2023-12-02,中山,ステイヤG2,重賞,5,マイネルウィルトス,スクリーンヒーロー,7,横山武史,3600,良,,1.8,2.5,210.0,芝,長距離,,,右回り,5歳以上,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,3700.0,7770.0,7770.0,7770.0,7770.0,7770.0,7770.0,7770.0,7770.0,7770.0
2023-12-02,中京,１勝ｸﾗｽ・牝,自己条件,8,パルメリータ,スクリーンヒーロー,3,佐々木大,1800,良,,1.1,3.3,310.0,ダート,中距離,,,左回り,3歳,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,6100.0,18910.0,18910.0,18910.0,18910.0,18910.0,18910.0,18910.0,18910.0,18910.0
2023-11-26,東京,アーモＨ･2勝,自己条件,4,ヒットザシーン,スクリーンヒーロー,5,松岡正海,2000,良,,19.1,36.1,0.0,芝,中距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-26,東京,未勝利*,未勝利,8,ヤルダバオト,スクリーンヒーロー,2,柴田大知,2000,良,,4.4,15.9,0.0,芝,中距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-26,東京,未勝利*,未勝利,5,コスモラミントン,スクリーンヒーロー,2,柴田大知,1600,良,,17.2,35.8,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-25,京都,１勝ｸﾗｽ,自己条件,2,フィルムアクトレス,スクリーンヒーロー,3,角田大河,1400,良,,2.4,3.7,310.0,ダート,短距離,,,右回り,3歳,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,2800.0,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0
2023-11-19,福島,五色沼特･2勝,自己条件,15,イザニコス,スクリーンヒーロー,5,原優介,1800,良,,7.2,11.3,0.0,芝,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-19,福島,１勝ｸﾗｽ,自己条件,5,レッドアウレア,スクリーンヒーロー,5,亀田温心,1700,重,,4.6,6.8,0.0,ダート,中距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-18,福島,西郷特別･2勝,自己条件,6,ファンタジックラン,スクリーンヒーロー,4,富田暁,1150,重,,42.3,57.3,0.0,ダート,短距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
