日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-28,中山,１勝ｸﾗｽ,自己条件,7,ヴィブラツィオーネ,スピルバーグ,3,Ｍ．デム,2000,良,2000.0,3.9,5.7,0.0,芝,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-28,中山,新馬,新馬,10,カンタベリースワン,スピルバーグ,2,丸山元気,2000,良,,46.8,74.4,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,中山,ノエル賞･1勝,自己条件,5,ユヌエトワール,スピルバーグ,5,石川裕紀,1600,良,1600.0,9.1,14.0,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,未勝利*,未勝利,11,セオ,スピルバーグ,2,岩田望来,2000,良,2000.0,1.2,1.5,140.0,芝,中距離,,,右回り,2歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,9200.0,12107.2,12107.2,12107.2,12171.6,12171.6,12171.6,12236.0,12236.0,12236.0
2022-12-18,中京,１勝ｸﾗｽ,自己条件,3,ヴルカーノ,スピルバーグ,4,西村淳也,1600,良,1600.0,1.2,1.8,0.0,芝,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中山,１勝ｸﾗｽ,自己条件,1,ナイトコマンダー,スピルバーグ,5,柴山雄一,1200,良,1300.0,20.1,32.1,0.0,ダート,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中山,未勝利*,未勝利,5,アルマドゥーラ,スピルバーグ,2,野中悠太,1200,良,1600.0,14.9,39.4,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中京,ヤングジ･2勝,自己条件,2,タイキフォース,スピルバーグ,4,泉谷楓真,1400,良,1600.0,1.6,2.3,170.0,ダート,短距離,,距離短縮,左回り,4歳,159.8,159.8,159.8,160.65,160.65,160.65,161.5,161.5,161.5,6900.0,11026.2,11026.2,11026.2,11084.85,11084.85,11084.85,11143.5,11143.5,11143.5
2022-12-17,阪神,未勝利*,未勝利,7,マコトエトルリア,スピルバーグ,2,松田大作,1800,良,1800.0,2.0,7.7,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,阪神,未勝利・牝*,未勝利,14,スピルクリスティ,スピルバーグ,2,国分優作,1200,良,1200.0,37.5,103.1,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
