日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-09-01,札幌,未勝利,未勝利,10,オテンバムスメ,セレスハント,3,小林勝太,1700,重,1700.0,1.5,1.9,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-25,札幌,未勝利・牝,未勝利,13,オテンバムスメ,セレスハント,3,小林勝太,1700,良,1700.0,1.2,1.8,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-10,札幌,未勝利・牝,未勝利,6,オテンバムスメ,セレスハント,3,小林勝太,1700,良,1700.0,1.1,1.5,140.0,ダート,中距離,,,右回り,3歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,300.0,394.8,394.8,394.8,396.9,396.9,396.9,399.0,399.0,399.0
2024-07-27,札幌,未勝利・牝,未勝利,7,オテンバムスメ,セレスハント,3,小林勝太,1700,良,1700.0,1.4,3.1,290.0,ダート,中距離,,,右回り,3歳,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,200.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0
2024-07-07,小倉,未勝利・牝,未勝利,15,オテンバムスメ,セレスハント,3,松山弘平,1700,良,1800.0,1.3,2.0,0.0,ダート,中距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,京都,未勝利・牝,未勝利,8,オテンバムスメ,セレスハント,3,永島まな,1800,良,1800.0,1.2,1.7,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,京都,未勝利・牝,未勝利,6,オテンバムスメ,セレスハント,3,永島まな,1800,良,1800.0,1.5,2.7,240.0,ダート,中距離,,,右回り,3歳,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,200.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
2024-05-11,新潟,未勝利・牝,未勝利,6,オテンバムスメ,セレスハント,3,永島まな,1800,良,1700.0,1.9,2.7,200.0,ダート,中距離,,距離延長,左回り,3歳,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
2024-03-03,小倉,未勝利・牝,未勝利,4,オテンバムスメ,セレスハント,3,田口貫太,1700,稍,1700.0,1.3,1.8,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,小倉,未勝利・牝,未勝利,12,オテンバムスメ,セレスハント,3,永島まな,1700,良,1700.0,1.4,2.5,180.0,ダート,中距離,,,右回り,3歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,200.0,338.4,338.4,338.4,340.2,340.2,340.2,342.0,342.0,342.0
2024-02-04,小倉,未勝利・牝,未勝利,15,オテンバムスメ,セレスハント,3,藤田菜七,1700,重,1700.0,2.7,4.6,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,小倉,未勝利・牝,未勝利,4,オテンバムスメ,セレスハント,3,藤田菜七,1700,良,1800.0,3.4,5.2,340.0,ダート,中距離,,距離短縮,右回り,3歳,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,100.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
