日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-28,中山,未勝利*,未勝利,1,マジカルレインボー,ダイワメジャー,2,丹内祐次,1200,良,1400.0,17.3,33.2,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-28,中山,未勝利*,未勝利,16,ダングラール,ダイワメジャー,2,坂井瑠星,1200,良,1200.0,2.5,4.4,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-28,京都,カウント･3勝,自己条件,14,ウォータールグラン,ダイワメジャー,5,酒井学,1200,良,1200.0,16.1,29.0,1820.0,芝,短距離,,,右回り,5歳以上,3003.0,3094.0,3185.0,3003.0,3094.0,3185.0,3003.0,3094.0,3185.0,600.0,18018.0,18564.0,19110.0,18018.0,18564.0,19110.0,18018.0,18564.0,19110.0
2024-12-28,京都,カウント･3勝,自己条件,8,ポエットリー,ダイワメジャー,3,鮫島克駿,1200,良,1200.0,3.0,5.2,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-28,京都,カウント･3勝,自己条件,10,ナリタローゼ,ダイワメジャー,6,角田大和,1200,良,1200.0,6.2,10.9,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-28,京都,未勝利*,未勝利,1,テーオートムソン,ダイワメジャー,2,藤岡佑介,1400,良,1800.0,3.1,8.1,740.0,ダート,短距離,,距離短縮,右回り,2歳,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,2900.0,21460.0,21460.0,21460.0,21460.0,21460.0,21460.0,21460.0,21460.0,21460.0
2024-12-22,京都,サンタク･3勝,自己条件,12,ワイドアラジン,ダイワメジャー,4,団野大成,2000,良,1800.0,3.9,6.6,0.0,芝,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,京都,クリスマ･2勝,自己条件,8,ユメハハテシナク,ダイワメジャー,4,高杉吏麒,1800,良,1800.0,8.7,13.4,0.0,ダート,中距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,京都,障害未勝利,未勝利,10,メイショウコホク,ダイワメジャー,7,難波剛健,2910,良,2910.0,1.9,3.1,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,中山,クリスマ･2勝,自己条件,4,インプロバイザー,ダイワメジャー,5,マーカン,1200,良,1200.0,2.3,3.3,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,京都,阪神カッG2,重賞,3,セリフォス,ダイワメジャー,5,ムーア,1400,良,1600.0,1.9,2.6,0.0,芝,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,京都,阪神カッG2,重賞,8,マテンロウオリオン,ダイワメジャー,5,横山典弘,1400,良,1600.0,23.5,35.6,0.0,芝,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,中山,障害未勝利,未勝利,2,タロントゥーズ,ダイワメジャー,4,森一馬,2880,良,2770.0,1.1,1.4,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,中京,尾張特Ｈ･2勝,自己条件,7,テーオーアリエス,ダイワメジャー,5,柴田裕一,1200,良,1400.0,8.3,12.1,0.0,芝,短距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,中京,１勝ｸﾗｽ・牝,自己条件,9,インペリアルコート,ダイワメジャー,4,斎藤新,1600,良,1600.0,5.3,7.6,0.0,芝,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,中京,１勝ｸﾗｽ,自己条件,15,ベストディシジョン,ダイワメジャー,3,高杉吏麒,1800,良,1600.0,6.0,22.6,0.0,ダート,中距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,京都,東山ＳＨ･3勝,自己条件,16,メイショウフンケイ,ダイワメジャー,6,角田大和,1400,良,1400.0,21.0,33.1,2440.0,芝,短距離,,,右回り,5歳以上,4026.0,4148.0,4270.0,4026.0,4148.0,4270.0,4026.0,4148.0,4270.0,400.0,16104.0,16592.0,17080.0,16104.0,16592.0,17080.0,16104.0,16592.0,17080.0
2024-12-15,京都,小倉山特･2勝,自己条件,11,メジャークオリティ,ダイワメジャー,5,北村友一,1800,良,1800.0,7.8,15.4,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,中京２歳,OP,6,ヤマニンシュラ,ダイワメジャー,2,亀田温心,1200,良,1400.0,5.5,9.6,0.0,芝,短距離,,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中京,未勝利・牝*,未勝利,16,セイプリーズ,ダイワメジャー,2,古川吉洋,1400,良,1200.0,4.5,7.7,530.0,芝,短距離,,距離延長,左回り,2歳,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,2000.0,10600.0,10600.0,10600.0,10600.0,10600.0,10600.0,10600.0,10600.0,10600.0
2024-12-14,中京,１勝ｸﾗｽ・牝,自己条件,3,サイモンブーケ,ダイワメジャー,4,古川奈穂,1800,良,1800.0,1.2,1.8,140.0,ダート,中距離,,,左回り,4歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,7400.0,9738.4,9738.4,9738.4,9790.2,9790.2,9790.2,9842.0,9842.0,9842.0
2024-12-14,京都,２勝ｸﾗｽ,自己条件,8,マイネルラッシュ,ダイワメジャー,4,吉田隼人,1600,良,1600.0,15.3,25.4,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,京都,深草特別･2勝,自己条件,4,ルクスメテオール,ダイワメジャー,4,浜中俊,1200,良,1200.0,1.1,1.3,120.0,ダート,短距離,,,右回り,4歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,8100.0,9136.8,9136.8,9136.8,9185.4,9185.4,9185.4,9234.0,9234.0,9234.0
2024-12-08,中山,２勝ｸﾗｽ,自己条件,14,プレジャークルーズ,ダイワメジャー,4,吉田隼人,1600,良,1400.0,15.4,24.2,0.0,芝,短距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,中山,チバテレ･2勝,自己条件,16,ティンク,ダイワメジャー,3,吉田隼人,2000,良,2000.0,3.3,4.7,0.0,芝,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,中山,障害未勝利,未勝利,10,テンメジャーガール,ダイワメジャー,5,小野寺祐,2880,良,2750.0,1.8,3.3,330.0,障害,長距離,,距離延長,右回り,5歳以上,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,5000.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0
2024-12-08,中京,知立Ｓ･3勝,自己条件,7,ヤマニンアンフィル,ダイワメジャー,5,亀田温心,1200,良,1200.0,1.4,2.0,140.0,芝,短距離,,,左回り,5歳以上,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,6400.0,8422.4,8422.4,8422.4,8467.2,8467.2,8467.2,8512.0,8512.0,8512.0
2024-12-08,中京,１勝ｸﾗｽ・牝,自己条件,10,サンマルブーケ,ダイワメジャー,3,秋山稔樹,1200,良,1150.0,16.1,86.4,0.0,ダート,短距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,京都,鹿ケ谷特･2勝,自己条件,8,インプロバイザー,ダイワメジャー,5,幸英明,1200,良,1200.0,1.9,2.9,210.0,芝,短距離,,,右回り,5歳以上,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,4700.0,9870.0,9870.0,9870.0,9870.0,9870.0,9870.0,9870.0,9870.0,9870.0
2024-12-07,中山,１勝ｸﾗｽ,自己条件,6,ステラデルシエロ,ダイワメジャー,4,原優介,1800,良,1600.0,7.2,11.9,0.0,芝,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-07,中京,１勝ｸﾗｽ,自己条件,7,グランアトミカ,ダイワメジャー,3,角田大和,2200,良,2000.0,5.7,8.7,0.0,芝,中距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
