日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-28,中山,未勝利*,未勝利,1,マランドロ,ダノンキングリー,2,原優介,1800,良,1600.0,18.4,125.0,0.0,ダート,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,中山,新馬,新馬,3,セーヌデローヴ,ダノンキングリー,2,佐々木大,1600,重,,8.6,15.3,0.0,芝,短距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,中山,未勝利*,未勝利,4,フュルスティン,ダノンキングリー,2,横山武史,1200,不,1800.0,2.0,2.9,220.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1600.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0
2025-12-21,中京,新馬,新馬,2,メイショウサッソウ,ダノンキングリー,2,加藤祥太,1400,稍,,6.0,9.4,830.0,ダート,短距離,ダ道悪,,左回り,2歳,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,500.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0
2025-12-21,阪神,新馬,新馬,12,ダノンテムズ,ダノンキングリー,2,Ｃ．デム,1800,重,,1.4,1.8,160.0,芝,中距離,芝道悪,,右回り,2歳,150.4,150.4,150.4,151.2,151.2,151.2,152.0,152.0,152.0,2300.0,3459.2,3459.2,3459.2,3477.6,3477.6,3477.6,3496.0,3496.0,3496.0
2025-12-20,中山,新馬・牝,新馬,8,ディアアズール,ダノンキングリー,2,石橋脩,1800,良,,5.3,15.3,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中山,未勝利・牝*,未勝利,5,アルティソナンテ,ダノンキングリー,2,丹内祐次,1800,良,1800.0,4.5,6.5,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-14,中山,新馬,新馬,2,プレシャスノワール,ダノンキングリー,2,遠藤汰月,1600,稍,,30.2,53.2,0.0,芝,短距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-13,中京,未勝利*,未勝利,13,ウォーターブビンガ,ダノンキングリー,2,丹内祐次,1600,良,1600.0,3.5,6.6,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-13,阪神,未勝利*,未勝利,7,ノブステップ,ダノンキングリー,2,岩田康誠,1200,良,1800.0,8.1,12.4,0.0,芝,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-07,阪神,未勝利*,未勝利,2,ダーリンダーリン,ダノンキングリー,2,今村聖奈,2000,良,2000.0,2.3,3.8,260.0,芝,中距離,,,右回り,2歳,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,1400.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0
2025-12-07,阪神,未勝利*,未勝利,11,シャンデリュイーズ,ダノンキングリー,2,田山旺佑,1400,良,1400.0,1.4,1.8,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中山,未勝利・牝*,未勝利,8,フュルスティン,ダノンキングリー,2,横山武史,1800,良,1600.0,2.1,3.4,0.0,ダート,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中京,こうやま･1勝,自己条件,8,オーライカモン,ダノンキングリー,2,亀田温心,1600,良,1600.0,1.6,3.2,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-30,京都,新馬,新馬,6,ハバタクジユウニ,ダノンキングリー,2,武豊,2000,良,,1.5,2.7,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29,東京,新馬,新馬,11,ラショナルポイント,ダノンキングリー,2,マーカン,1600,良,,1.6,2.9,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29,東京,未勝利*,未勝利,9,ノブステップ,ダノンキングリー,2,石田拓郎,1800,良,1800.0,4.6,7.7,0.0,芝,中距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,東京,新馬,新馬,1,キングスメッセージ,ダノンキングリー,2,菅原明良,1400,良,,1.7,3.8,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,福島,福島２歳,OP,9,ランプローグ,ダノンキングリー,2,菊沢一樹,1200,良,1400.0,3.1,4.8,0.0,芝,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,福島,新馬,新馬,1,ニチヤヲツイデ,ダノンキングリー,2,木幡育也,1700,良,,22.0,36.6,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,京都,新馬,新馬,3,ダノンアンドレ,ダノンキングリー,2,岩田望来,1800,良,,4.1,6.7,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
