日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-20,中京,ヤングジ･2勝,自己条件,7,トルーマンテソーロ,トーセンジョーダン,6,塩津璃菜,1400,稍,1400.0,5.0,8.3,620.0,ダート,短距離,ダ道悪,,左回り,5歳以上,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,1500.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0
2025-12-06,中山,ステイヤG2,重賞,9,シルブロン,トーセンジョーダン,7,マーカン,3600,良,2000.0,3.7,5.4,0.0,芝,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,東京,晩秋ＳＨ･3勝,自己条件,2,バリアントバイオ,トーセンジョーダン,5,長岡禎仁,2100,良,1800.0,27.4,163.3,0.0,ダート,中距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25,東京,２勝ｸﾗｽ,自己条件,8,トルーマンテソーロ,トーセンジョーダン,6,石橋脩,1400,稍,1400.0,4.6,7.6,0.0,ダート,短距離,ダ道悪,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-19,東京,ブラジＨ(L),OP,4,フタイテンロック,トーセンジョーダン,6,丸田恭介,2100,良,1800.0,7.6,11.1,0.0,ダート,中距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-18,東京,２勝ｸﾗｽ,自己条件,10,トルーマンテソーロ,トーセンジョーダン,6,石橋脩,1400,良,1300.0,6.4,10.4,0.0,ダート,短距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,東京,オクトＨ(L),OP,4,シルブロン,トーセンジョーダン,7,大野拓弥,2000,良,1800.0,10.9,15.6,0.0,芝,中距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12,東京,２勝ｸﾗｽ,自己条件,3,トルーマンテソーロ,トーセンジョーダン,6,佐々木大,1300,良,1400.0,3.9,5.7,0.0,ダート,短距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-28,阪神,堺Ｓ･3勝,自己条件,2,バリアントバイオ,トーセンジョーダン,5,長岡禎仁,1800,良,1900.0,13.9,19.4,0.0,ダート,中距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-20,中山,バーレー,OP,9,フタイテンロック,トーセンジョーダン,6,内田博幸,1800,重,1800.0,10.3,16.9,0.0,ダート,中距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
