日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-11-16,福島,キビタＨ･3勝,自己条件,3,トーセンサンダー,トーセンファントム,5,斎藤新,1200,良,1200.0,4.2,5.6,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-15,中山,浦安特別･2勝,自己条件,9,トーセンニック,トーセンファントム,6,丹内祐次,1200,良,1200.0,9.7,16.2,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-25,新潟,岩室温泉･2勝,自己条件,4,トーセンニック,トーセンファントム,6,和田竜二,1200,良,1400.0,6.8,11.9,0.0,ダート,短距離,,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-20,札幌,ＴＶｈ賞･3勝,自己条件,3,トーセンサンダー,トーセンファントム,5,大野拓弥,1200,良,1200.0,2.3,3.2,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-23,函館,ＨＴＢＨ･2勝,自己条件,12,トーセンサンダー,トーセンファントム,5,大野拓弥,1200,良,1200.0,1.9,2.5,220.0,芝,短距離,,,右回り,5歳以上,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,500.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
2024-06-15,函館,ＳＴＶ杯･2勝,自己条件,2,トーセンサンダー,トーセンファントム,5,大野拓弥,1200,良,1200.0,1.5,2.0,170.0,芝,短距離,,,右回り,5歳以上,159.8,159.8,159.8,160.65,160.65,160.65,161.5,161.5,161.5,600.0,958.8,958.8,958.8,963.9,963.9,963.9,969.0,969.0,969.0
2024-06-15,東京,立川特別･2勝,自己条件,6,トーセンニック,トーセンファントム,6,江田照男,1400,良,1200.0,9.7,32.6,0.0,ダート,短距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,新潟,１勝ｸﾗｽ,自己条件,8,トーセンニック,トーセンファントム,6,江田照男,1200,良,1300.0,4.1,6.0,540.0,ダート,短距離,,距離短縮,左回り,5歳以上,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,200.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0
2024-05-18,新潟,大日岳特･2勝,自己条件,6,トーセンサンダー,トーセンファントム,5,佐藤翔馬,1200,良,1200.0,4.0,5.4,0.0,芝,短距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,東京,１勝ｸﾗｽ,自己条件,4,トーセンニック,トーセンファントム,6,江田照男,1300,稍,1400.0,5.1,7.8,0.0,ダート,短距離,ダ道悪,距離短縮,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-21,福島,福島中央･2勝,自己条件,3,トーセンサンダー,トーセンファントム,5,佐藤翔馬,1200,良,1200.0,1.6,2.0,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24,中山,２勝ｸﾗｽ,自己条件,12,トーセンサンダー,トーセンファントム,5,佐藤翔馬,1200,良,1200.0,5.4,8.8,720.0,芝,短距離,,,右回り,5歳以上,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,200.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0
2024-01-27,東京,１勝ｸﾗｽ,自己条件,3,トーセンニック,トーセンファントム,6,三浦皇成,1400,良,1400.0,4.1,5.9,0.0,ダート,短距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
