日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-07,中京,１勝ｸﾗｽ,自己条件,7,ムコウジマランプ,ナムラタイタン,4,黛弘人,1200,良,1400.0,2.7,4.9,0.0,ダート,短距離,,距離短縮,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,東京,１勝ｸﾗｽ,自己条件,12,ムコウジマランプ,ナムラタイタン,4,松岡正海,1400,良,1300.0,2.2,3.6,0.0,ダート,短距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,東京,１勝ｸﾗｽ,自己条件,5,ムコウジマランプ,ナムラタイタン,4,松岡正海,1300,良,1200.0,2.4,3.6,0.0,ダート,短距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28,中山,障害未勝利,未勝利,3,ゴーツウキリシマ,ナムラタイタン,4,黒岩悠,2880,良,3000.0,14.7,31.4,0.0,障害,長距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-08,中京,障害未勝利,未勝利,8,ゴーツウキリシマ,ナムラタイタン,4,黒岩悠,3000,良,2860.0,7.2,24.8,0.0,障害,長距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-07,中山,１勝ｸﾗｽ,自己条件,14,ムコウジマランプ,ナムラタイタン,4,松岡正海,1200,良,1400.0,2.0,2.8,0.0,ダート,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,中京,１勝ｸﾗｽ・牝,自己条件,2,メイショウホタルビ,ナムラタイタン,6,幸英明,1800,不,1800.0,2.2,7.1,270.0,ダート,中距離,ダ道悪,,左回り,5歳以上,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,1400.0,3780.0,3780.0,3780.0,3780.0,3780.0,3780.0,3780.0,3780.0,3780.0
2024-08-18,中京,１勝ｸﾗｽ・牝,自己条件,7,メイショウホタルビ,ナムラタイタン,6,幸英明,1800,良,1800.0,2.1,4.2,0.0,ダート,中距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-20,小倉,障害未勝利,未勝利,7,ゴーツウキリシマ,ナムラタイタン,4,黒岩悠,2860,稍,1400.0,21.3,45.4,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-23,東京,１勝ｸﾗｽ,自己条件,8,ムコウジマランプ,ナムラタイタン,4,石橋脩,1400,重,1400.0,2.9,4.3,0.0,ダート,短距離,ダ道悪,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,東京,１勝ｸﾗｽ,自己条件,4,ムコウジマランプ,ナムラタイタン,4,松岡正海,1400,重,1300.0,7.8,12.7,1000.0,ダート,短距離,ダ道悪,距離延長,左回り,4歳,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,400.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
2024-05-04,東京,１勝ｸﾗｽ,自己条件,10,ムコウジマランプ,ナムラタイタン,4,松岡正海,1300,稍,1200.0,3.8,5.7,0.0,ダート,短距離,ダ道悪,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,東京,２勝ｸﾗｽ・牝,自己条件,9,ゴーツウキリシマ,ナムラタイタン,4,丸田恭介,1400,良,2860.0,23.5,41.5,0.0,芝,短距離,,距離短縮,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,阪神,１勝ｸﾗｽ・牝,自己条件,5,メイショウホタルビ,ナムラタイタン,6,田口貫太,1800,稍,1800.0,1.2,1.6,0.0,ダート,中距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-17,阪神,１勝ｸﾗｽ・牝,自己条件,1,メイショウホタルビ,ナムラタイタン,6,田口貫太,1800,良,2000.0,1.9,5.2,480.0,ダート,中距離,,距離短縮,右回り,5歳以上,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1700.0,8160.0,8160.0,8160.0,8160.0,8160.0,8160.0,8160.0,8160.0,8160.0
2024-03-02,阪神,１勝ｸﾗｽ,自己条件,5,メイショウホタルビ,ナムラタイタン,6,田口貫太,2000,稍,1800.0,1.2,2.9,0.0,ダート,中距離,ダ道悪,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-25,阪神,１勝ｸﾗｽ,自己条件,15,ムコウジマランプ,ナムラタイタン,4,古川奈穂,1200,不,1200.0,2.5,4.1,0.0,ダート,短距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-28,小倉,障害未勝利,未勝利,3,ゴーツウキリシマ,ナムラタイタン,4,黒岩悠,2860,良,2910.0,31.7,56.6,0.0,障害,長距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-21,中山,１勝ｸﾗｽ,自己条件,12,ムコウジマランプ,ナムラタイタン,4,松岡正海,1200,不,1200.0,2.5,3.5,250.0,ダート,短距離,ダ道悪,,右回り,4歳,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,1300.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0
2024-01-13,京都,１勝ｸﾗｽ,自己条件,6,ムコウジマランプ,ナムラタイタン,4,国分優作,1200,良,1400.0,22.0,38.2,0.0,ダート,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
