日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2024-12-28,京都,障害未勝利,未勝利,13,ペイシャモノノフ,ニシケンモノノフ,4,田村太雅,2910,良,2910.0,2.7,5.3,0.0,障害,長距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中山,ターコイＨG3,重賞,8,ペイシャフラワー,ニシケンモノノフ,4,永島まな,1600,良,1800.0,6.6,9.7,0.0,芝,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,中山,未勝利*,未勝利,5,エリュテイア,ニシケンモノノフ,2,三浦皇成,1200,良,1200.0,6.3,10.1,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,中山,新馬,新馬,14,エリュテイア,ニシケンモノノフ,2,長浜鴻緒,1200,良,,2.1,3.4,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,京都,障害未勝利,未勝利,8,ペイシャモノノフ,ニシケンモノノフ,4,田村太雅,2910,良,2100.0,4.2,7.9,0.0,障害,長距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,中山,未勝利*,未勝利,8,ユウオウマイシン,ニシケンモノノフ,2,長浜鴻緒,1200,稍,1150.0,6.2,12.7,0.0,ダート,短距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,福島,障害未勝利,未勝利,3,ヒカルエリザベス,ニシケンモノノフ,3,伴啓太,2750,良,2850.0,9.2,15.5,0.0,障害,長距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,福島,未勝利*,未勝利,3,ユウオウマイシン,ニシケンモノノフ,2,長浜鴻緒,1150,良,1400.0,6.5,12.2,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,東京,未勝利*,未勝利,9,ユウオウマイシン,ニシケンモノノフ,2,木幡育也,1400,良,1600.0,14.0,64.1,0.0,ダート,短距離,,距離短縮,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,京都,カシオペ(L),OP,17,ペイシャフラワー,ニシケンモノノフ,4,永島まな,1800,良,1600.0,11.9,17.1,0.0,芝,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,新潟,障害未勝利,未勝利,1,ヒカルエリザベス,ニシケンモノノフ,3,井上敏樹,2850,稍,1800.0,25.8,32.9,0.0,障害,長距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-19,東京,神無月Ｈ･3勝,自己条件,11,ペイシャモノノフ,ニシケンモノノフ,4,池添謙一,2100,良,1800.0,4.2,6.4,0.0,ダート,中距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-13,東京,新馬,新馬,13,ユウオウマイシン,ニシケンモノノフ,2,江田照男,1600,良,,32.8,53.5,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21,中京,未勝利・牝*,未勝利,8,クリノモノリス,ニシケンモノノフ,2,小沢大仁,1400,良,1400.0,7.7,14.2,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,中京,アニバー･3勝,自己条件,9,ペイシャモノノフ,ニシケンモノノフ,4,酒井学,1800,良,1900.0,7.2,11.4,0.0,ダート,中距離,,距離短縮,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,中京,未勝利・牝*,未勝利,5,クリノモノリス,ニシケンモノノフ,2,高倉稜,1400,稍,1200.0,4.8,7.3,0.0,ダート,短距離,ダ道悪,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-15,中京,納屋橋Ｓ･3勝,自己条件,2,ペイシャフラワー,ニシケンモノノフ,4,永島まな,1600,稍,1800.0,9.3,14.2,1280.0,芝,短距離,芝道悪,距離短縮,左回り,4歳,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,700.0,8960.0,8960.0,8960.0,8960.0,8960.0,8960.0,8960.0,8960.0,8960.0
2024-09-08,中山,１勝ｸﾗｽ,自己条件,2,ヒカルエリザベス,ニシケンモノノフ,3,的場勇人,1800,良,1000.0,69.2,100.3,0.0,ダート,中距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
