日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-19,中京,１勝ｸﾗｽ,自己条件,9,ニホンピロハーバー,ニホンピロアワーズ,3,田中健,1900,重,1400.0,4.5,14.7,0.0,ダート,中距離,ダ道悪,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,阪神,御影ＳＨ･3勝,自己条件,15,シゲルホサヤク,ニホンピロアワーズ,3,高倉稜,1400,稍,1400.0,1.3,1.7,140.0,ダート,短距離,ダ道悪,,右回り,3歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,2600.0,3421.6,3421.6,3421.6,3439.8,3439.8,3439.8,3458.0,3458.0,3458.0
2021-12-18,中京,未勝利*,未勝利,3,ニホンピロオーセン,ニホンピロアワーズ,2,城戸義政,1400,重,1200.0,12.2,19.5,0.0,ダート,短距離,ダ道悪,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,阪神,オリオン･3勝,自己条件,1,ニホンピロスクーロ,ニホンピロアワーズ,4,高倉稜,2200,良,2400.0,2.2,3.3,0.0,芝,中距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21,阪神,姫路Ｓ･3勝,自己条件,3,シゲルホサヤク,ニホンピロアワーズ,3,高倉稜,1400,良,1400.0,1.7,2.4,190.0,ダート,短距離,,,右回り,3歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,2000.0,3572.0,3572.0,3572.0,3591.0,3591.0,3591.0,3610.0,3610.0,3610.0
2021-11-20,福島,未勝利*,未勝利,2,ニホンピロナッシュ,ニホンピロアワーズ,2,城戸義政,1700,良,1800.0,13.6,33.6,0.0,ダート,中距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-20,阪神,尼崎Ｓ･3勝,自己条件,9,ニホンピロスクーロ,ニホンピロアワーズ,4,高倉稜,2400,良,2000.0,3.0,5.2,320.0,芝,長距離,,距離延長,右回り,4歳,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,1100.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0
2021-10-31,新潟,未勝利*,未勝利,12,ニホンピロナッシュ,ニホンピロアワーズ,2,西谷凜,1800,良,1800.0,16.1,33.3,0.0,ダート,中距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,阪神,２勝ｸﾗｽ,自己条件,12,シゲルホサヤク,ニホンピロアワーズ,3,高倉稜,1400,良,1400.0,1.6,1.9,170.0,ダート,短距離,,,右回り,3歳,159.8,159.8,159.8,160.65,160.65,160.65,161.5,161.5,161.5,2100.0,3355.8,3355.8,3355.8,3373.65,3373.65,3373.65,3391.5,3391.5,3391.5
2021-10-24,東京,甲斐路Ｈ･3勝,自己条件,8,ニホンピロスクーロ,ニホンピロアワーズ,4,武藤雅,2000,良,2000.0,2.7,5.0,460.0,芝,中距離,,,左回り,4歳,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,1200.0,5520.0,5520.0,5520.0,5520.0,5520.0,5520.0,5520.0,5520.0,5520.0
