日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-28,中山,ヤングジ･2勝,自己条件,5,サンシロウ,ネオユニヴァース,7,小林脩斗,1800,良,2000.0,12.6,18.1,0.0,ダート,中距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,中山,ヤングジ･2勝,自己条件,10,ペイシャムートン,ネオユニヴァース,5,小沢大仁,1800,良,1800.0,5.1,7.3,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,阪神,未勝利*,未勝利,12,アスクオーマイキー,ネオユニヴァース,2,亀田温心,2000,良,2000.0,3.0,11.0,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,新馬,新馬,5,ジュンバレット,ネオユニヴァース,2,田辺裕信,1800,稍,,6.5,9.5,0.0,ダート,中距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,中山,未勝利・牝*,未勝利,13,シャンブレー,ネオユニヴァース,2,菅原明良,1800,稍,1600.0,6.6,13.1,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,阪神,２勝ｸﾗｽ,自己条件,14,コンクエストシチー,ネオユニヴァース,9,藤岡康太,1400,良,1400.0,12.7,21.7,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,阪神,未勝利*,未勝利,6,ザヴォーグ,ネオユニヴァース,2,国分恭介,1800,良,1800.0,6.8,13.9,960.0,ダート,中距離,,,右回り,2歳,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,1300.0,12480.0,12480.0,12480.0,12480.0,12480.0,12480.0,12480.0,12480.0,12480.0
2021-12-25,阪神,未勝利*,未勝利,2,ウォータージーニー,ネオユニヴァース,2,泉谷楓真,1800,良,1800.0,17.0,35.5,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中山,北総Ｓ･3勝,自己条件,5,エマージングロール,ネオユニヴァース,3,横山武史,1800,稍,1800.0,1.5,2.0,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,中京,１勝ｸﾗｽ,自己条件,13,ハイプリーステス,ネオユニヴァース,3,城戸義政,1200,重,1150.0,15.8,23.8,0.0,ダート,短距離,ダ道悪,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,阪神,御影ＳＨ･3勝,自己条件,5,クライシス,ネオユニヴァース,8,鮫島克駿,1400,稍,1400.0,12.9,21.5,0.0,ダート,短距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,阪神,六甲アイ･3勝,自己条件,5,メイショウハニー,ネオユニヴァース,6,川須栄彦,1400,良,3290.0,68.4,101.4,0.0,芝,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,中山,香取特Ｈ･2勝,自己条件,3,リノユニヴァース,ネオユニヴァース,3,岩田望来,2400,稍,2400.0,2.7,4.5,0.0,ダート,長距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,中京,１勝ｸﾗｽ・牝,自己条件,2,グラヴィテ,ネオユニヴァース,3,川又賢治,1800,重,2600.0,10.0,16.1,0.0,ダート,中距離,ダ道悪,距離短縮,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,阪神,障害・オープ,OP,6,ジョーカーワイルド,ネオユニヴァース,6,上野翔,3110,稍,3140.0,22.0,36.7,0.0,障害,長距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,阪神,障害・オープ,OP,10,イーグルフェザー,ネオユニヴァース,8,小野寺祐,3110,稍,2850.0,7.2,12.0,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,阪神,新馬,新馬,3,ウォータージーニー,ネオユニヴァース,2,泉谷楓真,1800,良,,4.5,6.7,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,師走ＳＨ(L),OP,4,メイショウムラクモ,ネオユニヴァース,3,田辺裕信,1800,稍,1800.0,1.1,1.4,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,アクアラ･3勝,自己条件,1,メイショウラビエ,ネオユニヴァース,6,宮崎北斗,1200,稍,1400.0,13.0,19.3,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
