日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2023-12-10,中京,１勝ｸﾗｽ,自己条件,11,ハクサンアイ,ハクサンムーン,3,斎藤新,1400,良,,2.5,3.3,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,阪神,未勝利*,未勝利,10,ハクサンツキミテイ,ハクサンムーン,2,小崎綾也,1200,良,,13.9,25.2,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-02,中京,未勝利*,未勝利,12,ハクサンツキミテイ,ハクサンムーン,2,鮫島克駿,1400,良,,5.7,8.8,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-26,京都,新馬,新馬,5,ハクサンシャトル,ハクサンムーン,2,川端海翼,1800,良,,5.3,8.1,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-19,福島,１勝ｸﾗｽ・若,自己条件,10,ハクサンアイ,ハクサンムーン,3,古川奈穂,1150,重,,1.6,2.1,0.0,ダート,短距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-05,東京,未勝利*,未勝利,1,ハクサンツキミテイ,ハクサンムーン,2,国分恭介,1600,良,,18.3,43.3,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-21,京都,新馬,新馬,10,ハクサンツキミテイ,ハクサンムーン,2,小崎綾也,1600,良,,24.9,42.7,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-07,東京,未勝利*,未勝利,13,ハクサンイーグル,ハクサンムーン,2,丸山元気,1400,良,,3.3,5.5,330.0,芝,短距離,,,左回り,2歳,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,3800.0,12540.0,12540.0,12540.0,12540.0,12540.0,12540.0,12540.0,12540.0,12540.0
2023-09-18,中山,新馬,新馬,8,ハクサンイーグル,ハクサンムーン,2,丸山元気,1600,良,,7.1,20.3,710.0,芝,短距離,,,右回り,2歳,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,1800.0,12780.0,12780.0,12780.0,12780.0,12780.0,12780.0,12780.0,12780.0,12780.0
2023-09-03,新潟,未勝利,未勝利,15,ハクサンセーブル,ハクサンムーン,3,柴田大知,1200,良,,10.7,16.6,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26,新潟,未勝利,未勝利,11,ハクサンセーブル,ハクサンムーン,3,柴田大知,1200,良,,5.5,8.5,0.0,芝,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26,新潟,未勝利,未勝利,12,ハクサンミューズ,ハクサンムーン,3,水沼元輝,1200,良,,27.0,42.6,0.0,芝,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26,新潟,未勝利,未勝利,10,ハクサンオリヒメ,ハクサンムーン,3,大野拓弥,1800,良,,1.8,2.9,0.0,ダート,中距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-05,札幌,未勝利,未勝利,3,ハクサンブリエ,ハクサンムーン,3,丹内祐次,1000,不,,4.0,7.8,0.0,ダート,短距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-05,新潟,未勝利,未勝利,10,ハクサンバード,ハクサンムーン,3,岩田望来,1600,良,,1.4,1.8,0.0,芝,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-29,新潟,未勝利,未勝利,6,ハクサンメガミ,ハクサンムーン,3,田中健,1800,良,,74.5,119.0,0.0,芝,中距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-23,札幌,未勝利,未勝利,4,ハクサンクロユリ,ハクサンムーン,3,勝浦正樹,1200,良,,3.5,10.7,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
